# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.409
metadata : {}


# id : NWRW1800000046.409.1.1
[No-show 사라진 양심 '예약 부도'](제2부-6) "한국인들은 RSVP 안해"… 美서 눈총받는 교포들

[No-show	[/SS+No/SL+-/SO+show/SL
사라진	사라지/VV+ㄴ/ETM
양심	양심/NNG
'예약	'/SS+예약/NNG
부도'](제2부-6)	부도/NNG+'/SS+]/SS+(/SS+제/XPN+2/SN+부/NNB+-/SO+6/SN+)/SS
"한국인들은	"/SS+한국인/NNG+들/XSN+은/JX
RSVP	RSVP/SL
안해"…	안/MAG+하/VV+아/EC+"/SS+…/SE
美서	美/SH+서/JKB
눈총받는	눈총/NNG+받/XSV+는/ETM
교포들	교포/NNG+들/XSN


# id : NWRW1800000046.409.2.1
선진국에선 작은모임이라도 참석 여부 답하는 게 에티켓… 韓人, 가겠다해놓고 '노쇼'도

선진국에선	선진국/NNG+에서/JKB+ㄴ/JX
작은모임이라도	작/VA+은/ETM+모임/NNG+이/VCP+라도/EC
참석	참석/NNG
여부	여부/NNG
답하는	답/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
에티켓…	에티켓/NNG+…/SE
韓人,	韓人/SH+,/SP
가겠다해놓고	가/VV+겠/EP+다/EF+하/VV+아/EC+놓/VX+고/EC
'노쇼'도	'/SS+노쇼/NNG+'/SS+도/JX


# id : NWRW1800000046.409.3.1
미국 교포 에이미 정(38)씨는 지난 2010년 자신의 블로그에 "한국 사람들은 'RSVP'를 하지 않는다(Koreans don't RSVP)"는 내용의 글을 올렸다.

미국	미국/NNP
교포	교포/NNG
에이미	에이미/NNP
정(38)씨는	정/NNP+(/SS+38/SN+)/SS+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
2010년	2010/SN+년/NNB
자신의	자신/NNG+의/JKG
블로그에	블로그/NNG+에/JKB
"한국	"/SS+한국/NNP
사람들은	사람/NNG+들/XSN+은/JX
'RSVP'를	'/SS+RSVP/SL+'/SS+를/JKO
하지	하/VV+지/EC
않는다(Koreans	않/VX+는다/EF+(/SS+Koreans/SL
don't	don/SL+'/SS+t/SL
RSVP)"는	RSVP/SL+)/SS+"/SS+는/ETM
내용의	내용/NNG+의/JKG
글을	글/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.409.3.2
백인 남성과 결혼을 한 달 앞둔 때였다.

백인	백인/NNG
남성과	남성/NNG+과/JKB
결혼을	결혼/NNG+을/JKO
한	한/MMN
달	달/NNB
앞둔	앞두/VV+ㄴ/ETM
때였다.	때/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.409.3.3
정씨가 미국에 사는 친척들에게 청첩장을 보냈지만 답장을 거의 받지 못하자 답답한 마음에 올린 글이었다.

정씨가	정/NNP+씨/NNB+가/JKS
미국에	미국/NNP+에/JKB
사는	살/VV+는/ETM
친척들에게	친척/NNG+들/XSN+에게/JKB
청첩장을	청첩장/NNG+을/JKO
