# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.305
metadata : {}


# id : NWRW1800000029.305.1.1
[특파원 칼럼/구자룡]美서 자세 낮춘 후 주석의 속내는

[특파원	[/SS+특파원/NNG
칼럼/구자룡]美서	칼럼/NNG+//SP+구자룡/NNP+]/SS+美/SH+서/JKB
자세	자세/NNG
낮춘	낮추/VV+ㄴ/ETM
후	후/NNG
주석의	주석/NNG+의/JKG
속내는	속내/NNG+는/JX


# id : NWRW1800000029.305.2.1
존 F 케네디 대통령은 1960년 대선 유세에서 “소련에 비해 미국의 힘은 떨어지고 있다.

존	존/NNP
F	F/SL
케네디	케네디/NNP
대통령은	대통령/NNG+은/JX
1960년	1960/SN+년/NNB
대선	대선/NNG
유세에서	유세/NNG+에서/JKB
“소련에	“/SS+소련/NNP+에/JKB
비해	비/NNG+하/XSV+아/EC
미국의	미국/NNP+의/JKG
힘은	힘/NNG+은/JX
떨어지고	떨어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.305.2.2
공산주의가 점차 세계의 곳곳으로 파고들 것”이라고 경고했다.

공산주의가	공산주의/NNG+가/JKS
점차	점차/MAG
세계의	세계/NNG+의/JKG
곳곳으로	곳곳/NNG+으로/JKB
파고들	파고들/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
경고했다.	경고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.305.2.3
이어 1979년 에즈라 보걸 하버드대 교수는 저서 ‘일본, 세계의 No.

이어	이어/MAG
1979년	1979/SN+년/NNB
에즈라	에즈라/NNP
보걸	보걸/NNP
하버드대	하버드대/NNP
교수는	교수/NNG+는/JX
저서	저서/NNG
‘일본,	‘/SS+일본/NNP+,/SP
세계의	세계/NNG+의/JKG
No.	No/SL+./SP


# id : NWRW1800000029.305.2.4
1’에서 제조업 강국으로 부상하는 일본이 미국에 잠재적 위협이 될 수 있음을 경고했다.

1’에서	1/SN+’/SS+에서/JKB
제조업	제조업/NNG
강국으로	강국/NNG+으로/JKB
부상하는	부상/NNG+하/XSV+는/ETM
일본이	일본/NNP+이/JKS
미국에	미국/NNP+에/JKB
잠재적	잠재/NNG+적/XSN
위협이	위협/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있음을	있/VA+음/ETN+을/JKO
경고했다.	경고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.305.2.5
하지만 소련과 일본은 미국에 도전할 적수가 되지 못했다.

하지만	하지만/MAJ
소련과	소련/NNP+과/JC
일본은	일본/NNP+은/JX
미국에	미국/NNP+에/JKB
도전할	도전/NNG+하/XSV+ㄹ/ETM
적수가	적수/NNG+가/JKC
되지	되/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.305.3.1
올 들어 새 강적 중국에 대한 ‘적색경보 경고음’이 요란해지고 있다.

올	올/NNG
들어	들/VV+어/EC
새	새/MMA
강적	강적/NNG
중국에	중국/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
‘적색경보	‘/SS+적색/NNG+경보/NNG
경고음’이	경고음/NNG+’/SS+이/JKS
요란해지고	요란/NNG+하/XSA+아/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.305.4.1
버락 오바마 대통령은 25일 국정 연설에서 ‘스푸트니크 순간’이라는 말을 통해 미국이 맞고 있는 사태의 심각성을 언급했다.

버락	버락/NNP
오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
25일	25/SN+일/NNB
국정	국정/NNG
연설에서	연설/NNG+에서/JKB
‘스푸트니크	‘/SS+스푸트니크/NNP
순간’이라는	순간/NNG+’/SS+이/VCP+라는/ETM
말을	말/NNG+을/JKO
통해	통하/VV+아/EC
미국이	미국/NNP+이/JKS
맞고	맞/VV+고/EC
있는	있/VX+는/ETM
사태의	사태/NNG+의/JKG
심각성을	심각성/NNG+을/JKO
언급했다.	언급/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.305.4.2
오바마 대통령은 1957년 소련이 스푸트니크 인공위성을 먼저 쏘아 올려 충격을 주었지만 미국은 교육과 연구에 대한 투자와 창조적 혁신 등을 통해 극복했듯이 다시 미래의 승리를 위해 나아가자고 호소했다.

오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
1957년	1957/SN+년/NNB
소련이	소련/NNP+이/JKS
스푸트니크	스푸트니크/NNP
인공위성을	인공위성/NNG+을/JKO
먼저	먼저/MAG
쏘아	쏘/VV+아/EC
올려	올리/VV+어/EC
충격을	충격/NNG+을/JKO
주었지만	주/VV+었/EP+지만/EC
미국은	미국/NNP+은/JX
교육과	교육/NNG+과/JC
연구에	연구/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
투자와	투자/NNG+와/JC
창조적	창조/NNG+적/XSN
혁신	혁신/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
극복했듯이	극복/NNG+하/XSV+았/EP+듯이/EC
다시	다시/MAG
미래의	미래/NNG+의/JKG
승리를	승리/NNG+를/JKO
위해	위하/VV+아/EC
나아가자고	나아가/VV+자고/EC
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.305.4.3
오바마 대통령은 연설 이튿날에는 위스콘신 주 매니터웍을 방문했다.

오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
연설	연설/NNG
이튿날에는	이튿날/NNG+에/JKB+는/JX
위스콘신	위스콘신/NNP
주	주/NNG
매니터웍을	매니터웍/NNP+을/JKO
방문했다.	방문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.305.4.4
이곳은 1962년 소련이 쏘아 올린 4차 스푸트니크가 추락해 잔해가 떨어진 곳이다.

이곳은	이곳/NP+은/JX
1962년	1962/SN+년/NNB
소련이	소련/NNP+이/JKS
쏘아	쏘/VV+아/EC
올린	올리/VV+ㄴ/ETM
4차	4/SN+차/NNB
스푸트니크가	스푸트니크/NNP+가/JKS
추락해	추락/NNG+하/XSV+아/EC
잔해가	잔해/NNG+가/JKS
떨어진	떨어지/VV+ㄴ/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.305.4.5
‘소련의 스푸트니크’는 그렇게 잔해로 추락했다.

‘소련의	‘/SS+소련/NNP+의/JKG
스푸트니크’는	스푸트니크/NNP+’/SS+는/JX
그렇게	그렇/VA+게/EC
잔해로	잔해/NNG+로/JKB
추락했다.	추락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.305.4.6
하지만 중국이라는 ‘살아 있는 스푸트니크’는 어떤 충격을 줄 것인가.

하지만	하지만/MAJ
중국이라는	중국/NNP+이/VCP+라는/ETM
‘살아	‘/SS+살/VV+아/EC
있는	있/VX+는/ETM
스푸트니크’는	스푸트니크/NNP+’/SS+는/JX
어떤	어떤/MMD
충격을	충격/NNG+을/JKO
줄	주/VV+ㄹ/ETM
것인가.	것/NNB+이/VCP+ㄴ가/EF+./SF


# id : NWRW1800000029.305.5.1
오바마 대통령은 국정연설에서 중국을 4차례 언급하며 경각심을 일깨웠다.

오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
국정연설에서	국정/NNG+연설/NNG+에서/JKB
중국을	중국/NNP+을/JKO
4차례	4/SN+차례/NNG
언급하며	언급/NNG+하/XSV+며/EC
경각심을	경각심/NNG+을/JKO
일깨웠다.	일깨우/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.305.6.1
“중국과 인도 같은 나라는 오직 자신의 변혁을 통해서만 세계에서 경쟁력 있는 위치에 설 수 있음을 알고 있다” “우리는 과거 기초 설비가 최고였으나 지금은 많이 밀렸다.

“중국과	“/SS+중국/NNP+과/JC
인도	인도/NNP
같은	같/VA+은/ETM
나라는	나라/NNG+는/JX
오직	오직/MAG
자신의	자신/NNG+의/JKG
변혁을	변혁/NNG+을/JKO
통해서만	통하/VV+아서/EC+만/JX
세계에서	세계/NNG+에서/JKB
경쟁력	경쟁력/NNG
있는	있/VA+는/ETM
위치에	위치/NNG+에/JKB
설	서/VV+ㄹ/ETM
수	수/NNB
있음을	있/VA+음/ETN+을/JKO
알고	알/VV+고/EC
있다”	있/VX+다/EF+”/SS
“우리는	“/SS+우리/NP+는/JX
과거	과거/NNG
기초	기초/NNG
설비가	설비/NNG+가/JKS
최고였으나	최고/NNG+이/VCP+었/EP+으나/EC
지금은	지금/NNG+은/JX
많이	많이/MAG
밀렸다.	밀리/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.305.6.2
인터넷은 한국, 고속도로와 철도 건설은 러시아와 유럽이 미국을 추월했고, 중국은 고속열차와 최신 공항이 미국을 앞섰다”.

인터넷은	인터넷/NNG+은/JX
한국,	한국/NNP+,/SP
고속도로와	고속/NNG+도로/NNG+와/JC
철도	철도/NNG
건설은	건설/NNG+은/JX
러시아와	러시아/NNP+와/JC
유럽이	유럽/NNP+이/JKS
미국을	미국/NNP+을/JKO
추월했고,	추월/NNG+하/XSV+았/EP+고/EC+,/SP
중국은	중국/NNP+은/JX
고속열차와	고속/NNG+열차/NNG+와/JC
최신	최신/NNG
공항이	공항/NNG+이/JKS
앞섰다”.	앞서/VV+었/EP+다/EF+”/SS+./SF


# id : NWRW1800000029.305.7.1
국정 연설에 앞서 진행된 후진타오(胡錦濤) 중국 국가주석의 방미는 미국 단일 패권시대가 끝나고 양국 체제 시대가 시작됐음을 알리는 신호탄 성격을 갖고 있다.

국정	국정/NNG
연설에	연설/NNG+에/JKB
앞서	앞서/VV+어/EC
진행된	진행/NNG+되/XSV+ㄴ/ETM
후진타오(胡錦濤)	후진타오/NNP+(/SS+胡錦濤/SH+)/SS
중국	중국/NNP
국가주석의	국가주석/NNG+의/JKG
방미는	방미/NNG+는/JX
미국	미국/NNP
단일	단일/NNG
패권시대가	패권/NNG+시대/NNG+가/JKS
끝나고	끝나/VV+고/EC
양국	양국/NNG
체제	체제/NNG
시대가	시대/NNG+가/JKS
시작됐음을	시작/NNG+되/XSV+었/EP+음/ETN+을/JKO
알리는	알리/VV+는/ETM
신호탄	신호탄/NNG
성격을	성격/NNG+을/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.305.7.2
미국은 주요 국제 문제가 중국과의 협력 없이는 해결되기 어렵다며 양대 패권 시대를 선언했다.

미국은	미국/NNP+은/JX
주요	주요/NNG
국제	국제/NNG
문제가	문제/NNG+가/JKS
중국과의	중국/NNP+과/JKB+의/JKG
협력	협력/NNG
없이는	없이/MAG+는/JX
해결되기	해결/NNG+되/XSV+기/ETN
어렵다며	어렵/VA+다며/EC
양대	양대/MMA
패권	패권/NNG
시대를	시대/NNG+를/JKO
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.305.8.1
하지만 미국은 후 주석의 방미 기간 중 인권 문제와 위안화 문제 등으로 중국을 압박하고, 집권 민주당 상원 원내대표는 ‘후 주석은 독재자’라고 했다가 취소하기도 했다.

하지만	하지만/MAJ
미국은	미국/NNP+은/JX
후	후/NNP
주석의	주석/NNG+의/JKG
방미	방미/NNG
기간	기간/NNG
중	중/NNB
인권	인권/NNG
문제와	문제/NNG+와/JC
위안화	위안화/NNG
문제	문제/NNG
등으로	등/NNB+으로/JKB
중국을	중국/NNP+을/JKO
압박하고,	압박/NNG+하/XSV+고/EC+,/SP
집권	집권/NNG
민주당	민주당/NNP
상원	상원/NNG
원내대표는	원내/NNG+대표/NNG+는/JX
‘후	‘/SS+후/NNP
주석은	주석/NNG+은/JX
독재자’라고	독재자/NNG+’/SS+라고/JKQ
했다가	하/VV+았/EP+다가/EC
취소하기도	취소/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.305.8.2
중국이 국내총생산(GDP)이나 군사력에서 미국에 뒤지고, 미국이 중국에 추월될지에 대해서도 논란이 있는 만큼 중국을 아직 한 수 아래로 보거나 어깨를 견줄 만한 경쟁자로는 인정하지 않으려는 인상이 없지 않다.

중국이	중국/NNP+이/JKS
국내총생산(GDP)이나	국내/NNG+총생산/NNG+(/SS+GDP/SL+)/SS+이나/JC
군사력에서	군사력/NNG+에서/JKB
미국에	미국/NNP+에/JKB
뒤지고,	뒤지/VV+고/EC+,/SP
미국이	미국/NNP+이/JKS
중국에	중국/NNP+에/JKB
추월될지에	추월/NNG+되/XSV+ㄹ지/EF+에/JKB
대해서도	대하/VV+아서/EC+도/JX
논란이	논란/NNG+이/JKS
있는	있/VA+는/ETM
만큼	만큼/NNB
중국을	중국/NNP+을/JKO
아직	아직/MAG
한	한/MMN
수	수/NNG
아래로	아래/NNG+로/JKB
보거나	보/VV+거나/EC
어깨를	어깨/NNG+를/JKO
견줄	견주/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
경쟁자로는	경쟁자/NNG+로/JKB+는/JX
인정하지	인정/NNG+하/XSV+지/EC
않으려는	않/VX+으려는/ETM
인상이	인상/NNG+이/JKS
없지	없/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000029.305.9.1
25일 출판된 국제정세분석가 조지 프리드먼의 새 저서 ‘10년 후’는 미국이 앞으로 유럽이나 중국보다 더 강력해지고 영향력도 더욱 커질 것이라고 예측했다.

25일	25/SN+일/NNB
출판된	출판/NNG+되/XSV+ㄴ/ETM
국제정세분석가	국제/NNG+정세/NNG+분석가/NNG
조지	조지/NNP
프리드먼의	프리드먼/NNP+의/JKG
새	새/MMA
저서	저서/NNG
‘10년	‘/SS+10/SN+년/NNB
후’는	후/NNG+’/SS+는/JX
미국이	미국/NNP+이/JKS
앞으로	앞/NNG+으로/JKB
유럽이나	유럽/NNP+이나/JC
중국보다	중국/NNP+보다/JKB
더	더/MAG
강력해지고	강력/NNG+하/XSA+아/EC+지/VX+고/EC
영향력도	영향력/NNG+도/JX
더욱	더욱/MAG
