# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.139
metadata : {}


# id : NWRW1800000036.139.1.1
열두살 소년의 세상에서 가장 슬픈 이별

열두살	열두/MMN+살/NNB
소년의	소년/NNG+의/JKG
세상에서	세상/NNG+에서/JKB
가장	가장/MAG
슬픈	슬프/VA+ㄴ/ETM
이별	이별/NNG


# id : NWRW1800000036.139.2.1
[한겨레] 삐삐야 미안해

[한겨레]	[/SS+한겨레/NNP+]/SS
삐삐야	삐삐/NNP+야/JKV
미안해	미안/NNG+하/XSA+아/EF


# id : NWRW1800000036.139.3.1
이주영 글, 류충렬 그림/고인돌·1만2000원

이주영	이주영/NNP
글,	글/NNG+,/SP
류충렬	류충렬/NNP
그림/고인돌·1만2000원	그리/VV+ㅁ/ETN+//SP+고인돌/NNP+·/SP+1/SN+만/NR+2000/SN+원/NNB


# id : NWRW1800000036.139.4.1
동화 <삐삐야 미안해>는 초등학교 교사로 오랫동안 일하면서 어린이문화운동을 해온 이주영 선생이 추억하는 어린 시절 이야기다.

동화	동화/NNG
<삐삐야	</SS+삐삐/NNP+야/JKV
미안해>는	미안/NNG+하/XSA+아/EF+>/SS+는/JX
초등학교	초등학교/NNG
교사로	교사/NNG+로/JKB
오랫동안	오랫동안/NNG
일하면서	일/NNG+하/XSV+면서/EC
어린이문화운동을	어린이/NNG+문화/NNG+운동/NNG+을/JKO
해온	하/VV+아/EC+오/VX+ㄴ/ETM
이주영	이주영/NNP
선생이	선생/NNG+이/JKS
추억하는	추억/NNG+하/XSV+는/ETM
어린	어리/VA+ㄴ/ETM
시절	시절/NNG
이야기다.	이야기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.139.4.2
먹을 것이 부족하고 놀 거리라고는 개구리나 곤충을 잡으며 들판에서 뛰어노는 게 전부였던 60년대 옛날이야기다.

먹을	먹/VV+을/ETM
것이	것/NNB+이/JKS
부족하고	부족/NNG+하/XSA+고/EC
놀	놀/VV+ㄹ/ETM
거리라고는	거리/NNB+이/VCP+라고/EC+는/JX
개구리나	개구리/NNG+나/JC
곤충을	곤충/NNG+을/JKO
잡으며	잡/VV+으며/EC
들판에서	들판/NNG+에서/JKB
뛰어노는	뛰어놀/VV+는/ETM
게	거/NNB+이/JKS
전부였던	전부/NNG+이/VCP+었/EP+던/ETM
60년대	60/SN+년대/NNB
옛날이야기다.	옛날이야기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.139.4.3
풍족하고 놀 거리 많은 요즘 아이들에게는 낯선 회고담일 듯싶지만 그렇지 않다.

풍족하고	풍족하/VA+고/EC
놀	놀/VV+ㄹ/ETM
거리	거리/NNB
많은	많/VA+은/ETM
요즘	요즘/NNG
아이들에게는	아이/NNG+들/XSN+에게/JKB+는/JX
낯선	낯설/VA+ㄴ/ETM
회고담일	회고담/NNG+이/VCP+ㄹ/ETM
듯싶지만	듯/NNB+싶/VX+지만/EC
그렇지	그렇/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000036.139.4.4
예나 지금이나 아이들이 장난감보다 좋아하는 동물 키우기의 사연을 통해 생명의 귀중함을 담고 있기 때문이다.

예나	예/NNG+나/JC
지금이나	지금/NNG+이나/JX
아이들이	아이/NNG+들/XSN+이/JKS
장난감보다	장난감/NNG+보다/JKB
좋아하는	좋아하/VV+는/ETM
동물	동물/NNG
키우기의	키우/VV+기/ETN+의/JKG
사연을	사연/NNG+을/JKO
통해	통하/VV+아/EC
생명의	생명/NNG+의/JKG
귀중함을	귀중하/VA+ㅁ/ETN+을/JKO
담고	담/VV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.139.5.1
책에 실린 두 작품 중 표제작은 궁노루 4마리에 관한 기억이다.

책에	책/NNG+에/JKB
실린	실리/VV+ㄴ/ETM
두	두/MMN
작품	작품/NNG
중	중/NNB
표제작은	표제작/NNG+은/JX
궁노루	궁노루/NNG
4마리에	4/SN+마리/NNB+에/JKB
관한	관하/VV+ㄴ/ETM
기억이다.	기억/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.139.5.2
시골의 여름날 친구 기남이 아버지가 어미 잃은 새끼 궁노루 4마리를 학교에 가져온다.

시골의	시골/NNG+의/JKG
여름날	여름날/NNG
친구	친구/NNG
기남이	기남이/NNP
아버지가	아버지/NNG+가/JKS
어미	어미/NNG
잃은	잃/VV+은/ETM
새끼	새끼/NNG
궁노루	궁노루/NNG
4마리를	4/SN+마리/NNB+를/JKO
학교에	학교/NNG+에/JKB
가져온다.	가져오/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.139.5.3
교장선생님인 아버지를 따라 관사에 살던 주영이는 아기 궁노루들의 엄마가 되기로 마음먹고 삐삐, 삐루, 삐아, 삐애라는 이름까지 정성스레 지어줬다.

교장선생님인	교장/NNG+선생/NNG+님/XSN+이/VCP+ㄴ/ETM
아버지를	아버지/NNG+를/JKO
따라	따르/VV+아/EC
관사에	관사/NNG+에/JKB
살던	살/VV+던/ETM
주영이는	주영이/NNP+는/JX
아기	아기/NNG
궁노루들의	궁노루/NNG+들/XSN+의/JKG
엄마가	엄마/NNG+가/JKC
되기로	되/VV+기/ETN+로/JKB
마음먹고	마음먹/VV+고/EC
삐삐,	삐삐/NNP+,/SP
삐루,	삐루/NNP+,/SP
삐아,	삐아/NNP+,/SP
삐애라는	삐애/NNP+이/VCP+라는/ETM
이름까지	이름/NNG+까지/JX
정성스레	정성스레/MAG
지어줬다.	짓/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000036.139.5.4
하지만 막내 삐애는 다음날 죽고 동물 키우기에 익숙지 않았던 주영의 실수로 삐루도 얼마 안 가서 세상을 떠난다.

하지만	하지만/MAJ
막내	막내/NNG
삐애는	삐애/NNP+는/JX
다음날	다음날/NNG
죽고	죽/VV+고/EC
동물	동물/NNG
키우기에	키우/VV+기/ETN+에/JKB
익숙지	익숙하/VA+지/EC
않았던	않/VX+았/EP+던/ETM
주영의	주영/NNP+의/JKG
실수로	실수/NNG+로/JKB
삐루도	삐루/NNP+도/JX
얼마	얼마/NNG
