# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.313
metadata : {}


# id : NWRW1800000033.313.1.1
中 다녀온 임태희 ‘北 접촉설’

中	中/SH
다녀온	다녀오/VV+ㄴ/ETM
임태희	임태희/NNP
‘北	‘/SS+北/SH
접촉설’	접촉설/NNG+’/SS


# id : NWRW1800000033.313.2.1
일부 언론 “北당국자 만나”… 任-靑 “사실 아니다” 부인일각 “물밑회동 전례있어 의심”

일부	일부/NNG
언론	언론/NNG
“北당국자	“/SS+北/SH+당국자/NNG
만나”…	만나/VV+아/EF+”/SS+…/SE
任-靑	任/SH+-/SO+靑/SH
“사실	“/SS+사실/NNG
아니다”	아니/VCN+다/EF+”/SS
부인일각	부인/NNG+일각/NNG
“물밑회동	“/SS+물밑/NNG+회동/NNG
전례있어	전례/NNG+있/VA+어/EC
의심”	의심/NNG+”/SS


# id : NWRW1800000033.313.3.1
임태희 전 대통령실장이 중국에서 비밀리에 북한 당국자와 접촉했다는 언론 보도를 놓고 확인 소동이 벌어졌다.

임태희	임태희/NNP
전	전/MMD
대통령실장이	대통령실장/NNG+이/JKS
중국에서	중국/NNP+에서/JKB
비밀리에	비밀/NNG+리/XSN+에/JKB
북한	북한/NNP
당국자와	당국자/NNG+와/JKB
접촉했다는	접촉/NNG+하/XSV+았/EP+다는/ETM
언론	언론/NNG
보도를	보도/NNG+를/JKO
놓고	놓/VV+고/EC
확인	확인/NNG
소동이	소동/NNG+이/JKS
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.313.3.2
청와대와 임 전 실장은 “사실이 아니다”고 부인했다.

청와대와	청와대/NNP+와/JC
임	임/NNP
전	전/MMD
실장은	실장/NNG+은/JX
“사실이	“/SS+사실/NNG+이/JKC
아니다”고	아니/VCN+다/EF+”/SS+고/JKQ
부인했다.	부인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.313.4.1
연합뉴스는 16일 소식통을 인용해 “2∼4일 중국 베이징(北京)을 방문한 임 전 실장이 일행 1명과 함께 북한대사관 참사관 2명을 만났다”고 보도했다.

연합뉴스는	연합뉴스/NNP+는/JX
16일	16/SN+일/NNB
소식통을	소식통/NNG+을/JKO
인용해	인용/NNG+하/XSV+아/EC
“2∼4일	“/SS+2/SN+∼/SO+4/SN+일/NNB
중국	중국/NNP
베이징(北京)을	베이징/NNP+(/SS+北京/SH+)/SS+을/JKO
방문한	방문/NNG+하/XSV+ㄴ/ETM
임	임/NNP
전	전/MMD
실장이	실장/NNG+이/JKS
일행	일행/NNG
1명과	1/SN+명/NNB+과/JKB
함께	함께/MAG
북한대사관	북한대사관/NNP
참사관	참사관/NNG
2명을	2/SN+명/NNB+을/JKO
만났다”고	만나/VV+았/EP+다/EF+”/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.313.4.2
이에 따르면 임 전 실장은 북측과의 만남에서 ‘북한이 개성공단, 금강산 등에서 유연한 입장을 보이면 서로 운신의 폭이 넓어질 수 있다’는 요지를 전달했다.

이에	이/NP+에/JKB
따르면	따르/VV+면/EC
임	임/NNP
전	전/MMD
실장은	실장/NNG+은/JX
북측과의	북측/NNG+과/JKB+의/JKG
만남에서	만남/NNG+에서/JKB
‘북한이	‘/SS+북한/NNP+이/JKS
