# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.96
metadata : {}


# id : NWRW1800000032.96.1.1
재일한국인들 ‘일 국수주의’ 발끈

재일한국인들	재일/NNG+한국인/NNG+들/XSN
‘일	‘/SS+일/NNP
국수주의’	국수주의/NNG+’/SS
발끈	발끈/MAG


# id : NWRW1800000032.96.2.1
외국인 정치헌금에 ‘해국인’ 취급

외국인	외국인/NNG
정치헌금에	정치/NNG+헌금/NNG+에/JKB
‘해국인’	‘/SS+해국인/NNG+’/SS
취급	취급/NNG


# id : NWRW1800000032.96.3.1
마에하라 외상 사임 파문

마에하라	마에하라/NNP
외상	외상/NNG
사임	사임/NNG
파문	파문/NNG


# id : NWRW1800000032.96.4.1
“일본의 보수주의가 자꾸 국수주의로 흘러가는 것 같다.”

“일본의	“/SS+일본/NNP+의/JKG
보수주의가	보수주의/NNG+가/JKS
자꾸	자꾸/MAG
국수주의로	국수주의/NNG+로/JKB
흘러가는	흘러가/VV+는/ETM
것	것/NNB
같다.”	같/VA+다/EF+./SF+”/SS


# id : NWRW1800000032.96.4.2
마에하라 세이지 외상이 재일한국인한테서 2005년부터 5만엔씩 20만엔의 정치헌금을 받은 일로 사임까지 하게 된 데 대해 재일한국인들이 불편한 마음을 토로하고 있다.

마에하라	마에하라/NNP
세이지	세이지/NNP
외상이	외상/NNG+이/JKS
재일한국인한테서	재일/NNG+한국인/NNG+한테서/JKB
2005년부터	2005/SN+년/NNB+부터/JX
5만엔씩	5/SN+만/NR+엔/NNB+씩/XSN
20만엔의	20/SN+만/NR+엔/NNB+의/JKG
정치헌금을	정치/NNG+헌금/NNG+을/JKO
받은	받/VV+은/ETM
일로	일/NNG+로/JKB
사임까지	사임/NNG+까지/JX
하게	하/VV+게/EC
된	되/VV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
재일한국인들이	재일/NNG+한국인/NNG+들/XSN+이/JKS
불편한	불편/NNG+하/XSA+ㄴ/ETM
마음을	마음/NNG+을/JKO
토로하고	토로/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.96.4.3
외국인을 나라에 해를 끼치는 사람으로 보는 일본 사회의 ‘배타성’이 또 한번 여실히 드러난 사례가 아니냐는 것이다.

외국인을	외국인/NNG+을/JKO
나라에	나라/NNG+에/JKB
해를	해/NNG+를/JKO
끼치는	끼치/VV+는/ETM
사람으로	사람/NNG+으로/JKB
보는	보/VV+는/ETM
일본	일본/NNP
사회의	사회/NNG+의/JKG
‘배타성’이	‘/SS+배타/NNG+성/XSN+’/SS+이/JKS
또	또/MAG
한번	한번/NNG
여실히	여실히/MAG
드러난	드러나/VV+ㄴ/ETM
사례가	사례/NNG+가/JKC
아니냐는	아니/VCN+냐는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.96.5.1
일본에 온 지 11년째인 사업가 김아무개(47)씨는 “어머니 같은 분이 정성으로 건넨 돈이지 뇌물이 아닌데다, 법을 모르고 준 것”이라며 “(마에하라 외상의 자금관리단체가) 돈을 돌려주고, 관리를 잘못한 데 대해 사과하면 되는 일 아니냐”며 이해할 수 없다는 반응을 보였다.

일본에	일본/NNP+에/JKB
온	오/VV+ㄴ/ETM
지	지/NNB
11년째인	11/SN+년/NNB+째/XSN+이/VCP+ㄴ/ETM
사업가	사업가/NNG
김아무개(47)씨는	김/NNP+아무개/NP+(/SS+47/SN+)/SS+씨/NNB+는/JX
“어머니	“/SS+어머니/NNG
같은	같/VA+은/ETM
분이	분/NNB+이/JKS
정성으로	정성/NNG+으로/JKB
건넨	건네/VV+ㄴ/ETM
돈이지	돈/NNG+이/VCP+지/EC
뇌물이	뇌물/NNG+이/JKC
아닌데다,	아니/VCN+ㄴ/ETM+데/NNB+다/JX+,/SP
법을	법/NNG+을/JKO
모르고	모르/VV+고/EC
준	주/VX+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“(마에하라	“/SS+(/SS+마에하라/NNP
외상의	외상/NNG+의/JKG
자금관리단체가)	자금/NNG+관리/NNG+단체/NNG+가/JKS+)/SS
돈을	돈/NNG+을/JKO
돌려주고,	돌리/VV+어/EC+주/VX+고/EC+,/SP
관리를	관리/NNG+를/JKO
잘못한	잘못/MAG+하/XSV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
사과하면	사과/NNG+하/XSV+면/EC
되는	되/VV+는/ETM
일	일/NNG
아니냐”며	아니/VCN+냐/EF+”/SS+며/EC
이해할	이해/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
반응을	반응/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.96.5.2
실제 과거 후쿠다 야스오 전 총리 등이 재일한국인한테 정치헌금을 받은 일이 드러난 적이 있으나, 정치적 책임을 지거나 형사소추를 당하지는 않았다.

실제	실제/NNG
과거	과거/NNG
후쿠다	후쿠다/NNP
야스오	야스오/NNP
전	전/MMD
총리	총리/NNG
등이	등/NNB+이/JKS
재일한국인한테	재일/NNG+한국인/NNG+한테/JKB
정치헌금을	정치/NNG+헌금/NNG+을/JKO
받은	받/VV+은/ETM
일이	일/NNG+이/JKS
드러난	드러나/VV+ㄴ/ETM
적이	적/NNB+이/JKS
있으나,	있/VA+으나/EC+,/SP
정치적	정치/NNG+적/XSN
책임을	책임/NNG+을/JKO
지거나	지/VV+거나/EC
형사소추를	형사/NNG+소추/NNG+를/JKO
당하지는	당하/VV+지/EC+는/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.96.6.1
물론 정치자금 의혹을 받은 오자와 이치로 전 민주당 대표를 향해 “몰랐다고 해서 책임을 면할 수 있는 것은 아니다”라고 공격한 마에하라 외상인 만큼 자신에 대해서도 엄격한 잣대를 들이대는 게 맞다는 지적도 나온다.

물론	물론/MAG
정치자금	정치/NNG+자금/NNG
의혹을	의혹/NNG+을/JKO
받은	받/VV+은/ETM
오자와	오자와/NNP
이치로	이치로/NNP
전	전/MMD
민주당	민주당/NNP
대표를	대표/NNG+를/JKO
향해	향하/VV+아/EC
“몰랐다고	“/SS+모르/VV+았/EP+다고/EC
해서	하/VV+아서/EC
책임을	책임/NNG+을/JKO
면할	면하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
것은	것/NNB+은/JX
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
공격한	공격/NNG+하/XSV+ㄴ/ETM
마에하라	마에하라/NNP
외상인	외상/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
자신에	자신/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
엄격한	엄격/NNG+하/XSA+ㄴ/ETM
잣대를	잣대/NNG+를/JKO
들이대는	들이대/VV+는/ETM
게	거/NNB+이/JKS
맞다는	맞/VV+다는/ETM
지적도	지적/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.96.6.2
문제는 ‘외국인’을 보는 일본 안의 시각이라는 게 교민들의 반응이다.

문제는	문제/NNG+는/JX
‘외국인’을	‘/SS+외국인/NNG+’/SS+을/JKO
보는	보/VV+는/ETM
일본	일본/NNP
안의	안/NNG+의/JKG
시각이라는	시각/NNG+이/VCP+라는/ETM
게	거/NNB+이/JKS
교민들의	교민/NNG+들/XSN+의/JKG
반응이다.	반응/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.96.7.1
교민단체의 한 간부는 “헌금을 한 분은 38년 전부터 일본에 살아온 특별영주자로 일본인이나 다름없다”며 “정당의 당원이면 외국인도 헌금을 할 수 있는데, 단지 당원이 아닌 외국인이 헌금을 했다고 이렇게까지 소란스러운 것은 이해하기 어렵다”고 말했다.

교민단체의	교민/NNG+단체/NNG+의/JKG
한	하/VV+ㄴ/ETM
간부는	간부/NNG+는/JX
