# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.1
metadata : {}


# id : NWRW1800000030.1.1.1
매출 150조, 주가 100만원 삼성전자 한꺼번에 넘었다

매출	매출/NNG
150조,	150/SN+조/NR+,/SP
주가	주가/NNG
100만원	100/SN+만/NR+원/NNB
삼성전자	삼성전자/NNP
한꺼번에	한꺼번에/MAG
넘었다	넘/VV+었/EP+다/EF


# id : NWRW1800000030.1.2.1
삼성전자는 지난해 연간 매출액 154조6300억원, 영업이익 17조3000억원의 경영 실적을 기록했다고 28일 공시했다.

삼성전자는	삼성전자/NNP+는/JX
지난해	지난해/NNG
연간	연간/NNG
매출액	매출액/NNG
154조6300억원,	154/SN+조/NR+6300/SN+억/NR+원/NNB+,/SP
영업이익	영업/NNG+이익/NNG
17조3000억원의	17/SN+조/NR+3000/SN+억/NR+원/NNB+의/JKG
경영	경영/NNG
실적을	실적/NNG+을/JKO
기록했다고	기록/NNG+하/XSV+았/EP+다고/EC
28일	28/SN+일/NNB
공시했다.	공시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.1.2.2
매출과 영업이익 모두 창사 이래 최대 규모다.

매출과	매출/NNG+과/JC
영업이익	영업/NNG+이익/NNG
모두	모두/MAG
창사	창사/NNG
이래	이래/NNB
최대	최대/NNG
규모다.	규모/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.1.3.1
이날 삼성전자 주가도 전날보다 1만6000원(1.61%) 오르며 사상 최고가인 101만원에 장을 마감했다.

이날	이날/NNG
삼성전자	삼성전자/NNP
주가도	주가/NNG+도/JX
전날보다	전날/NNG+보다/JKB
1만6000원(1.61%)	1/SN+만/NR+6000/SN+원/NNB+(/SS+1/SN+./SP+61/SN+%/SW+)/SS
오르며	오르/VV+며/EC
사상	사상/NNG
최고가인	최고/NNG+가/XSN+이/VCP+ㄴ/ETM
101만원에	101/SN+만/NR+원/NNB+에/JKB
장을	장/NNG+을/JKO
마감했다.	마감/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.1.3.2
지난 19일과 27일 장중에 100만원을 돌파한 적은 있지만 종가 기준으로 100만원을 넘어선 것은 처음이다.

지난	지나/VV+ㄴ/ETM
19일과	19/SN+일/NNB+과/JC
27일	27/SN+일/NNB
장중에	장중/NNG+에/JKB
100만원을	100/SN+만/NR+원/NNB+을/JKO
돌파한	돌파/NNG+하/XSV+ㄴ/ETM
적은	적/NNB+은/JX
있지만	있/VA+지만/EC
종가	종가/NNG
기준으로	기준/NNG+으로/JKB
넘어선	넘어서/VV+ㄴ/ETM
것은	것/NNB+은/JX
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.1.4.1
삼성전자의 사상 최대 실적은 반도체가 주도했다.

삼성전자의	삼성전자/NNP+의/JKG
사상	사상/NNG
최대	최대/NNG
실적은	실적/NNG+은/JX
반도체가	반도체/NNG+가/JKS
주도했다.	주도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.1.4.2
반도체사업부의 영업이익이 10조1100억원으로 전체의 58%를 차지했다.

반도체사업부의	반도체/NNG+사업부/NNG+의/JKG
영업이익이	영업/NNG+이익/NNG+이/JKS
10조1100억원으로	10/SN+조/NR+1100/SN+억/NR+원/NNB+으로/JKB
전체의	전체/NNG+의/JKG
58%를	58/SN+%/SW+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.1.4.3
스마트폰·태블릿PC 열풍, 윈도7 출시에 따른 메모리·시스템LSI(비메모리 반도체) 수요 증가가 반도체 실적을 뒷받침했다.

스마트폰·태블릿PC	스마트폰/NNG+·/SP+태블릿/NNG+PC/SL
열풍,	열풍/NNG+,/SP
윈도7	윈도7/NNP
출시에	출시/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
메모리·시스템LSI(비메모리	메모리/NNG+·/SP+시스템/NNG+LSI/SL+(/SS+비/XPN+메모리/NNG
반도체)	반도체/NNG+)/SS
수요	수요/NNG
증가가	증가/NNG+가/JKS
반도체	반도체/NNG
실적을	실적/NNG+을/JKO
뒷받침했다.	뒷받침/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.1.5.1
통신(휴대폰·네트워크) 부문도 영업이익 4조3000억원을 기록하며 선전했다.

통신(휴대폰·네트워크)	통신/NNG+(/SS+휴대폰/NNG+·/SP+네트워크/NNG+)/SS
부문도	부문/NNG+도/JX
영업이익	영업/NNG+이익/NNG
4조3000억원을	4/SN+조/NR+3000/SN+억/NR+원/NNB+을/JKO
기록하며	기록/NNG+하/XSV+며/EC
선전했다.	선전/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.1.5.2
애플 아이폰에 맞서 작년 하반기부터 갤럭시S와 같은 스마트폰 분야에서 약진했기 때문이라는 분석이다.

애플	애플/NNP
아이폰에	아이폰/NNP+에/JKB
맞서	맞서/VV+어/EC
작년	작년/NNG
하반기부터	하반기/NNG+부터/JX
갤럭시S와	갤럭시S/NNP+와/JKB
같은	같/VA+은/ETM
스마트폰	스마트폰/NNG
분야에서	분야/NNG+에서/JKB
약진했기	약진/NNG+하/XSV+았/EP+기/ETN
때문이라는	때문/NNB+이/VCP+라는/ETM
분석이다.	분석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.1.5.3
스마트폰은 '갤럭시S' 1000만대 등 모두 2500만대를 판매했다.

스마트폰은	스마트폰/NNG+은/JX
'갤럭시S'	'/SS+갤럭시S/NNP+'/SS
1000만대	1000/SN+만/NR+대/NNB
등	등/NNB
모두	모두/MAG
2500만대를	2500/SN+만/NR+대/NNB+를/JKO
판매했다.	판매/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.1.5.4
태블릿PC인 '갤럭시탭'은 150만대가 팔렸다.

태블릿PC인	태블릿/NNG+PC/SL+이/VCP+ㄴ/ETM
'갤럭시탭'은	'/SS+갤럭시탭/NNP+'/SS+은/JX
150만대가	150/SN+만/NR+대/NNB+가/JKS
팔렸다.	팔리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.1.5.5
회사측은 "조만간 갤럭시S 후속 모델을 내놓는 등 올 한 해 6000만대의 스마트폰을 판매할 계획"이라고 밝혔다.

회사측은	회사/NNG+측/NNB+은/JX
"조만간	"/SS+조만간/MAG
갤럭시S	갤럭시S/NNP
후속	후속/NNG
모델을	모델/NNG+을/JKO
내놓는	내놓/VV+는/ETM
등	등/NNB
올	올/NNG
한	한/MMN
해	해/NNB
