# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.168
metadata : {}


# id : NWRW1800000030.168.1.1
미국인이 60대 폭행할때 버스 승객 아무도 안 나섰다

미국인이	미국인/NNG+이/JKS
60대	60/SN+대/NNB
폭행할때	폭행/NNG+하/XSV+ㄹ/ETM+때/NNG
버스	버스/NNG
승객	승객/NNG
아무도	아무/NP+도/JX
안	안/MAG
나섰다	나서/VV+었/EP+다/EF


# id : NWRW1800000030.168.2.1
?한 승객이 112 신고, 출동 경찰에 붙잡혀

?한	?/SF+한/MMN
승객이	승객/NNG+이/JKS
112	112/SN
신고,	신고/NNG+,/SP
출동	출동/NNG
경찰에	경찰/NNG+에/JKB
붙잡혀	붙잡히/VV+어/EF


# id : NWRW1800000030.168.3.1
경기도 분당경찰서는 시내버스에서 60대 승객을 폭행한 혐의로 흑인 영어 강사 H(24)씨를 불구속 입건했다고 29일 밝혔다.

경기도	경기도/NNP
분당경찰서는	분당경찰서/NNP+는/JX
시내버스에서	시내버스/NNG+에서/JKB
60대	60/SN+대/NNB
승객을	승객/NNG+을/JKO
폭행한	폭행/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
흑인	흑인/NNG
영어	영어/NNP
강사	강사/NNG
H(24)씨를	H/SL+(/SS+24/SN+)/SS+씨/NNB+를/JKO
불구속	불/XPN+구속/NNG
입건했다고	입건/NNG+하/XSV+았/EP+다고/EC
29일	29/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.168.4.1
분당의 영어학원에서 강사로 일하고 있는 미국인 H씨는 지난 27일 밤 11시 10분쯤 성남시 지하철 8호선 모란역에서 분당 방면으로 운행하던 시내버스에서 좌석에 앉아 있던 선모(61)씨에게 'shut up(입 다물어)', '개××야' 등 영어와 한국어로 욕을 하고 얼굴을 때린 혐의를 받고 있다.

분당의	분당/NNP+의/JKG
영어학원에서	영어/NNP+학원/NNG+에서/JKB
강사로	강사/NNG+로/JKB
일하고	일/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
미국인	미국인/NNG
H씨는	H/SL+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
27일	27/SN+일/NNB
밤	밤/NNG
11시	11/SN+시/NNB
10분쯤	10/SN+분/NNB+쯤/XSN
성남시	성남시/NNP
지하철	지하철/NNG
8호선	8/SN+호선/NNB
모란역에서	모란역/NNP+에서/JKB
분당	분당/NNP
방면으로	방면/NNG+으로/JKB
운행하던	운행/NNG+하/XSV+던/ETM
시내버스에서	시내버스/NNG+에서/JKB
좌석에	좌석/NNG+에/JKB
앉아	앉/VV+아/EC
있던	있/VX+던/ETM
선모(61)씨에게	선/NNP+모/NP+(/SS+61/SN+)/SS+씨/NNB+에게/JKB
'shut	'/SS+shut/SL
up(입	up/SL+(/SS+입/NNG
다물어)',	다물/VV+어/EC+)/SS+'/SS+,/SP
'개××야'	'/SS+개××/NF+야/JKV+'/SS
등	등/NNB
영어와	영어/NNP+와/JC
한국어로	한국어/NNP+로/JKB
욕을	욕/NNG+을/JKO
하고	하/VV+고/EC
얼굴을	얼굴/NNG+을/JKO
때린	때리/VV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.168.5.1
H씨는 버스 안에서 큰 목소리로 통화하던 중 선씨가 영어로 'shut up'이라고 말하자 흥분해 선씨에게 욕을 하며 폭행했다고 경찰은 밝혔다.

H씨는	H/SL+씨/NNB+는/JX
버스	버스/NNG
안에서	안/NNG+에서/JKB
큰	크/VA+ㄴ/ETM
목소리로	목소리/NNG+로/JKB
통화하던	통화/NNG+하/XSV+던/ETM
