# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.91
metadata : {}


# id : NWRW1800000056.91.1.1
미 국방수권법 상원통과…아태지역 무기판매 증대 요청

미	미/NNP
국방수권법	국방/NNG+수권법/NNG
상원통과…아태지역	상원/NNG+통과/NNG+…/SE+아태지역/NNP
무기판매	무기/NNG+판매/NNG
증대	증대/NNG
요청	요청/NNG


# id : NWRW1800000056.91.2.1
[한겨레] 미사일방어능력 증가 등 요청

[한겨레]	[/SS+한겨레/NNP+]/SS
미사일방어능력	미사일/NNG+방어/NNG+능력/NNG
증가	증가/NNG
등	등/NNB
요청	요청/NNG


# id : NWRW1800000056.91.3.1
미국 상원이 18일(현지시각) 아시아·태평양 지역에서 미국의 확장 억지 및 보장 능력을 높이라고 행정부에 요구하는 내용의 ‘2018 회계연도’ 국방수권법안을 89 대 8로 채택했다.

미국	미국/NNP
상원이	상원/NNG+이/JKS
18일(현지시각)	18/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
아시아·태평양	아시아/NNP+·/SP+태평양/NNP
지역에서	지역/NNG+에서/JKB
미국의	미국/NNP+의/JKG
확장	확장/NNG
억지	억지/NNG
및	및/MAG
보장	보장/NNG
능력을	능력/NNG+을/JKO
높이라고	높이/VV+라고/EC
행정부에	행정부/NNG+에/JKB
요구하는	요구/NNG+하/XSV+는/ETM
내용의	내용/NNG+의/JKG
‘2018	‘/SS+2018/SN
회계연도’	회계/NNG+연도/NNG+’/SS
국방수권법안을	국방/NNG+수권/NNG+법안/NNG+을/JKO
89	89/SN
대	대/NNB
8로	8/SN+로/JKB
채택했다.	채택/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.91.4.1
상원을 통과한 국방수권법안은 “법 제정 뒤 30일 안에 국방장관이 아태 지역 내 미국의 확장 억지 및 보장 능력 제고를 위한 계획을 제출하라”고 명시했다.

상원을	상원/NNG+을/JKO
통과한	통과/NNG+하/XSV+ㄴ/ETM
국방수권법안은	국방/NNG+수권/NNG+법안/NNG+은/JX
“법	“/SS+법/NNG
제정	제정/NNG
뒤	뒤/NNG
30일	30/SN+일/NNB
안에	안/NNG+에/JKB
국방장관이	국방/NNG+장관/NNG+이/JKS
아태	아태/NNP
지역	지역/NNG
내	내/NNB
미국의	미국/NNP+의/JKG
확장	확장/NNG
억지	억지/NNG
및	및/MAG
보장	보장/NNG
능력	능력/NNG
제고를	제고/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
계획을	계획/NNG+을/JKO
제출하라”고	제출/NNG+하/XSV+라/EF+”/SS+고/JKQ
명시했다.	명시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.91.4.2
법안은 계획서에 △아태 지역 동맹국들에 대한 무기 판매 증대 △동맹국들과의 군사 협력 및 훈련, 통합 방어 확대 방안 등을 포함하라고 규정했다.

법안은	법안/NNG+은/JX
계획서에	계획서/NNG+에/JKB
△아태	△/SW+아태/NNP
지역	지역/NNG
