# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.211
metadata : {}


# id : NWRW1800000021.211.1.1
[대구/경북]대구 대명천 2011년까지 친환경 생태하천으로 복원

[대구/경북]대구	[/SS+대구/NNP+//SP+경북/NNP+]/SS+대구/NNP
대명천	대명천/NNP
2011년까지	2011/SN+년/NNB+까지/JX
친환경	친/XPN+환경/NNG
생태하천으로	생태/NNG+하천/NNG+으로/JKB
복원	복원/NNG


# id : NWRW1800000021.211.2.1
대구 달서구 대명천이 친환경 생태하천으로 바뀐다.

대구	대구/NNP
달서구	달서구/NNP
대명천이	대명천/NNP+이/JKS
친환경	친/XPN+환경/NNG
생태하천으로	생태/NNG+하천/NNG+으로/JKB
바뀐다.	바뀌/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.211.2.2
2일 달서구에 따르면 내년부터 달서구 무지개공원∼월성빗물펌프장 간 대명천(3.8km)을 친환경 생태하천으로 되살리는 사업을 벌인다.

2일	2/SN+일/NNB
달서구에	달서구/NNP+에/JKB
따르면	따르/VV+면/EC
내년부터	내년/NNG+부터/JX
달서구	달서구/NNP
무지개공원∼월성빗물펌프장	무지개공원/NNP+∼/SO+월성빗물펌프장/NNP
간	간/NNB
대명천(3.8km)을	대명천/NNP+(/SS+3/SN+./SP+8/SN+km/SW+)/SS+을/JKO
친환경	친/XPN+환경/NNG
생태하천으로	생태/NNG+하천/NNG+으로/JKB
되살리는	되살리/VV+는/ETM
사업을	사업/NNG+을/JKO
벌인다.	벌이/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.211.2.3
국비 50억 원과 시비, 구비 등 총 100억 원이 투입되며 2011년에 완공될 예정이다.

국비	국비/NNG
50억	50/SN+억/NR
원과	원/NNB+과/JC
시비,	시비/NNG+,/SP
구비	구비/NNG
등	등/NNB
총	총/MMA
100억	100/SN+억/NR
원이	원/NNB+이/JKS
투입되며	투입/NNG+되/XSV+며/EC
2011년에	2011/SN+년/NNB+에/JKB
완공될	완공/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.211.3.1
달서구는 대구시가 실시 중인 대명천 오수 차집시설 설치 공사가 2010년에 마무리되면 1단계로 악취를 내뿜는 퇴적 오니를 걷어낼 방침이다.

달서구는	달서구/NNP+는/JX
대구시가	대구시/NNP+가/JKS
실시	실시/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
대명천	대명천/NNP
오수	오수/NNG
차집시설	차집/NNG+시설/NNG
설치	설치/NNG
공사가	공사/NNG+가/JKS
2010년에	2010/SN+년/NNB+에/JKB
마무리되면	마무리/NNG+되/XSV+면/EC
1단계로	1/SN+단계/NNG+로/JKB
악취를	악취/NNG+를/JKO
내뿜는	내뿜/VV+는/ETM
퇴적	퇴적/NNG
오니를	오니/NNG+를/JKO
걷어낼	걷/VV+어/EC+내/VX+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.211.3.2
이어 2단계로 대명천 둔치에 산책로와 체육시설 등 편의시설을 설치하고 수생식물을 심는 등 일대를 대대적으로 정비하기로 했다.

이어	이어/MAG
2단계로	2/SN+단계/NNG+로/JKB
대명천	대명천/NNP
둔치에	둔치/NNG+에/JKB
산책로와	산책로/NNG+와/JC
체육시설	체육/NNG+시설/NNG
등	등/NNB
편의시설을	편의/NNG+시설/NNG+을/JKO
설치하고	설치/NNG+하/XSV+고/EC
수생식물을	수생/NNG+식물/NNG+을/JKO
심는	심/VV+는/ETM
일대를	일대/NNG+를/JKO
대대적으로	대대적/NNG+으로/JKB
정비하기로	정비/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.211.3.3
낙동강의 깨끗한 물을 끌어와 다시 흘려보내는 시설을 설치해 수질도 개선하기로 했다.

낙동강의	낙동강/NNP+의/JKG
깨끗한	깨끗하/VA+ㄴ/ETM
물을	물/NNG+을/JKO
끌어와	끌어오/VV+아/EC
다시	다시/MAG
흘려보내는	흘려보내/VV+는/ETM
시설을	시설/NNG+을/JKO
설치해	설치/NNG+하/XSV+아/EC
수질도	수질/NNG+도/JX
개선하기로	개선/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.211.3.4
달서구 관계자는 “대명천은 폭이 넓어 준설과 둔치 일대 정비사업 등이 마무리되면 이 일대 주민과 부근 성서공단 근로자 등에게 쾌적한 휴식공간이 될 수 있을 것”이라고 말했다.

달서구	달서구/NNP
관계자는	관계자/NNG+는/JX
“대명천은	“/SS+대명천/NNP+은/JX
폭이	폭/NNG+이/JKS
넓어	넓/VA+어/EC
준설과	준설/NNG+과/JC
둔치	둔치/NNG
일대	일대/NNG
정비사업	정비/NNG+사업/NNG
등이	등/NNB+이/JKS
마무리되면	마무리/NNG+되/XSV+면/EC
이	이/MMD
주민과	주민/NNG+과/JC
부근	부근/NNG
성서공단	성서공단/NNP
근로자	근로자/NNG
등에게	등/NNB+에게/JKB
쾌적한	쾌적하/VA+ㄴ/ETM
휴식공간이	휴식/NNG+공간/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


