# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.225
metadata : {}


# id : NWRW1800000053.225.1.1
박상훈 ‘돌풍’… 빨간 물방울 셔츠 입다

박상훈	박상훈/NNP
‘돌풍’…	‘/SS+돌풍/NNG+’/SS+…/SE
빨간	빨갛/VA+ㄴ/ETM
물방울	물방울/NNG
셔츠	셔츠/NNG
입다	입/VV+다/EC


# id : NWRW1800000053.225.2.1
투르 드 코리아 첫날 여수∼군산 구간 주니어 세계선수권 추발 금메달 출신, 스피드 장점인데 깜짝 산악왕 등극 “개인종합 상위권도 노려 보겠다” 이사가, 1구간 개인종합 우승 차지

투르	투르/NNG
드	드/NNG
코리아	코리아/NNP
첫날	첫날/NNG
여수∼군산	여수/NNP+∼/SO+군산/NNP
구간	구간/NNG
주니어	주니어/NNG
세계선수권	세계/NNG+선수/NNG+권/XSN
추발	추발/NNG
금메달	금메달/NNG
출신,	출신/NNG+,/SP
스피드	스피드/NNG
장점인데	장점/NNG+이/VCP+ㄴ데/EC
깜짝	깜짝/MAG
산악왕	산악/NNG+왕/NNG
등극	등극/NNG
“개인종합	“/SS+개인/NNG+종합/NNG
상위권도	상위/NNG+권/XSN+도/JX
노려	노리/VV+어/EC
보겠다”	보/VX+겠/EP+다/EF+”/SS
이사가,	이사가/NNP+,/SP
1구간	1/SN+구간/NNG
개인종합	개인/NNG+종합/NNG
우승	우승/NNG
차지	차지/NNG


# id : NWRW1800000053.225.3.1
‘투르 드 코리아(TDK) 2017’이 전남 여수 소호 요트경기장에서 힘찬 레이스를 시작했다.

‘투르	‘/SS+투르/NNG
드	드/NNG
코리아(TDK)	코리아/NNP+(/SS+TDK/SL+)/SS
2017’이	2017/SN+’/SS+이/JKS
전남	전남/NNP
여수	여수/NNP
소호	소호/NNP
요트경기장에서	요트/NNG+경기장/NNG+에서/JKB
힘찬	힘차/VA+ㄴ/ETM
레이스를	레이스/NNG+를/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.225.3.2
올해로 11회째를 맞은 국내 유일의 국제 도로 대회인 TDK는 18일까지 778.9km를 달린다.

올해로	올해/NNG+로/JKB
11회째를	11/SN+회/NNB+째/XSN+를/JKO
맞은	맞/VV+은/ETM
국내	국내/NNG
유일의	유일/NNG+의/JKG
국제	국제/NNG
도로	도로/NNG
대회인	대회/NNG+이/VCP+ㄴ/ETM
TDK는	TDK/SL+는/JX
18일까지	18/SN+일/NNB+까지/JX
778.9km를	778/SN+./SP+9/SN+km/SW+를/JKO
달린다.	달리/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.225.4.1
여수에서 전북 군산까지 216.9km를 달린 첫날 한국 사이클의 유망주 박상훈(서울시청)은 생애 처음으로 산악왕을 차지하며 레드 폴카 닷 저지(빨간 물방울 셔츠)를 입었다.

여수에서	여수/NNP+에서/JKB
전북	전북/NNP
군산까지	군산/NNP+까지/JX
216.9km를	216/SN+./SP+9/SN+km/SW+를/JKO
달린	달리/VV+ㄴ/ETM
첫날	첫날/NNG
한국	한국/NNP
사이클의	사이클/NNG+의/JKG
유망주	유망주/NNG
박상훈(서울시청)은	박상훈/NNP+(/SS+서울시청/NNP+)/SS+은/JX
생애	생애/NNG
처음으로	처음/NNG+으로/JKB
산악왕을	산악/NNG+왕/NNG+을/JKO
차지하며	차지/NNG+하/XSV+며/EC
레드	레드/NNG
폴카	폴카/NNG
닷	닷/NNG
저지(빨간	저지/NNG+(/SS+빨갛/VA+ㄴ/ETM
물방울	물방울/NNG
셔츠)를	셔츠/NNG+)/SS+를/JKO
입었다.	입/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.225.5.1
도로 사이클 대회는 저지를 차지하고 지키려는 싸움이다.

도로	도로/NNG
사이클	사이클/NNG
대회는	대회/NNG+는/JX
저지를	저지/NNG+를/JKO
차지하고	차지/NNG+하/XSV+고/EC
지키려는	지키/VV+려는/ETM
싸움이다.	싸움/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.225.5.2
각 구간이 끝날 때마다 개인종합 1위는 옐로, 산악 구간은 레드 폴카 닷, 스프린트는 블루, 23세 미만 중 기록이 가장 좋은 선수는 화이트 저지를 받아 다음 구간에서 입고 달린다.

각	각/MMD
구간이	구간/NNG+이/JKS
끝날	끝나/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
개인종합	개인/NNG+종합/NNG
1위는	1/SN+위/NNB+는/JX
옐로,	옐로/NNG+,/SP
산악	산악/NNG
구간은	구간/NNG+은/JX
레드	레드/NNG
폴카	폴카/NNG
닷,	닷/NNG+,/SP
스프린트는	스프린트/NNG+는/JX
블루,	블루/NNG+,/SP
23세	23/SN+세/NNB
미만	미만/NNG
중	중/NNB
기록이	기록/NNG+이/JKS
가장	가장/MAG
좋은	좋/VA+은/ETM
선수는	선수/NNG+는/JX
화이트	화이트/NNG
저지를	저지/NNG+를/JKO
받아	받/VV+아/EC
다음	다음/NNG
구간에서	구간/NNG+에서/JKB
입고	입/VV+고/EC
달린다.	달리/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.225.6.1
저지는 도로 사이클 대회의 대명사인 투르 드 프랑스(TDF)에서 유래했다.

저지는	저지/NNG+는/JX
도로	도로/NNG
사이클	사이클/NNG
대회의	대회/NNG+의/JKG
대명사인	대명사/NNG+이/VCP+ㄴ/ETM
투르	투르/NNG
드	드/NNG
프랑스(TDF)에서	프랑스/NNP+(/SS+TDF/SL+)/SS+에서/JKB
유래했다.	유래/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.225.6.2
수많은 선수 가운데 누가 우승 후보인지를 알려주기 위해서였다.

수많은	수많/VA+은/ETM
선수	선수/NNG
가운데	가운데/NNG
누가	누구/NP+가/JKS
우승	우승/NNG
후보인지를	후보/NNG+이/VCP+ㄴ지/EF+를/JKO
알려주기	알리/VV+어/EC+주/VX+기/ETN
위해서였다.	위하/VV+아서/EC+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000053.225.6.3
1919년 옐로 저지를 고안한 TDF는 1930년대 ‘인내력의 상징’인 산악 구간 우승자를 따로 선정했고 1975년부터 레드 폴카 닷 저지를 입게 했다.

1919년	1919/SN+년/NNB
옐로	옐로/NNG
저지를	저지/NNG+를/JKO
고안한	고안/NNG+하/XSV+ㄴ/ETM
TDF는	TDF/SL+는/JX
1930년대	1930/SN+년대/NNB
‘인내력의	‘/SS+인내력/NNG+의/JKG
상징’인	상징/NNG+’/SS+이/VCP+ㄴ/ETM
산악	산악/NNG
구간	구간/NNG
우승자를	우승자/NNG+를/JKO
따로	따로/MAG
선정했고	선정/NNG+하/XSV+았/EP+고/EC
1975년부터	1975/SN+년/NNB+부터/JX
레드	레드/NNG
폴카	폴카/NNG
닷	닷/NNG
입게	입/VV+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.225.7.1
이날 시상대에 선 박상훈은 2011년 8월 모스크바 주니어세계선수권대회 남자 개인추발(3km)에서 우승하며 관계자들을 놀라게 한 선수다.

이날	이날/NNG
시상대에	시상대/NNG+에/JKB
선	서/VV+ㄴ/ETM
박상훈은	박상훈/NNP+은/JX
2011년	2011/SN+년/NNB
8월	8/SN+월/NNB
모스크바	모스크바/NNP
주니어세계선수권대회	주니어/NNG+세계/NNG+선수/NNG+권/XSN+대회/NNG
남자	남자/NNG
개인추발(3km)에서	개인/NNG+추발/NNG+(/SS+3/SN+km/SW+)/SS+에서/JKB
우승하며	우승/NNG+하/XSV+며/EC
관계자들을	관계자/NNG+들/XSN+을/JKO
놀라게	놀라/VV+게/EC
한	하/VX+ㄴ/ETM
선수다.	선수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.225.7.2
남자 사이클에서 세계선수권 금메달을 딴 것은 그가 처음이다.

남자	남자/NNG
사이클에서	사이클/NNG+에서/JKB
세계선수권	세계/NNG+선수/NNG+권/XSN
금메달을	금메달/NNG+을/JKO
딴	따/VV+ㄴ/ETM
것은	것/NNB+은/JX
그가	그/NP+가/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.225.7.3
