# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.44
metadata : {}


# id : NWRW1800000049.44.1.1
애플보다 한 수 위 ‘3D 터치’ 기술 국내서 개발

애플보다	애플/NNP+보다/JKB
한	한/MMN
수	수/NNG
위	위/NNG
‘3D	‘/SS+3/SN+D/SL
터치’	터치/NNG+’/SS
기술	기술/NNG
국내서	국내/NNG+서/JKB
개발	개발/NNG


# id : NWRW1800000049.44.2.1
표준연, 투명 촉각센서 선보여… 여러 손가락의 힘 동시에 인식

표준연,	표준연/NNP+,/SP
투명	투명/NNG
촉각센서	촉각/NNG+센서/NNG
선보여…	선보이/VV+어/EF+…/SE
여러	여러/MMN
손가락의	손가락/NNG+의/JKG
힘	힘/NNG
동시에	동시/NNG+에/JKB
인식	인식/NNG


# id : NWRW1800000049.44.3.1
여러 손가락의 힘을 동시에 인식하는 투명한 3차원(3D) 촉각센서가 개발됐다.

여러	여러/MMN
손가락의	손가락/NNG+의/JKG
힘을	힘/NNG+을/JKO
동시에	동시/NNG+에/JKB
인식하는	인식/NNG+하/XSV+는/ETM
투명한	투명/NNG+하/XSA+ㄴ/ETM
3차원(3D)	3/SN+차원/NNG+(/SS+3/SN+D/SL+)/SS
촉각센서가	촉각/NNG+센서/NNG+가/JKS
개발됐다.	개발/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.44.3.2
액정표시장치(LCD) 위에서 손가락의 압력을 감지하는 기술은 이미 실용화돼 있지만 여러 군데를 동시에 감지하는 기술이 개발된 건 처음이다.

액정표시장치(LCD)	액정/NNG+표시/NNG+장치/NNG+(/SS+LCD/SL+)/SS
위에서	위/NNG+에서/JKB
손가락의	손가락/NNG+의/JKG
압력을	압력/NNG+을/JKO
감지하는	감지/NNG+하/XSV+는/ETM
기술은	기술/NNG+은/JX
이미	이미/MAG
실용화돼	실용/NNG+화/XSN+되/XSV+어/EC
있지만	있/VX+지만/EC
여러	여러/MMN
군데를	군데/NNB+를/JKO
동시에	동시/NNG+에/JKB
기술이	기술/NNG+이/JKS
개발된	개발/NNG+되/XSV+ㄴ/ETM
건	거/NNB+ㄴ/JX
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.44.4.1
김종호 한국표준과학연구원 책임연구원은 두 곳 이상의 지점에서 3차원 터치를 동시에 인식할 수 있는 투명 촉각센서를 개발했다고 21일 밝혔다.

김종호	김종호/NNP
한국표준과학연구원	한국표준과학연구원/NNP
책임연구원은	책임/NNG+연구원/NNG+은/JX
두	두/MMN
곳	곳/NNG
이상의	이상/NNG+의/JKG
지점에서	지점/NNG+에서/JKB
3차원	3/SN+차원/NNG
