# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.39
metadata : {}


# id : NWRW1800000048.39.1.1
대우조선, STX프랑스 인수 검토 유보

대우조선,	대우조선/NNP+,/SP
STX프랑스	STX프랑스/NNP
인수	인수/NNG
검토	검토/NNG
유보	유보/NNG


# id : NWRW1800000048.39.2.1
“실적 좋지 않고 노조도 반대”

“실적	“/SS+실적/NNG
좋지	좋/VA+지/EC
않고	않/VX+고/EC
노조도	노조/NNG+도/JX
반대”	반대/NNG+”/SS


# id : NWRW1800000048.39.3.1
대우조선해양이 무리한 인수 추진이라는 논란이 일었던 에스티엑스(STX)프랑스 지분 매입 검토를 잠정 중단했다.

대우조선해양이	대우조선해양/NNP+이/JKS
무리한	무리/NNG+하/XSA+ㄴ/ETM
인수	인수/NNG
추진이라는	추진/NNG+이/VCP+라는/ETM
논란이	논란/NNG+이/JKS
일었던	일/VV+었/EP+던/ETM
에스티엑스(STX)프랑스	에스티엑스/NNP+(/SS+STX/SL+)/SS+프랑스/NNP
지분	지분/NNG
매입	매입/NNG
검토를	검토/NNG+를/JKO
잠정	잠정/NNG
중단했다.	중단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.39.3.2
이 회사는 자사의 최대 주주이자 에스티엑스그룹의 주채권은행이기도 한 산업은행 제안으로 에스티엑스프랑스 지분(66.66%) 인수를 검토해왔다.

이	이/MMD
회사는	회사/NNG+는/JX
자사의	자사/NNG+의/JKG
최대	최대/NNG
주주이자	주주/NNG+이/VCP+자/EC
에스티엑스그룹의	에스티엑스그룹/NNP+의/JKG
주채권은행이기도	주/MMA+채권/NNG+은행/NNG+이/VCP+기/ETN+도/JX
한	하/VX+ㄴ/ETM
산업은행	산업은행/NNP
제안으로	제안/NNG+으로/JKB
에스티엑스프랑스	에스티엑스프랑스/NNP
지분(66.66%)	지분/NNG+(/SS+66/SN+./SP+66/SN+%/SW+)/SS
인수를	인수/NNG+를/JKO
검토해왔다.	검토/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.39.4.1
정성립 대우조선해양 신임 사장은 25일 서울 중구 본사에서 열린 기자간담회에서 에스티엑스프랑스 인수 검토와 관련해 “올해 실적도 좋지 않고 노조도 인수를 반대하고 있어 잠정적으로 덮어놓은 상황”이라고 밝혔다.

정성립	정성립/NNP
대우조선해양	대우조선해양/NNP
신임	신임/NNG
사장은	사장/NNG+은/JX
25일	25/SN+일/NNB
서울	서울/NNP
중구	중구/NNP
본사에서	본사/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
기자간담회에서	기자/NNG+간담회/NNG+에서/JKB
에스티엑스프랑스	에스티엑스프랑스/NNP
인수	인수/NNG
검토와	검토/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
“올해	“/SS+올해/NNG
실적도	실적/NNG+도/JX
좋지	좋/VA+지/EC
않고	않/VX+고/EC
노조도	노조/NNG+도/JX
인수를	인수/NNG+를/JKO
반대하고	반대/NNG+하/XSV+고/EC
있어	있/VX+어/EC
잠정적으로	잠정/NNG+적/XSN+으로/JKB
덮어놓은	덮어놓/VV+은/ETM
상황”이라고	상황/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.39.4.2
에스티엑스프랑스가 적게나마 흑자를 보고 있고 인수 금액도 300억원 정도이지만, 지금은 인수를 고려할 때가 아니라는 얘기다.

에스티엑스프랑스가	에스티엑스프랑스/NNP+가/JKS
적게나마	적/VA+게/EC+나마/JX
흑자를	흑자/NNG+를/JKO
보고	보/VV+고/EC
있고	있/VX+고/EC
인수	인수/NNG
금액도	금액/NNG+도/JX
300억원	300/SN+억/NR+원/NNB
정도이지만,	정도/NNG+이/VCP+지만/EC+,/SP
지금은	지금/NNG+은/JX
인수를	인수/NNG+를/JKO
고려할	고려/NNG+하/XSV+ㄹ/ETM
때가	때/NNG+가/JKC
아니라는	아니/VCN+라는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.39.4.3
앞서 산업은행은 지난해부터 구조조정 차원에서 에스티엑스프랑스 지분 매각을 추진했으나 진행이 지지부진했다.

앞서	앞서/MAG
산업은행은	산업은행/NNP+은/JX
지난해부터	지난해/NNG+부터/JX
구조조정	구조/NNG+조정/NNG
차원에서	차원/NNG+에서/JKB
에스티엑스프랑스	에스티엑스프랑스/NNP
지분	지분/NNG
매각을	매각/NNG+을/JKO
추진했으나	추진/NNG+하/XSV+았/EP+으나/EC
진행이	진행/NNG+이/JKS
