# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.116
metadata : {}


# id : NWRW1800000038.116.1.1
"대학 장학금 덕에 경찰 됐으니… 우리도 보탬 되고 싶어"

"대학	"/SS+대학/NNG
장학금	장학금/NNG
덕에	덕/NNG+에/JKB
경찰	경찰/NNG
됐으니…	되/VV+었/EP+으니/EC+…/SE
우리도	우리/NP+도/JX
보탬	보탬/NNG
되고	되/VV+고/EC
싶어"	싶/VX+어/EC+"/SS


# id : NWRW1800000038.116.2.1
동국대 경찰행정학과 학생 17명, 후배 위해 장학금 1200만원 기부

동국대	동국대/NNP
경찰행정학과	경찰/NNG+행정학과/NNG
학생	학생/NNG
17명,	17/SN+명/NNB+,/SP
후배	후배/NNG
위해	위하/VV+아/EC
장학금	장학금/NNG
1200만원	1200/SN+만/NR+원/NNB
기부	기부/NNG


# id : NWRW1800000038.116.3.1
"학교로부터 참된 경찰이 되는 데 필요한 많은 도움을 받았어요.

"학교로부터	"/SS+학교/NNG+로부터/JKB
참된	참되/VA+ㄴ/ETM
경찰이	경찰/NNG+이/JKC
되는	되/VV+는/ETM
데	데/NNB
필요한	필요/NNG+하/XSA+ㄴ/ETM
많은	많/VA+은/ETM
도움을	도움/NNG+을/JKO
받았어요.	받/VV+았/EP+어요/EF+./SF


# id : NWRW1800000038.116.3.2
부족하지만 후배들을 위해 뭔가 해야겠다고 생각했죠."

부족하지만	부족/NNG+하/XSA+지만/EC
후배들을	후배/NNG+들/XSN+을/JKO
위해	위하/VV+아/EC
뭔가	뭐/NP+이/VCP+ㄴ가/EF
해야겠다고	하/VV+아야/EC+하/VX+겠/EP+다고/EC
생각했죠."	생각/NNG+하/XSV+았/EP+죠/EF+./SF+"/SS


# id : NWRW1800000038.116.4.1
동국대는 경찰행정학과 학생 17명이 후배들을 위해 장학금 1200만원을 기부했다고 15일 밝혔다.

동국대는	동국대/NNP+는/JX
경찰행정학과	경찰/NNG+행정학과/NNG
학생	학생/NNG
17명이	17/SN+명/NNB+이/JKS
후배들을	후배/NNG+들/XSN+을/JKO
위해	위하/VV+아/EC
장학금	장학금/NNG
1200만원을	1200/SN+만/NR+원/NNB+을/JKO
기부했다고	기부/NNG+하/XSV+았/EP+다고/EC
15일	15/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.116.4.2
올해 경찰 간부후보생 필기시험에 합격한 학생 17명은 50만~100만원씩 후배들을 위해 십시일반 모았다.

올해	올해/NNG
경찰	경찰/NNG
간부후보생	간부/NNG+후보/NNG+생/XSN
필기시험에	필기시험/NNG+에/JKB
합격한	합격/NNG+하/XSV+ㄴ/ETM
학생	학생/NNG
17명은	17/SN+명/NNB+은/JX
50만~100만원씩	50/SN+만/NR+~/SO+100/SN+만/NR+원/NNB+씩/XSN
후배들을	후배/NNG+들/XSN+을/JKO
위해	위하/VV+아/EC
십시일반	십시일반/NNG
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.116.4.3
01학번 졸업자 전우진(30)씨가 모금을 주도했다.

01학번	01/SN+학번/NNG
졸업자	졸업자/NNG
전우진(30)씨가	전우진/NNP+(/SS+30/SN+)/SS+씨/NNB+가/JKS
모금을	모금/NNG+을/JKO
주도했다.	주도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.116.4.4
그는 "적은 금액이지만 후배들을 위한 장학금으로 기부하기로 했다"고 말했다.

그는	그/NP+는/JX
"적은	"/SS+적/VA+은/ETM
금액이지만	금액/NNG+이/VCP+지만/EC
후배들을	후배/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
장학금으로	장학금/NNG+으로/JKB
기부하기로	기부/NNG+하/XSV+기/ETN+로/JKB
했다"고	하/VV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.116.5.1
동국대는 경찰간부후보생 시험을 준비하는 학생들을 위해 학기마다 장학금을 지급하고 별도의 고시반을 운영하고 있다.

동국대는	동국대/NNP+는/JX
경찰간부후보생	경찰/NNG+간부/NNG+후보/NNG+생/XSN
시험을	시험/NNG+을/JKO
준비하는	준비/NNG+하/XSV+는/ETM
학생들을	학생/NNG+들/XSN+을/JKO
위해	위하/VV+아/EC
학기마다	학기/NNG+마다/JX
장학금을	장학금/NNG+을/JKO
지급하고	지급/NNG+하/XSV+고/EC
별도의	별도/NNG+의/JKG
고시반을	고시반/NNG+을/JKO
운영하고	운영/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.116.5.2
총동문회에서는 서울 관악구 신림동에 전용 기숙사를 지원한다.

총동문회에서는	총동문회/NNG+에서/JKB+는/JX
서울	서울/NNP
관악구	관악구/NNP
신림동에	신림동/NNP+에/JKB
전용	전용/NNG
기숙사를	기숙사/NNG+를/JKO
지원한다.	지원/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.116.5.3
2학년 재학 중에 경찰 간부후보생으로 최종합격한 김은정(23)씨는 "가정 형편이 좋지 않았는데 학교에서 매 학기 장학금을 줘 공부하는 데 도움이 많이 됐다"며 "앞으로 국민을 위한 경찰로 살면서 나처럼 가정 형편이 좋지 않은 학생들을 꾸준히 돕고 싶다"고 했다.

2학년	2/SN+학년/NNG
재학	재학/NNG
중에	중/NNB+에/JKB
경찰	경찰/NNG
간부후보생으로	간부/NNG+후보/NNG+생/XSN+으로/JKB
최종합격한	최종/NNG+합격/NNG+하/XSV+ㄴ/ETM
김은정(23)씨는	김은정/NNP+(/SS+23/SN+)/SS+씨/NNB+는/JX
"가정	"/SS+가정/NNG
형편이	형편/NNG+이/JKS
좋지	좋/VA+지/EC
않았는데	않/VX+았/EP+는데/EC
학교에서	학교/NNG+에서/JKB
매	매/MMD
학기	학기/NNG
장학금을	장학금/NNG+을/JKO
줘	주/VV+어/EC
공부하는	공부/NNG+하/XSV+는/ETM
데	데/NNB
도움이	도움/NNG+이/JKC
많이	많이/MAG
됐다"며	되/VV+었/EP+다/EF+"/SS+며/EC
"앞으로	"/SS+앞/NNG+으로/JKB
국민을	국민/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
경찰로	경찰/NNG+로/JKB
살면서	살/VV+면서/EC
나처럼	나/NP+처럼/JKB
가정	가정/NNG
않은	않/VX+은/ETM
학생들을	학생/NNG+들/XSN+을/JKO
꾸준히	꾸준히/MAG
돕고	돕/VV+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.116.5.4
