# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.20
metadata : {}


# id : NWRW1800000052.20.1.1
깐깐해진 가계대출심사 ‘명암’…은행대출 1/4로…2금융권은 급증 ‘풍선효과

깐깐해진	깐깐하/VA+아/EC+지/VX+ㄴ/ETM
가계대출심사	가계/NNG+대출/NNG+심사/NNG
‘명암’…은행대출	‘/SS+명암/NNG+’/SS+…/SE+은행/NNG+대출/NNG
1/4로…2금융권은	1/SN+//SP+4/SN+로/JKB+…/SE+2/SN+금융/NNG+권/XSN+은/JX
급증	급증/NNG
‘풍선효과	‘/SS+풍선/NNG+효과/NNG


# id : NWRW1800000052.20.2.1
[한겨레] 올해 1분기에 은행권 가계대출 증가 규모가 5조6천억원으로 전분기(22조2천억원)의 4분의 1로 급감했다.

[한겨레]	[/SS+한겨레/NNP+]/SS
올해	올해/NNG
1분기에	1/SN+분기/NNG+에/JKB
은행권	은행/NNG+권/XSN
가계대출	가계/NNG+대출/NNG
증가	증가/NNG
규모가	규모/NNG+가/JKS
5조6천억원으로	5/SN+조/NR+6/SN+천억/NR+원/NNB+으로/JKB
전분기(22조2천억원)의	전/MMD+분기/NNG+(/SS+22/SN+조/NR+2/SN+천억/NR+원/NNB+)/SS+의/JKG
4분의	4/SN+분/XSN+의/JKG
1로	1/SN+로/JKB
급감했다.	급감/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.20.2.2
금융당국의 가계부채 관리 대책에 따라 은행권이 지난 2월 이후 대출심사를 깐깐하게 한 결과다.

금융당국의	금융/NNG+당국/NNG+의/JKG
가계부채	가계/NNG+부채/NNG
관리	관리/NNG
대책에	대책/NNG+에/JKB
따라	따르/VV+아/EC
은행권이	은행/NNG+권/XSN+이/JKS
지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
이후	이후/NNG
대출심사를	대출/NNG+심사/NNG+를/JKO
깐깐하게	깐깐하/VA+게/EC
한	하/VV+ㄴ/ETM
결과다.	결과/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.20.2.3
그러나 전체 가계빚 증가세는 여전히 만만찮은데다 은행 문턱을 넘지 못한 이들이 비싼 이자를 감내하면서 제2금융권으로 몰려드는 ‘풍선효과’도 뚜렷해졌다.

그러나	그러나/MAJ
전체	전체/NNG
가계빚	가계/NNG+빚/NNG
증가세는	증가세/NNG+는/JX
여전히	여전히/MAG
만만찮은데다	만만찮/VA+은/ETM+데/NNB+다/JX
은행	은행/NNG
문턱을	문턱/NNG+을/JKO
넘지	넘/VV+지/EC
못한	못하/VX+ㄴ/ETM
이들이	이/NNB+들/XSN+이/JKS
비싼	비싸/VA+ㄴ/ETM
이자를	이자/NNG+를/JKO
감내하면서	감내/NNG+하/XSV+면서/EC
제2금융권으로	제/XPN+2/SN+금융/NNG+권/XSN+으로/JKB
몰려드는	몰려들/VV+는/ETM
‘풍선효과’도	‘/SS+풍선/NNG+효과/NNG+’/SS+도/JX
뚜렷해졌다.	뚜렷하/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000052.20.3.1
한국은행은 26일 ‘1분기 가계신용 동향’에서 가계대출과 카드사용액 등 판매신용을 합친 가계빚(가계신용) 규모가 1분기 말 현재 사상 최대치인 1223조7천억원으로 전분기 말보다 20조6천억원 증가했다고 밝혔다.

한국은행은	한국은행/NNP+은/JX
26일	26/SN+일/NNB
‘1분기	‘/SS+1/SN+분기/NNG
가계신용	가계/NNG+신용/NNG
동향’에서	동향/NNG+’/SS+에서/JKB
가계대출과	가계/NNG+대출/NNG+과/JC
카드사용액	카드/NNG+사용액/NNG
등	등/NNB
판매신용을	판매/NNG+신용/NNG+을/JKO
합친	합치/VV+ㄴ/ETM
가계빚(가계신용)	가계/NNG+빚/NNG+(/SS+가계/NNG+신용/NNG+)/SS
규모가	규모/NNG+가/JKS
1분기	1/SN+분기/NNG
말	말/NNB
현재	현재/MAG
사상	사상/NNG
최대치인	최대/NNG+치/XSN+이/VCP+ㄴ/ETM
1223조7천억원으로	1223/SN+조/NR+7/SN+천억/NR+원/NNB+으로/JKB
전분기	전/MMD+분기/NNG
말보다	말/NNB+보다/JKB
20조6천억원	20/SN+조/NR+6/SN+천억/NR+원/NNB
증가했다고	증가/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.20.3.2
이는 부동산 활황이 본격화한 지난해 2분기부터 가계빚이 전분기 대비 30조~40조원씩 늘어났던 점을 고려하면 증가폭은 줄어든 것이다.

이는	이/NP+는/JX
부동산	부동산/NNG
활황이	활황/NNG+이/JKS
본격화한	본격/NNG+화/XSN+하/XSV+ㄴ/ETM
지난해	지난해/NNG
2분기부터	2/SN+분기/NNG+부터/JX
가계빚이	가계/NNG+빚/NNG+이/JKS
전분기	전/MMD+분기/NNG
대비	대비/NNG
30조~40조원씩	30/SN+조/NR+~/SO+40/SN+조/NR+원/NNB+씩/XSN
늘어났던	늘어나/VV+았/EP+던/ETM
점을	점/NNG+을/JKO
고려하면	고려/NNG+하/XSV+면/EC
증가폭은	증가/NNG+폭/NNG+은/JX
줄어든	줄어들/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.20.4.1
1분기가 부동산 비수기라는 계절적 요인을 고려해 전년 동기 대비로 1분기 추이를 살피면, 가계대출 증가세가 안심할 단계는 아니다.

1분기가	1/SN+분기/NNG+가/JKS
부동산	부동산/NNG
비수기라는	비수기/NNG+이/VCP+라는/ETM
계절적	계절/NNG+적/XSN
요인을	요인/NNG+을/JKO
고려해	고려/NNG+하/XSV+아/EC
전년	전년/NNG
동기	동기/NNG
대비로	대비/NNG+로/JKB
1분기	1/SN+분기/NNG
추이를	추이/NNG+를/JKO
살피면,	살피/VV+면/EC+,/SP
가계대출	가계/NNG+대출/NNG
증가세가	증가세/NNG+가/JKS
안심할	안심/NNG+하/XSV+ㄹ/ETM
단계는	단계/NNG+는/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000052.20.4.2
올해 1분기 가계대출은 11.5%가 늘어나 통계작성 이래 전년 동기 대비로는 가장 가파른 증가세를 보였다.

올해	올해/NNG
1분기	1/SN+분기/NNG
가계대출은	가계/NNG+대출/NNG+은/JX
11.5%가	11/SN+./SP+5/SN+%/SW+가/JKS
늘어나	늘어나/VV+아/EC
통계작성	통계/NNG+작성/NNG
이래	이래/NNB
전년	전년/NNG
동기	동기/NNG
대비로는	대비/NNG+로/JKB+는/JX
가장	가장/MAG
가파른	가파르/VA+ㄴ/ETM
증가세를	증가세/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.20.4.3
다만 은행권 가계대출은 ‘여신심사 선진화 가이드라인’ 시행 효과로 증가세가 완연하게 꺾였다.

다만	다만/MAG
은행권	은행/NNG+권/XSN
가계대출은	가계/NNG+대출/NNG+은/JX
‘여신심사	‘/SS+여신/NNG+심사/NNG
선진화	선진/NNG+화/XSN
가이드라인’	가이드라인/NNG+’/SS
시행	시행/NNG
