# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.151
metadata : {}


# id : NWRW1800000046.151.1.1
50代 시민이 酒暴 붙잡아 기다렸는데… 출동한 경찰 황당 대응 "경찰이 뛰란 법 있냐… 경찰차가 택시냐"

50代	50/SN+代/SH
시민이	시민/NNG+이/JKS
酒暴	酒暴/SH
붙잡아	붙잡/VV+아/EC
기다렸는데…	기다리/VV+었/EP+는데/EC+…/SE
출동한	출동/NNG+하/XSV+ㄴ/ETM
경찰	경찰/NNG
황당	황당/XR
대응	대응/NNG
"경찰이	"/SS+경찰/NNG+이/JKS
뛰란	뛰/VV+란/ETM
법	법/NNB
있냐…	있/VA+냐/EF+…/SE
경찰차가	경찰차/NNG+가/JKS
택시냐"	택시/NNG+이/VCP+냐/EF+"/SS


# id : NWRW1800000046.151.2.1
시민 "강압 태도 녹음하자 휴대전화도 강제로 뺏어"… 경찰 "순순히 보여줬다"

시민	시민/NNG
"강압	"/SS+강압/NNG
태도	태도/NNG
녹음하자	녹음/NNG+하/XSV+자/EC
휴대전화도	휴대/NNG+전화/NNG+도/JX
강제로	강제/NNG+로/JKB
뺏어"…	뺏/VV+어/EF+"/SS+…/SE
경찰	경찰/NNG
"순순히	"/SS+순순히/MAG
보여줬다"	보이/VV+어/EC+주/VX+었/EP+다/EF+"/SS


# id : NWRW1800000046.151.3.1
지난 6일 밤 11시 30분쯤 서울 지하철 7호선 이수역을 출발한 전동차에서 한바탕 소란이 벌어졌다.

지난	지나/VV+ㄴ/ETM
6일	6/SN+일/NNB
밤	밤/NNG
11시	11/SN+시/NNB
30분쯤	30/SN+분/NNB+쯤/XSN
서울	서울/NNP
지하철	지하철/NNG
7호선	7/SN+호선/NNB
이수역을	이수역/NNP+을/JKO
출발한	출발/NNG+하/XSV+ㄴ/ETM
전동차에서	전동차/NNG+에서/JKB
한바탕	한바탕/MAG
소란이	소란/NNG+이/JKS
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.151.3.2
술에 취한 50대 남성이 40㎝ 길이 대나무 피리를 승객들 얼굴 앞에서 휘두르며 "눈을 뽑겠다"고 소리를 질렀다.

술에	술/NNG+에/JKB
취한	취하/VV+ㄴ/ETM
50대	50/SN+대/NNB
남성이	남성/NNG+이/JKS
40㎝	40/SN+㎝/SW
길이	길이/NNG
대나무	대나무/NNG
피리를	피리/NNG+를/JKO
승객들	승객/NNG+들/XSN
얼굴	얼굴/NNG
앞에서	앞/NNG+에서/JKB
휘두르며	휘두르/VV+며/EC
"눈을	"/SS+눈/NNG+을/JKO
뽑겠다"고	뽑/VV+겠/EP+다/EF+"/SS+고/JKQ
소리를	소리/NNG+를/JKO
질렀다.	지르/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.151.4.1
소주병까지 휘두르던 남성을 붙잡아 결국 대림역에서 경찰을 기다리던 마모(58)씨는 10분 후 시민 신고를 받고 천천히 걸어오는 두 경찰관을 발견했다.

소주병까지	소주병/NNG+까지/JX
휘두르던	휘두르/VV+던/ETM
남성을	남성/NNG+을/JKO
붙잡아	붙잡/VV+아/EC
결국	결국/MAG
대림역에서	대림역/NNP+에서/JKB
경찰을	경찰/NNG+을/JKO
기다리던	기다리/VV+던/ETM
마모(58)씨는	마/NNP+모/NP+(/SS+58/SN+)/SS+씨/NNB+는/JX
10분	10/SN+분/NNB
후	후/NNG
시민	시민/NNG
신고를	신고/NNG+를/JKO
받고	받/VV+고/EC
천천히	천천히/MAG
걸어오는	걸어오/VV+는/ETM
두	두/MMN
경찰관을	경찰관/NNG+을/JKO
발견했다.	발견/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.151.4.2
마씨가 "(내가) 다칠 수도 있는데 왜 이렇게 천천히 걸어오는 겁니까?"라고 묻자, 영등포경찰서 소속 황모 경위는 "경찰이 꼭 뛰란 법 있습니까?"라고 답했다고 한다.

마씨가	마/NNP+씨/NNB+가/JKS
"(내가)	"/SS+(/SS+내/NP+가/JKS+)/SS
다칠	다치/VV+ㄹ/ETM
수도	수/NNB+도/JX
있는데	있/VA+는데/EC
왜	왜/MAG
이렇게	이렇/VA+게/EC
천천히	천천히/MAG
걸어오는	걸어오/VV+는/ETM
겁니까?"라고	거/NNB+이/VCP+ㅂ니까/EF+?/SF+"/SS+라고/JKQ
묻자,	묻/VV+자/EC+,/SP
