# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.18
metadata : {}


# id : NWRW1800000046.18.1.1
유리 공장 알바女, 세번 결혼 끝에 中 최고 女부자까지

유리	유리/NNG
공장	공장/NNG
알바女,	알바/NNG+女/SH+,/SP
세번	세/MMN+번/NNB
결혼	결혼/NNG
끝에	끝/NNG+에/JKB
中	中/SH
최고	최고/NNG
女부자까지	女/SH+부자/NNG+까지/JX


# id : NWRW1800000046.18.2.1
中 주가 폭등… 신흥 부자 41명 '10억달러 클럽' 입성

中	中/SH
주가	주가/NNG
폭등…	폭등/NNG+…/SE
신흥	신흥/NNG
부자	부자/NNG
41명	41/SN+명/NNB
'10억달러	'/SS+10/SN+억/NR+달러/NNB
클럽'	클럽/NNG+'/SS
입성	입성/NNG


# id : NWRW1800000046.18.3.1
최근 상하이 주가(株價) 지수가 7년 만에 4000을 돌파하면서 중국의 주식 부자 41명이 순자산 '10억달러(약 1조1000억원) 클럽'에 새로 가입한 것으로 보인다고 홍콩 사우스차이나모닝포스트(SCMP)가 10일 보도했다.

최근	최근/NNG
상하이	상하이/NNP
주가(株價)	주가/NNG+(/SS+株價/SH+)/SS
지수가	지수/NNG+가/JKS
7년	7/SN+년/NNB
만에	만/NNB+에/JKB
4000을	4000/SN+을/JKO
돌파하면서	돌파/NNG+하/XSV+면서/EC
중국의	중국/NNP+의/JKG
주식	주식/NNG
부자	부자/NNG
41명이	41/SN+명/NNB+이/JKS
순자산	순자산/NNG
'10억달러(약	'/SS+10/SN+억/NR+달러/NNB+(/SS+약/MMA
1조1000억원)	1/SN+조/NR+1000/SN+억/NR+원/NNB+)/SS
클럽'에	클럽/NNG+'/SS+에/JKB
새로	새로/MAG
가입한	가입/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다고	보이/VV+ㄴ다고/EC
홍콩	홍콩/NNP
사우스차이나모닝포스트(SCMP)가	사우스차이나모닝포스트/NNP+(/SS+SCMP/SL+)/SS+가/JKS
10일	10/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.18.3.2
상하이 주가는 지난 두 달 동안 30% 이상 급등했다.

상하이	상하이/NNP
주가는	주가/NNG+는/JX
지난	지나/VV+ㄴ/ETM
두	두/MMN
달	달/NNB
동안	동안/NNG
30%	30/SN+%/SW
이상	이상/NNG
급등했다.	급등/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.18.4.1
