# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.432
metadata : {}


# id : NWRW1800000032.432.1.1
월성원전 1호기 재가동…환경단체 “수명연장 속셈”

월성원전	월성원전/NNP
1호기	1/SN+호기/NNB
재가동…환경단체	재/XPN+가동/NNG+…/SE+환경/NNG+단체/NNG
“수명연장	“/SS+수명/NNG+연장/NNG
속셈”	속셈/NNG+”/SS


# id : NWRW1800000032.432.2.1
핵심부품 교체·수소제거설비 설치

핵심부품	핵심/NNG+부품/NNG
교체·수소제거설비	교체/NNG+·/SP+수소/NNG+제거/NNG+설비/NNG
설치	설치/NNG


# id : NWRW1800000032.432.3.1
“노후화 위험…재가동 중단해야”

“노후화	“/SS+노후/NNG+화/XSN
위험…재가동	위험/NNG+…/SE+재/XPN+가동/NNG
중단해야”	중단/NNG+하/XSV+아야/EC+”/SS


# id : NWRW1800000032.432.4.1
설계수명을 연장을 두고 논란을 빚고 있는 경북 월성원자력발전소 1호기가 18일 오전 재가동에 들어갔다.

설계수명을	설계/NNG+수명/NNG+을/JKO
연장을	연장/NNG+을/JKO
두고	두/VV+고/EC
논란을	논란/NNG+을/JKO
빚고	빚/VV+고/EC
있는	있/VX+는/ETM
경북	경북/NNP
월성원자력발전소	월성원자력발전소/NNP
1호기가	1/SN+호기/NNB+가/JKS
18일	18/SN+일/NNB
오전	오전/NNG
재가동에	재/XPN+가동/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.432.4.2
환경단체들은 “사실상 수명 연장을 위한 수순”이라며 반발하고 있다.

환경단체들은	환경/NNG+단체/NNG+들/XSN+은/JX
“사실상	“/SS+사실/NNG+상/XSN
수명	수명/NNG
연장을	연장/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
수순”이라며	수순/NNG+”/SS+이/VCP+라며/EC
반발하고	반발/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.432.5.1
한국수력원자력 월성원자력본부는 18일 0시36분께 월성 1호기가 2년3개월 만에 재가동에 들어가 오전 7시께부터 출력 100%로 가동하고 있다고 이날 밝혔다.

