# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.345
metadata : {}


# id : NWRW1800000021.345.1.1
[뉴스 분석]사실로 드러난 ‘남북정상회담’ 비밀 접촉

[뉴스	[/SS+뉴스/NNG
분석]사실로	분석/NNG+]/SS+사실/NNG+로/JKB
드러난	드러나/VV+ㄴ/ETM
‘남북정상회담’	‘/SS+남북/NNP+정상/NNG+회담/NNG+’/SS
비밀	비밀/NNG
접촉	접촉/NNG


# id : NWRW1800000021.345.2.1
정부는 23일 남북 정상회담을 위한 비밀접촉이 있었음을 사실상 시인했다.

정부는	정부/NNG+는/JX
23일	23/SN+일/NNB
남북	남북/NNP
정상회담을	정상/NNG+회담/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
비밀접촉이	비밀/NNG+접촉/NNG+이/JKS
있었음을	있/VA+었/EP+음/ETN+을/JKO
사실상	사실/NNG+상/XSN
시인했다.	시인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.345.2.2
청와대 핵심 관계자는 정상회담을 위한 비밀접촉이 있었다는 언론 보도가 사실인지를 묻는 질문에 “다 지난 얘기인데 새삼스럽게…”라며 이를 사실상 확인했다.

청와대	청와대/NNP
핵심	핵심/NNG
관계자는	관계자/NNG+는/JX
정상회담을	정상/NNG+회담/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
비밀접촉이	비밀/NNG+접촉/NNG+이/JKS
있었다는	있/VA+었/EP+다는/ETM
언론	언론/NNG
보도가	보도/NNG+가/JKS
사실인지를	사실/NNG+이/VCP+ㄴ지/EC+를/JKO
묻는	묻/VV+는/ETM
질문에	질문/NNG+에/JKB
“다	“/SS+다/MAG
지난	지나/VV+ㄴ/ETM
얘기인데	얘기/NNG+이/VCP+ㄴ데/EC
새삼스럽게…”라며	새삼/MAG+스럽/XSA+게/EC+…/SE+”/SS+이/VCP+라며/EC
이를	이/NP+를/JKO
사실상	사실/NNG+상/XSN
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.345.2.3
그러나 정부 관계자들은 구체적인 접촉 내용에 대해서는 한결같이 함구했다.

그러나	그러나/MAJ
정부	정부/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
접촉	접촉/NNG
내용에	내용/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
한결같이	한결같이/MAG
함구했다.	함구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.345.2.4
▶A3면에 관련기사

▶A3면에	▶/SW+A/SL+3/SN+면/NNG+에/JKB
관련기사	관련/NNG+기사/NNG


# id : NWRW1800000021.345.3.1
이번 접촉은 김대중 전 대통령 서거 후인 8월 21일 서울을 방문한 북한 조문단을 통해 북측이 제안해온 것을 계기로 이뤄진 것으로 알려졌다.

이번	이번/NNG
접촉은	접촉/NNG+은/JX
김대중	김대중/NNP
전	전/MMD
대통령	대통령/NNG
서거	서거/NNG
후인	후/NNG+이/VCP+ㄴ/ETM
8월	8/SN+월/NNB
21일	21/SN+일/NNB
서울을	서울/NNP+을/JKO
방문한	방문/NNG+하/XSV+ㄴ/ETM
북한	북한/NNP
조문단을	조문단/NNG+을/JKO
통해	통하/VV+아/EC
북측이	북측/NNG+이/JKS
제안해온	제안/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
것을	것/NNB+을/JKO
계기로	계기/NNG+로/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.345.3.2
정부는 그 후 미국 정부에도 남북 간의 접촉 준비 사실을 알리고 협의해온 것으로 전해졌다.

정부는	정부/NNG+는/JX
그	그/MMD
후	후/NNG
미국	미국/NNP
정부에도	정부/NNG+에/JKB+도/JX
남북	남북/NNP
간의	간/NNB+의/JKG
접촉	접촉/NNG
준비	준비/NNG
사실을	사실/NNG+을/JKO
알리고	알리/VV+고/EC
협의해온	협의/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000021.345.4.1
이번 접촉은 남북 정상회담의 필요성과 가능성을 수차례 강조해온 이명박 정부가 실제로 행동을 취했다는 의미가 있다.

이번	이번/NNG
접촉은	접촉/NNG+은/JX
남북	남북/NNP
정상회담의	정상/NNG+회담/NNG+의/JKG
필요성과	필요/NNG+성/XSN+과/JC
가능성을	가능/NNG+성/XSN+을/JKO
수차례	수차례/NNG
강조해온	강조/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
이명박	이명박/NNP
정부가	정부/NNG+가/JKS
실제로	실제로/MAG
행동을	행동/NNG+을/JKO
취했다는	취하/VV+았/EP+다는/ETM
의미가	의미/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.345.4.2
접촉 의제는 구체적으로 알려지지 않았지만 이 대통령과 김정일 국방위원장 간 정상회담을 위한 ‘물꼬 트기용’이라는 해석이 많다.

접촉	접촉/NNG
의제는	의제/NNG+는/JX
구체적으로	구체/NNG+적/XSN+으로/JKB
알려지지	알려지/VV+지/EC
않았지만	않/VX+았/EP+지만/EC
이	이/NNP
대통령과	대통령/NNG+과/JC
김정일	김정일/NNP
국방위원장	국방/NNG+위원장/NNG
간	간/NNB
정상회담을	정상/NNG+회담/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
‘물꼬	‘/SS+물꼬/NNG
트기용’이라는	트/VV+기/ETN+용/XSN+’/SS+이/VCP+라는/ETM
해석이	해석/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000021.345.4.3
이 대통령이 22일 훈 센 캄보디아 총리와의 정상회담 등을 통해 최근 두 차례 “북한도 (한국이 북핵 해법으로 제시한 ‘그랜드 바겐’에) 깊은 관심을 갖고 있을 것”이라고 말한 것도 그동안의 물밑 논의에 근거한 것으로 관측된다.

이	이/NNP
대통령이	대통령/NNG+이/JKS
22일	22/SN+일/NNB
훈	훈/NNP
센	센/NNP
캄보디아	캄보디아/NNP
총리와의	총리/NNG+와/JKB+의/JKG
정상회담	정상/NNG+회담/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
최근	최근/NNG
두	두/MMN
차례	차례/NNG
“북한도	“/SS+북한/NNP+도/JX
(한국이	(/SS+한국/NNP+이/JKS
북핵	북핵/NNG
해법으로	해법/NNG+으로/JKB
제시한	제시/NNG+하/XSV+ㄴ/ETM
‘그랜드	‘/SS+그랜드/NNG
바겐’에)	바겐/NNG+’/SS+에/JKB+)/SS
깊은	깊/VA+은/ETM
관심을	관심/NNG+을/JKO
갖고	갖/VV+고/EC
있을	있/VX+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
그동안의	그동안/NNG+의/JKG
물밑	물밑/NNG
논의에	논의/NNG+에/JKB
근거한	근거/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
관측된다.	관측/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.345.5.1
하지만 정상회담 개최를 위해 ‘비밀접촉’ 방식을 택한 데는 비판의 목소리가 높다.

하지만	하지만/MAJ
정상회담	정상/NNG+회담/NNG
개최를	개최/NNG+를/JKO
위해	위하/VV+아/EC
‘비밀접촉’	‘/SS+비밀/NNG+접촉/NNG+’/SS
방식을	방식/NNG+을/JKO
택한	택하/VV+ㄴ/ETM
데는	데/NNB+는/JX
비판의	비판/NNG+의/JKG
목소리가	목소리/NNG+가/JKS
