# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.21
metadata : {}


# id : NWRW1800000045.21.1.1
[화제의 분양현장]광교 프리미엄을 누리는 마지막 투자처 오피스텔

[화제의	[/SS+화제/NNG+의/JKG
분양현장]광교	분양/NNG+현장/NNG+]/SS+광교/NNP
프리미엄을	프리미엄/NNG+을/JKO
누리는	누리/VV+는/ETM
마지막	마지막/NNG
투자처	투자처/NNG
오피스텔	오피스텔/NNG


# id : NWRW1800000045.21.2.1
광교 골드리치안

광교	광교/NNP
골드리치안	골드리치안/NNP


# id : NWRW1800000045.21.3.1
광교신도시는 현재 수도권 부동산 시장에서 핫 플레이스로 자리매김을 하고 있는 지역이다.

광교신도시는	광교신도시/NNP+는/JX
현재	현재/MAG
수도권	수도/NNG+권/XSN
부동산	부동산/NNG
시장에서	시장/NNG+에서/JKB
핫	핫/NNG
플레이스로	플레이스/NNG+로/JKB
자리매김을	자리매김/NNG+을/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
지역이다.	지역/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.21.3.2
부동산 시장의 열기가 뜨겁다.

부동산	부동산/NNG
시장의	시장/NNG+의/JKG
열기가	열기/NNG+가/JKS
뜨겁다.	뜨겁/VA+다/EF+./SF


# id : NWRW1800000045.21.3.3
생활 인프라 조성이 마무리돼 가면서 집값 상승이 다른 지역에 비해 두드러지고 있다.

생활	생활/NNG
인프라	인프라/NNG
조성이	조성/NNG+이/JKS
마무리돼	마무리/NNG+되/XSV+어/EC
가면서	가/VX+면서/EC
집값	집값/NNG
상승이	상승/NNG+이/JKS
다른	다른/MMD
지역에	지역/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
두드러지고	두드러지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.21.4.1
부동산114 자료에 따르면 6월 19일 현재 광교신도시 아파트 3.3m²당 평균 매매가는 1679만 원으로 2년 전(2013년 6월, 3.3m²당 1424만 원)에 비해 17.91% 상승했다.

부동산114	부동산114/NNP
자료에	자료/NNG+에/JKB
따르면	따르/VV+면/EC
6월	6/SN+월/NNB
19일	19/SN+일/NNB
현재	현재/MAG
광교신도시	광교신도시/NNP
아파트	아파트/NNG
3.3m²당	3/SN+./SP+3/SN+m²/SW+당/XSN
평균	평균/NNG
매매가는	매매/NNG+가/XSN+는/JX
