# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.177
metadata : {}


# id : NWRW1800000049.177.1.1
“평창올림픽 눈 걱정 마세요”

“평창올림픽	“/SS+평창/NNP+올림픽/NNG
눈	눈/NNG
걱정	걱정/NNG
마세요”	말/VV+시/EP+어요/EF+”/SS


# id : NWRW1800000049.177.2.1
구름물리선도센터, 인공증설 실험

구름물리선도센터,	구름물리선도센터/NNP+,/SP
인공증설	인공/NNG+증설/NNG
실험	실험/NNG


# id : NWRW1800000049.177.3.1
2년 앞으로 다가온 평창 겨울올림픽의 성패는 충분한 ‘눈’이 오느냐에 달려 있다고 해도 과언이 아니다.

2년	2/SN+년/NNB
앞으로	앞/NNG+으로/JKB
다가온	다가오/VV+ㄴ/ETM
평창	평창/NNP
겨울올림픽의	겨울/NNG+올림픽/NNG+의/JKG
성패는	성패/NNG+는/JX
충분한	충분하/VA+ㄴ/ETM
‘눈’이	‘/SS+눈/NNG+’/SS+이/JKS
오느냐에	오/VV+느냐/EF+에/JKB
달려	달리/VV+어/EC
있다고	있/VX+다고/EC
해도	하/VV+아도/EC
과언이	과언/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000049.177.3.2
대회를 제대로 치르기 위해 필요한 적설량은 알파인 스키경기장 기준으로 1.2m, 크로스컨트리 경기장 기준으로 1m가량.

대회를	대회/NNG+를/JKO
제대로	제대로/MAG
치르기	치르/VV+기/ETN
위해	위하/VV+아/EC
필요한	필요/NNG+하/XSA+ㄴ/ETM
적설량은	적설량/NNG+은/JX
알파인	알파인/NNG
스키경기장	스키/NNG+경기장/NNG
기준으로	기준/NNG+으로/JKB
1.2m,	1/SN+./SP+2/SN+m/SW+,/SP
크로스컨트리	크로스컨트리/NNG
경기장	경기장/NNG
1m가량.	1/SN+m/SW+가량/XSN+./SF


# id : NWRW1800000049.177.3.3
문제는 올해처럼 평창 지역에 겨울가뭄이 이어지면 이런 적설량 기준(210만 m³)의 57%(120만 m³) 수준밖에 못 미친다는 점이다.

문제는	문제/NNG+는/JX
올해처럼	올해/NNG+처럼/JKB
평창	평창/NNP
지역에	지역/NNG+에/JKB
겨울가뭄이	겨울/NNG+가뭄/NNG+이/JKS
이어지면	이어지/VV+면/EC
이런	이런/MMD
적설량	적설량/NNG
기준(210만	기준/NNG+(/SS+210/SN+만/NR
m³)의	m³/SW+)/SS+의/JKG
57%(120만	57/SN+%/SW+(/SS+120/SN+만/NR
m³)	m³/SW+)/SS
수준밖에	수준/NNG+밖에/JX
못	못/MAG
미친다는	미치/VV+ㄴ다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.177.4.1
0.01%의 가능성에도 대비해야 하는 대회 관계자들은 단열재로 큰 저장소를 만들어 겨울올림픽에 앞서 1년 전부터 눈을 보관하는 방법 등 다양한 대안을 연구하고 있다.

0.01%의	0/SN+./SP+01/SN+%/SW+의/JKG
가능성에도	가능/NNG+성/XSN+에/JKB+도/JX
대비해야	대비/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
대회	대회/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
단열재로	단열재/NNG+로/JKB
큰	크/VA+ㄴ/ETM
저장소를	저장소/NNG+를/JKO
만들어	만들/VV+어/EC
겨울올림픽에	겨울/NNG+올림픽/NNG+에/JKB
앞서	앞서/VV+어/EC
1년	1/SN+년/NNB
전부터	전/NNG+부터/JX
눈을	눈/NNG+을/JKO
보관하는	보관/NNG+하/XSV+는/ETM
방법	방법/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
대안을	대안/NNG+을/JKO
연구하고	연구/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


