# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.17
metadata : {}


# id : NWRW1800000038.17.1.1
美, 시리아 반군에 무기 지원 나설 듯

美,	美/SH+,/SP
시리아	시리아/NNP
반군에	반군/NNG+에/JKB
무기	무기/NNG
지원	지원/NNG
나설	나서/VV+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000038.17.2.1
케리, 英 외무장관과 회담 "우린 대화만 하진 않겠다"… 사우디는 작년말부터 지원

케리,	케리/NNP+,/SP
英	英/SH
외무장관과	외무/NNG+장관/NNG+과/JKB
회담	회담/NNG
"우린	"/SS+우리/NP+ㄴ/JX
대화만	대화/NNG+만/JX
하진	하/VV+지/EC+ㄴ/JX
않겠다"…	않/VX+겠/EP+다/EF+"/SS+…/SE
사우디는	사우디/NNP+는/JX
작년말부터	작년/NNG+말/NNB+부터/JX
지원	지원/NNG


# id : NWRW1800000038.17.3.1
미국을 비롯한 서방권이 시리아 반군(反軍)에 대해 본격적으로 무기 지원을 할 가능성이 높은 것으로 알려졌다.

미국을	미국/NNP+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
서방권이	서방/NNG+권/XSN+이/JKS
시리아	시리아/NNP
반군(反軍)에	반군/NNG+(/SS+反軍/SH+)/SS+에/JKB
대해	대하/VV+아/EC
본격적으로	본격/NNG+적/XSN+으로/JKB
무기	무기/NNG
지원을	지원/NNG+을/JKO
할	하/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높은	높/VA+은/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.17.3.2
미국은 그동안 무기가 이슬람 테러 세력에 흘러들어 갈 수 있다는 우려 때문에 무기 지원을 꺼려왔다.

미국은	미국/NNP+은/JX
그동안	그동안/NNG
무기가	무기/NNG+가/JKS
이슬람	이슬람/NNG
테러	테러/NNG
세력에	세력/NNG+에/JKB
흘러들어	흘러들/VV+어/EC
갈	가/VX+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
우려	우려/NNG
때문에	때문/NNB+에/JKB
무기	무기/NNG
지원을	지원/NNG+을/JKO
꺼려왔다.	꺼리/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.17.4.1
오는 28일 이탈리아 로마에서 열리는 '시리아의 친구들' 국제회담에 참석하는 존 케리 미 국무장관은 25일(현지 시각) 영국 런던에서 윌리엄 헤이그 영국 외무장관과 회담을 갖고 "이제는 시리아에 대해 더 많은 지원을 해야 할 때가 왔다. 우린 로마에서 '대화'만 하지는 않을 것"이라고 했다.

오는	오/VV+는/ETM
28일	28/SN+일/NNB
이탈리아	이탈리아/NNP
로마에서	로마/NNP+에서/JKB
열리는	열리/VV+는/ETM
'시리아의	'/SS+시리아/NNP+의/JKG
친구들'	친구/NNG+들/XSN+'/SS
국제회담에	국제/NNG+회담/NNG+에/JKB
참석하는	참석/NNG+하/XSV+는/ETM
존	존/NNP
케리	케리/NNP
미	미/NNP
국무장관은	국무/NNG+장관/NNG+은/JX
25일(현지	25/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
영국	영국/NNP
런던에서	런던/NNP+에서/JKB
윌리엄	윌리엄/NNP
헤이그	헤이그/NNP
외무장관과	외무/NNG+장관/NNG+과/JKB
회담을	회담/NNG+을/JKO
갖고	갖/VV+고/EC
"이제는	"/SS+이제/NNG+는/JX
시리아에	시리아/NNP+에/JKB
대해	대하/VV+아/EC
더	더/MAG
많은	많/VA+은/ETM
지원을	지원/NNG+을/JKO
해야	하/VV+아야/EC
할	하/VX+ㄹ/ETM
때가	때/NNG+가/JKS
왔다.	오/VV+았/EP+다/EF+./SF
우린	우리/NP+ㄴ/JX
'대화'만	'/SS+대화/NNG+'/SS+만/JX
하지는	하/VV+지/EC+는/JX
않을	않/VX+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.17.4.2
헤이그 장관도 "시리아 반군에 대한 지원을 의미 있는 수준으로 높여야 한다. 우린 준비가 돼 있다"고 했다.

헤이그	헤이그/NNP
장관도	장관/NNG+도/JX
"시리아	"/SS+시리아/NNP
반군에	반군/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지원을	지원/NNG+을/JKO
의미	의미/NNG
있는	있/VA+는/ETM
수준으로	수준/NNG+으로/JKB
높여야	높이/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF
우린	우리/NP+ㄴ/JX
준비가	준비/NNG+가/JKS
돼	되/VV+어/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.17.5.1
두 장관은 '무기 지원'을 직접적으로 언급하진 않았지만, 사실상 이를 시사한 것으로 해석된다.

두	두/MMN
장관은	장관/NNG+은/JX
'무기	'/SS+무기/NNG
지원'을	지원/NNG+'/SS+을/JKO
직접적으로	직접/NNG+적/XSN+으로/JKB
언급하진	언급/NNG+하/XSV+지/EC+ㄴ/JX
않았지만,	않/VX+았/EP+지만/EC+,/SP
사실상	사실상/MAG
이를	이/NP+를/JKO
시사한	시사/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
해석된다.	해석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.17.5.2
최근 국제사회는 물론 미국 내부에서도 더 이상 시리아 사태를 방치해서는 안 된다는 여론이 높아지고 있다.

최근	최근/MAG
국제사회는	국제/NNG+사회/NNG+는/JX
물론	물론/MAG
미국	미국/NNP
내부에서도	내부/NNG+에서/JKB+도/JX
더	더/MAG
이상	이상/NNG
