# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.68
metadata : {}


# id : NWRW1800000037.68.1.1
“안전위반 과태료 높여야 예방비용이 훨씬 싸다는 걸 알게 될 것”

“안전위반	“/SS+안전/NNG+위반/NNG
과태료	과태료/NNG
높여야	높이/VV+어야/EC
예방비용이	예방/NNG+비용/NNG+이/JKS
훨씬	훨씬/MAG
싸다는	싸/VA+다는/ETM
걸	거/NNB+ㄹ/JKO
알게	알/VV+게/EC
될	되/VV+ㄹ/ETM
것”	것/NNB+”/SS


# id : NWRW1800000037.68.2.1
■ 고용노동부-안전보건공단, 화학사고 대처 긴급 좌담회

■	■/SW
고용노동부-안전보건공단,	고용/NNG+노동부/NNG+-/SO+안전보건공단/NNP+,/SP
화학사고	화학/NNG+사고/NNG
대처	대처/NNG
긴급	긴급/NNG
좌담회	좌담회/NNG


# id : NWRW1800000037.68.3.1
화학사고가 끊이지 않고 있다.

화학사고가	화학/NNG+사고/NNG+가/JKS
끊이지	끊이/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.68.3.2
영세한 중소사업장은 물론이고 대기업도 예외가 아니다.

영세한	영세/NNG+하/XSA+ㄴ/ETM
중소사업장은	중소/NNG+사업장/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
대기업도	대/XPN+기업/NNG+도/JX
예외가	예외/NNG+가/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000037.68.3.3
전문가들은 구멍 뚫린 법과 제도의 탓도 있지만 무엇보다 사람의 문제라고 입을 모았다.

전문가들은	전문가/NNG+들/XSN+은/JX
구멍	구멍/NNG
뚫린	뚫리/VV+ㄴ/ETM
법과	법/NNG+과/JC
제도의	제도/NNG+의/JKG
탓도	탓/NNG+도/JX
있지만	있/VA+지만/EC
무엇보다	무엇/NP+보다/JKB
사람의	사람/NNG+의/JKG
문제라고	문제/NNG+이/VCP+라고/EC
입을	입/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.68.3.4
최고경영자(CEO)의 의지만 있으면 사업장 안전 수준은 획기적으로 높아질 수 있다는 뜻이다.

최고경영자(CEO)의	최고/NNG+경영자/NNG+(/SS+CEO/SL+)/SS+의/JKG
의지만	의지/NNG+만/JX
있으면	있/VA+으면/EC
사업장	사업장/NNG
안전	안전/NNG
수준은	수준/NNG+은/JX
획기적으로	획기적/NNG+으로/JKB
높아질	높아지/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.68.3.5
23일 오후 경기 과천시 중앙동 과천시민회관에서 열린 긴급 좌담회에 참석한 전문가들의 한결같은 지적이다.

23일	23/SN+일/NNB
오후	오후/NNG
경기	경기/NNP
과천시	과천시/NNP
중앙동	중앙동/NNP
과천시민회관에서	과천시민회관/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
긴급	긴급/NNG
좌담회에	좌담회/NNG+에/JKB
참석한	참석/NNG+하/XSV+ㄴ/ETM
전문가들의	전문가/NNG+들/XSN+의/JKG
한결같은	한결같/VA+은/ETM
지적이다.	지적/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.68.4.1
고용노동부와 한국산업안전보건공단(안전보건공단)이 마련한 이날 좌담회에는 정재희 서울과학기술대 안전공학과 교수, 이충호 안전보건공단 중대산업사고예방실장, 김규석 노동부 제조산재예방과장이 참석했다.

고용노동부와	고용/NNG+노동부/NNG+와/JC
한국산업안전보건공단(안전보건공단)이	한국산업안전보건공단/NNP+(/SS+안전보건공단/NNP+)/SS+이/JKS
마련한	마련/NNG+하/XSV+ㄴ/ETM
이날	이날/NNG
좌담회에는	좌담회/NNG+에/JKB+는/JX
정재희	정재희/NNP
서울과학기술대	서울과학기술대/NNP
안전공학과	안전/NNG+공학과/NNG
교수,	교수/NNG+,/SP
이충호	이충호/NNP
안전보건공단	안전보건공단/NNP
중대산업사고예방실장,	중대/NNG+산업/NNG+사고/NNG+예방/NNG+실장/NNG+,/SP
김규석	김규석/NNP
노동부	노동부/NNG
제조산재예방과장이	제조/NNG+산재/NNG+예방/NNG+과장/NNG+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.68.4.2
‘화학사고 없는 안전한 산업현장 어떻게 만들 것인가’라는 주제로 1시간 반 동안 진행된 좌담회에서 참석자들은 화학사고 급증의 원인을 진단하고 정부와 민간의 의식 전환을 촉구했다.

‘화학사고	‘/SS+화학/NNG+사고/NNG
없는	없/VA+는/ETM
안전한	안전/NNG+하/XSA+ㄴ/ETM
산업현장	산업/NNG+현장/NNG
어떻게	어떻/VA+게/EC
만들	만들/VV+ㄹ/ETM
것인가’라는	것/NNB+이/VCP+ㄴ가/EF+’/SS+이/VCP+라는/ETM
주제로	주제/NNG+로/JKB
1시간	1/SN+시간/NNB
반	반/NNG
동안	동안/NNG
진행된	진행/NNG+되/XSV+ㄴ/ETM
좌담회에서	좌담회/NNG+에서/JKB
참석자들은	참석자/NNG+들/XSN+은/JX
화학사고	화학/NNG+사고/NNG
급증의	급증/NNG+의/JKG
원인을	원인/NNG+을/JKO
진단하고	진단/NNG+하/XSV+고/EC
정부와	정부/NNG+와/JC
민간의	민간/NNG+의/JKG
의식	의식/NNG
전환을	전환/NNG+을/JKO
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.68.4.3
김 과장은 “현재 산업안전보건업무를 담당하는 근로감독관이 전국적으로 320여 명으로 선진국의 5분의 1 수준에 불과하다”며 “고위험 사업장 관리하기에도 절대적으로 부족한 상황으로 지금보다 최소 2배 규모로 늘려야 한다”고 말했다.

김	김/NNP
과장은	과장/NNG+은/JX
“현재	“/SS+현재/MAG
산업안전보건업무를	산업/NNG+안전/NNG+보건/NNG+업무/NNG+를/JKO
담당하는	담당/NNG+하/XSV+는/ETM
근로감독관이	근로/NNG+감독관/NNG+이/JKS
전국적으로	전국/NNG+적/XSN+으로/JKB
320여	320/SN+여/XSN
명으로	명/NNB+으로/JKB
선진국의	선진국/NNG+의/JKG
5분의	5/SN+분/XSN+의/JKG
1	1/SN
수준에	수준/NNG+에/JKB
불과하다”며	불과/MAG+하/XSA+다/EF+”/SS+며/EC
“고위험	“/SS+고/XPN+위험/NNG
사업장	사업장/NNG
관리하기에도	관리/NNG+하/XSV+기/ETN+에/JKB+도/JX
절대적으로	절대/NNG+적/XSN+으로/JKB
부족한	부족/NNG+하/XSA+ㄴ/ETM
상황으로	상황/NNG+으로/JKB
지금보다	지금/NNG+보다/JKB
최소	최소/NNG
2배	2/SN+배/NNG
규모로	규모/NNG+로/JKB
늘려야	늘리/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.68.4.4
정 교수는 “선진국 수준으로 가려면 관련 정부부처뿐 아니라 대통령의 결심도 중요하다”고 지적했다.

정	정/NNP
교수는	교수/NNG+는/JX
“선진국	“/SS+선진국/NNG
수준으로	수준/NNG+으로/JKB
가려면	가/VV+려면/EC
관련	관련/NNG
정부부처뿐	정부/NNG+부처/NNG+뿐/JX
아니라	아니/VCN+라/EC
대통령의	대통령/NNG+의/JKG
결심도	결심/NNG+도/JX
중요하다”고	중요/NNG+하/XSA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.68.5.1
정부의 엄정한 법 집행을 강조하는 의견도 이어졌다.

정부의	정부/NNG+의/JKG
엄정한	엄정/NNG+하/XSA+ㄴ/ETM
법	법/NNG
집행을	집행/NNG+을/JKO
강조하는	강조/NNG+하/XSV+는/ETM
의견도	의견/NNG+도/JX
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.68.5.2
이 실장은 “사고가 난 뒤 근본적인 원인이 제거되지 않은 채 공장을 가동해 사고가 재발하는 사례가 적지 않다”며 “기업주는 하루빨리 생산을 재개해야 이익이라고 생각하는데 사실 사고로 인한 손실이 더 크다”고 말했다.

이	이/NNP
실장은	실장/NNG+은/JX
“사고가	“/SS+사고/NNG+가/JKS
난	나/VV+ㄴ/ETM
뒤	뒤/NNG
근본적인	근본/NNG+적/XSN+이/VCP+ㄴ/ETM
원인이	원인/NNG+이/JKS
제거되지	제거/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
채	채/NNB
공장을	공장/NNG+을/JKO
가동해	가동/NNG+하/XSV+아/EC
사고가	사고/NNG+가/JKS
재발하는	재발/NNG+하/XSV+는/ETM
사례가	사례/NNG+가/JKS
적지	적/VA+지/EC
않다”며	않/VX+다/EF+”/SS+며/EC
“기업주는	“/SS+기업주/NNG+는/JX
하루빨리	하루빨리/MAG
생산을	생산/NNG+을/JKO
재개해야	재개/NNG+하/XSV+아야/EC
이익이라고	이익/NNG+이/VCP+라고/EC
생각하는데	생각/NNG+하/XSV+는데/EC
사실	사실/MAG
사고로	사고/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
손실이	손실/NNG+이/JKS
더	더/MAG
크다”고	크/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.68.5.3
정 교수는 “고용부가 법을 집행해도 나중에 사법부에서 처벌이 약해지는 경우도 있다”며 “과태료를 현실화해서 사고 예방 비용이 훨씬 싸다는 인식을 주는 것이 필요하다”고 말했다.

정	정/NNP
교수는	교수/NNG+는/JX
“고용부가	“/SS+고용부/NNG+가/JKS
법을	법/NNG+을/JKO
집행해도	집행/NNG+하/XSV+아도/EC
나중에	나중/NNG+에/JKB
사법부에서	사법부/NNG+에서/JKB
처벌이	처벌/NNG+이/JKS
약해지는	약하/VA+아/EC+지/VX+는/ETM
경우도	경우/NNG+도/JX
있다”며	있/VA+다/EF+”/SS+며/EC
“과태료를	“/SS+과태료/NNG+를/JKO
현실화해서	현실/NNG+화/XSN+하/XSV+아서/EC
사고	사고/NNG
예방	예방/NNG
비용이	비용/NNG+이/JKS
훨씬	훨씬/MAG
싸다는	싸/VA+다는/ETM
인식을	인식/NNG+을/JKO
주는	주/VV+는/ETM
것이	것/NNB+이/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.68.6.1
참석자들은 사회 전반의 안전의식 강화를 주문했다.

참석자들은	참석자/NNG+들/XSN+은/JX
사회	사회/NNG
전반의	전반/NNG+의/JKG
안전의식	안전/NNG+의식/NNG
강화를	강화/NNG+를/JKO
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.68.6.2
김 과장은 “안전의식이 하루아침에 높아지기는 힘들겠지만 대기업은 CEO의 의지만 있다면 기간을 앞당길 수 있다”며 “전담조직과 인력을 두고 안전실태에 대한 점검 결과를 인사에 반영하면 된다”고 지적했다.

김	김/NNP
과장은	과장/NNG+은/JX
“안전의식이	“/SS+안전/NNG+의식/NNG+이/JKS
하루아침에	하루아침/NNG+에/JKB
높아지기는	높아지/VV+기/ETN+는/JX
힘들겠지만	힘들/VA+겠/EP+지만/EC
대기업은	대/XPN+기업/NNG+은/JX
CEO의	CEO/SL+의/JKG
의지만	의지/NNG+만/JX
있다면	있/VA+다면/EC
기간을	기간/NNG+을/JKO
앞당길	앞당기/VV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
“전담조직과	“/SS+전담/NNG+조직/NNG+과/JC
인력을	인력/NNG+을/JKO
두고	두/VV+고/EC
안전실태에	안전/NNG+실태/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
점검	점검/NNG
결과를	결과/NNG+를/JKO
인사에	인사/NNG+에/JKB
반영하면	반영/NNG+하/XSV+면/EC
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.68.6.3
이 실장도 “지금 학교에 다니는 학생들이 언젠가는 산업현장의 근로자가 될 것”이라며 “산업안전에 대한 내용을 학교와 가정에서 가르쳐 안전의식이 자연스럽게 몸에 배도록 했으면 좋겠다”고 말했다.

이	이/NNP
실장도	실장/NNG+도/JX
“지금	“/SS+지금/MAG
학교에	학교/NNG+에/JKB
다니는	다니/VV+는/ETM
학생들이	학생/NNG+들/XSN+이/JKS
언젠가는	언젠가/MAG+는/JX
산업현장의	산업/NNG+현장/NNG+의/JKG
근로자가	근로자/NNG+가/JKC
될	되/VV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“산업안전에	“/SS+산업/NNG+안전/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
내용을	내용/NNG+을/JKO
학교와	학교/NNG+와/JC
가정에서	가정/NNG+에서/JKB
가르쳐	가르치/VV+어/EC
안전의식이	안전/NNG+의식/NNG+이/JKS
자연스럽게	자연/NNG+스럽/XSA+게/EC
몸에	몸/NNG+에/JKB
배도록	배/VV+도록/EC
했으면	하/VV+았/EP+으면/EC
좋겠다”고	좋/VA+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.68.7.1
이들은 정부 민간 그리고 국민 개개인의 노력과 의식 전환이 필요하다는 데 의견을 모았다.

이들은	이/NP+들/XSN+은/JX
정부	정부/NNG
민간	민간/NNG
그리고	그리고/MAJ
국민	국민/NNG
개개인의	개개인/NNG+의/JKG
노력과	노력/NNG+과/JC
의식	의식/NNG
전환이	전환/NNG+이/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
데	데/NNB
의견을	의견/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.68.7.2
정 교수는 “정부와 국회는 인력과 예산을 확보하고 관련법을 개정하는 등 화학사고를 줄이기 위한 시스템을 완벽하게 갖춰야 한다”며 “안전하지 않으면 근로자는 일을 안 하고 사업주는 업무를 지시하지 않는 자세가 필요하다”고 강조했다.

정	정/NNP
교수는	교수/NNG+는/JX
“정부와	“/SS+정부/NNG+와/JC
국회는	국회/NNG+는/JX
인력과	인력/NNG+과/JC
예산을	예산/NNG+을/JKO
확보하고	확보/NNG+하/XSV+고/EC
관련법을	관련/NNG+법/NNG+을/JKO
개정하는	개정/NNG+하/XSV+는/ETM
등	등/NNB
화학사고를	화학/NNG+사고/NNG+를/JKO
줄이기	줄이/VV+기/ETN
위한	위하/VV+ㄴ/ETM
시스템을	시스템/NNG+을/JKO
완벽하게	완벽/NNG+하/XSA+게/EC
갖춰야	갖추/VV+어야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“안전하지	“/SS+안전/NNG+하/XSA+지/EC
않으면	않/VX+으면/EC
근로자는	근로자/NNG+는/JX
일을	일/NNG+을/JKO
안	안/MAG
하고	하/VV+고/EC
사업주는	사업주/NNG+는/JX
업무를	업무/NNG+를/JKO
지시하지	지시/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
자세가	자세/NNG+가/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.68.7.3
이 실장은 “경영진의 의지를 바탕으로 안전문제를 전담할 조직 구성과 투자, 평가, 피드백까지 이뤄지는 시스템을 갖춰야 한다”고 말했다.

이	이/NNP
실장은	실장/NNG+은/JX
“경영진의	“/SS+경영진/NNG+의/JKG
의지를	의지/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
안전문제를	안전/NNG+문제/NNG+를/JKO
전담할	전담/NNG+하/XSV+ㄹ/ETM
조직	조직/NNG
구성과	구성/NNG+과/JC
투자,	투자/NNG+,/SP
평가,	평가/NNG+,/SP
피드백까지	피드백/NNG+까지/JX
이뤄지는	이뤄지/VV+는/ETM
시스템을	시스템/NNG+을/JKO
갖춰야	갖추/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.68.8.1
김 과장은 “좋은 일자리의 기본은 바로 안전한 일자리”라며 “사업주가 법과 상관없이 근로자의 생명과 건강을 지키기 위해 스스로 안전 확보에 노력하는 것이 더욱 중요하다”고 말했다.

김	김/NNP
과장은	과장/NNG+은/JX
“좋은	“/SS+좋/VA+은/ETM
일자리의	일자리/NNG+의/JKG
기본은	기본/NNG+은/JX
바로	바로/MAG
안전한	안전/NNG+하/XSA+ㄴ/ETM
일자리”라며	일자리/NNG+”/SS+이/VCP+라며/EC
“사업주가	“/SS+사업주/NNG+가/JKS
법과	법/NNG+과/JKB
상관없이	상관없이/MAG
근로자의	근로자/NNG+의/JKG
생명과	생명/NNG+과/JC
건강을	건강/NNG+을/JKO
지키기	지키/VV+기/ETN
위해	위하/VV+아/EC
스스로	스스로/MAG
안전	안전/NNG
확보에	확보/NNG+에/JKB
노력하는	노력/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
더욱	더욱/MAG
중요하다”고	중요/NNG+하/XSA+다/EF+”/SS+고/JKQ
