# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.32
metadata : {}


# id : NWRW1800000049.32.1.1
활짝 열린 中 색조화장품 시장

활짝	활짝/MAG
열린	열리/VV+ㄴ/ETM
中	中/SH
색조화장품	색조/NNG+화장품/NNG
시장	시장/NNG


# id : NWRW1800000049.32.2.1
中 당국 10월부터 소비세 폐지… 총세금 수입원가 71%→19% 줄어 국내업계, 현지 공장설립 등 박차

中	中/SH
당국	당국/NNG
10월부터	10/SN+월/NNB+부터/JX
소비세	소비세/NNG
폐지…	폐지/NNG+…/SE
총세금	총/MMA+세금/NNG
수입원가	수입/NNG+원가/NNG
71%→19%	71/SN+%/SW+→/SW+19/SN+%/SW
줄어	줄/VV+어/EC
국내업계,	국내/NNG+업계/NNG+,/SP
현지	현지/NNG
공장설립	공장/NNG+설립/NNG
등	등/NNB
박차	박차/NNG


# id : NWRW1800000049.32.3.1
중국 정부가 색조 화장품과 향수에 물리던 소비세를 이달부터 폐지하면서 한국의 화장품 업체들이 호재를 맞았다.

중국	중국/NNP
정부가	정부/NNG+가/JKS
색조	색조/NNG
화장품과	화장품/NNG+과/JC
향수에	향수/NNG+에/JKB
물리던	물리/VV+던/ETM
소비세를	소비세/NNG+를/JKO
이달부터	이달/NNG+부터/JX
폐지하면서	폐지/NNG+하/XSV+면서/EC
한국의	한국/NNP+의/JKG
화장품	화장품/NNG
업체들이	업체/NNG+들/XSN+이/JKS
호재를	호재/NNG+를/JKO
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.32.3.2
한국을 찾은 유커(遊客·중국인 관광객)의 화장품 소비가 늘어나는 것은 물론이고 중국 본토에서도 가격 경쟁력 상승으로 매출이 늘어날 것이라는 전망이 나오고 있다.

한국을	한국/NNP+을/JKO
찾은	찾/VV+은/ETM
유커(遊客·중국인	유커/NNG+(/SS+遊客/SH+·/SP+중국인/NNG
관광객)의	관광객/NNG+)/SS+의/JKG
