# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.360
metadata : {}


# id : NWRW1800000037.360.1.1
“승진 노리고 민주당에 심리전단 직원 정보 제공”… 공모한 정모 씨의 정보유출 전말

“승진	“/SS+승진/NNG
노리고	노리/VV+고/EC
민주당에	민주당/NNP+에/JKB
심리전단	심리전단/NNG
직원	직원/NNG
정보	정보/NNG
제공”…	제공/NNG+”/SS+…/SE
공모한	공모/NNG+하/XSV+ㄴ/ETM
정모	정/NNP+모/NP
씨의	씨/NNB+의/JKG
정보유출	정보/NNG+유출/NNG
전말	전말/NNG


# id : NWRW1800000037.360.2.1
파면되자 ‘원장님 지시-말씀’ 베껴서 빼돌리기도”

파면되자	파면/NNG+되/XSV+자/EC
‘원장님	‘/SS+원장/NNG+님/XSN
지시-말씀’	지시/NNG+-/SO+말씀/NNG+’/SS
베껴서	베끼/VV+어서/EC
빼돌리기도”	빼돌리/VV+기/ETN+도/JX+”/SS


# id : NWRW1800000037.360.3.1
국가정보원 심리전단 직원들의 집 주소와 ‘원장님 지시 말씀’ 등 국정원 내부기밀 자료가 김상욱 씨와 민주당 관계자들의 손에 들어가는 데는 전직 국정원 직원 정모 씨(49)의 역할이 컸다.

국가정보원	국가/NNG+정보원/NNG
심리전단	심리전단/NNG
직원들의	직원/NNG+들/XSN+의/JKG
집	집/NNG
주소와	주소/NNG+와/JC
‘원장님	‘/SS+원장/NNG+님/XSN
지시	지시/NNG
말씀’	말씀/NNG+’/SS
등	등/NNB
국정원	국정원/NNG
내부기밀	내부/NNG+기밀/NNG
자료가	자료/NNG+가/JKS
김상욱	김상욱/NNP
씨와	씨/NNB+와/JC
민주당	민주당/NNP
관계자들의	관계자/NNG+들/XSN+의/JKG
손에	손/NNG+에/JKB
들어가는	들어가/VV+는/ETM
데는	데/NNB+는/JX
전직	전직/NNG
직원	직원/NNG
정모	정/NNP+모/NP
씨(49)의	씨/NNB+(/SS+49/SN+)/SS+의/JKG
역할이	역할/NNG+이/JKS
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000037.360.3.2
1991년 국정원 주사보로 임용된 정 씨는 올 2월 파면됐다.

1991년	1991/SN+년/NNB
국정원	국정원/NNG
주사보로	주사보/NNG+로/JKB
임용된	임용/NNG+되/XSV+ㄴ/ETM
정	정/NNP
씨는	씨/NNB+는/JX
올	올/NNG
2월	2/SN+월/NNB
파면됐다.	파면/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.360.4.1
검찰 공소장에 따르면 정 씨는 평소 원세훈 전 국정원장에게 불만이 많았다고 한다.

검찰	검찰/NNG
공소장에	공소장/NNG+에/JKB
따르면	따르/VV+면/EC
정	정/NNP
씨는	씨/NNB+는/JX
평소	평소/NNG
원세훈	원세훈/NNP
전	전/MMD
국정원장에게	국정원장/NNG+에게/JKB
불만이	불만/NNG+이/JKS
많았다고	많/VA+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.360.4.2
원 전 원장이 취임 후 부서장들의 의견을 무시한 채 인사권을 남용하는 등 독단적으로 국정원을 운영한다는 생각에서였다.

원	원/NNP
전	전/MMD
원장이	원장/NNG+이/JKS
취임	취임/NNG
후	후/NNG
부서장들의	부서장/NNG+들/XSN+의/JKG
의견을	의견/NNG+을/JKO
무시한	무시/NNG+하/XSV+ㄴ/ETM
채	채/NNB
인사권을	인사/NNG+권/XSN+을/JKO
남용하는	남용/NNG+하/XSV+는/ETM
등	등/NNB
독단적으로	독단/NNG+적/XSN+으로/JKB
국정원을	국정원/NNG+을/JKO
운영한다는	운영/NNG+하/XSV+ㄴ다는/ETM
생각에서였다.	생각/NNG+에서/JKB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.360.4.3
2000년 이후 13년 동안 승진을 못한 것도 정 씨의 불만을 키웠다고 검찰은 봤다.

2000년	2000/SN+년/NNB
이후	이후/NNG
13년	13/SN+년/NNB
동안	동안/NNG
승진을	승진/NNG+을/JKO
못한	못/MAG+하/VV+ㄴ/ETM
것도	것/NNB+도/JX
정	정/NNP
씨의	씨/NNB+의/JKG
불만을	불만/NNG+을/JKO
키웠다고	키우/VV+었/EP+다고/EC
검찰은	검찰/NNG+은/JX
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.360.4.4
그러던 중 먼저 국정원에서 퇴직한 친한 동료였던 김상욱 씨가 ‘문재인 민주통합당 후보 캠프에서 상당한 역할을 하고 있다’는 말을 들었다.

그러던	그러/VV+던/ETM
중	중/NNB
먼저	먼저/MAG
국정원에서	국정원/NNG+에서/JKB
퇴직한	퇴직/NNG+하/XSV+ㄴ/ETM
친한	친하/VA+ㄴ/ETM
동료였던	동료/NNG+이/VCP+었/EP+던/ETM
김상욱	김상욱/NNP
씨가	씨/NNB+가/JKS
‘문재인	‘/SS+문재인/NNP
민주통합당	민주통합당/NNP
후보	후보/NNG
캠프에서	캠프/NNG+에서/JKB
상당한	상당/NNG+하/XSA+ㄴ/ETM
역할을	역할/NNG+을/JKO
하고	하/VV+고/EC
있다’는	있/VX+다/EF+’/SS+는/ETM
말을	말/NNG+을/JKO
들었다.	듣/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.360.4.5
검찰은 공소장에서 정 씨가 ‘정권이 바뀌면 승진도 하고 한 자리 얻을 수 있을 것’이라는 생각에 심리전단 직원들의 활동 정보를 김 씨에게 넘기기로 마음먹었다고 썼다.

검찰은	검찰/NNG+은/JX
공소장에서	공소장/NNG+에서/JKB
정	정/NNP
씨가	씨/NNB+가/JKS
‘정권이	‘/SS+정권/NNG+이/JKS
바뀌면	바뀌/VV+면/EC
승진도	승진/NNG+도/JX
하고	하/VV+고/EC
한	한/MMN
자리	자리/NNG
