# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.360
metadata : {}


# id : NWRW1800000046.360.1.1
朴대통령 "청년 일자리法, 얼마나 묵히고 있나"

朴대통령	朴/SH+대통령/NNG
"청년	"/SS+청년/NNG
일자리法,	일자리/NNG+法/SH+,/SP
얼마나	얼마나/MAG
묵히고	묵히/VV+고/EC
있나"	있/VX+나/EF+"/SS


# id : NWRW1800000046.360.2.1
"누굴 해코지 하는법 아냐"… 국회에 법안 처리 또 촉구

"누굴	"/SS+누구/NP+ㄹ/JKO
해코지	해코지/NNG
하는법	하/VV+는/ETM+법/NNG
아냐"…	아니/VCN+야/EF+"/SS+…/SE
국회에	국회/NNG+에/JKB
법안	법안/NNG
처리	처리/NNG
또	또/MAG
촉구	촉구/NNG


# id : NWRW1800000046.360.3.1
박근혜 대통령은 27일 청와대에서 가진 '일자리 창출을 위한 중소기업인과의 대화'에서 국회를 향해 '청년 일자리 창출 관련 법안'의 처리를 또다시 촉구했다.

박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
27일	27/SN+일/NNB
청와대에서	청와대/NNP+에서/JKB
가진	가지/VV+ㄴ/ETM
'일자리	'/SS+일자리/NNG
창출을	창출/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
중소기업인과의	중소기업인/NNG+과/JKB+의/JKG
대화'에서	대화/NNG+'/SS+에서/JKB
국회를	국회/NNG+를/JKO
향해	향하/VV+아/EC
'청년	'/SS+청년/NNG
일자리	일자리/NNG
창출	창출/NNG
관련	관련/NNG
법안'의	법안/NNG+'/SS+의/JKG
처리를	처리/NNG+를/JKO
또다시	또다시/MAG
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.360.3.2
국회는 28일 5월 임시국회의 마지막 본회의를 예정해 놓고 있다.

국회는	국회/NNG+는/JX
28일	28/SN+일/NNB
5월	5/SN+월/NNB
임시국회의	임시/NNG+국회/NNG+의/JKG
마지막	마지막/NNG
본회의를	본회의/NNG+를/JKO
예정해	예정/NNG+하/XSV+아/EC
놓고	놓/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.360.4.1
박 대통령은 인터넷과 SNS를 통해 벤처 자금을 조달하는 크라우드펀딩법을 언급하며 "국회에서 지금 얼마나 묵히고 있습니까. 1년 됐죠?"라고 한 뒤 "이번에도 천신만고 끝에 법사위까지 올라갔는데 거기서 또 통과가 안 되고 있다"고 했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
인터넷과	인터넷/NNG+과/JC
SNS를	SNS/SL+를/JKO
통해	통하/VV+아/EC
벤처	벤처/NNG
자금을	자금/NNG+을/JKO
조달하는	조달/NNG+하/XSV+는/ETM
크라우드펀딩법을	크라우드/NNG+펀딩/NNG+법/NNG+을/JKO
언급하며	언급/NNG+하/XSV+며/EC
"국회에서	"/SS+국회/NNG+에서/JKB
지금	지금/MAG
얼마나	얼마나/MAG
묵히고	묵히/VV+고/EC
있습니까.	있/VX+습니까/EF+./SF
1년	1/SN+년/NNB
됐죠?"라고	되/VV+었/EP+죠/EF+?/SF+"/SS+라고/JKQ
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
"이번에도	"/SS+이번/NNG+에/JKB+도/JX
천신만고	천신만고/NNG
끝에	끝/NNG+에/JKB
법사위까지	법사위/NNG+까지/JX
올라갔는데	올라가/VV+았/EP+는데/EC
거기서	거기/NP+서/JKB
또	또/MAG
통과가	통과/NNG+가/JKS
안	안/MAG
되고	되/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.360.5.1
그러면서 박 대통령은 참석한 중소기업인들에게 "'누구에게 해코지하는 것도 아니고 좋은 법인데, 많은 젊은이가 도움을 받아서 창업할 수 있는데 그 길을 막는 게 국회 일은 아니지 않으냐' 이렇게 강력하게 (국회에) 말씀들을 해달라"고 했다.

그러면서	그러/VV+면서/EC
박	박/NNP
대통령은	대통령/NNG+은/JX
참석한	참석/NNG+하/XSV+ㄴ/ETM
중소기업인들에게	중소기업인/NNG+들/XSN+에게/JKB
"'누구에게	"/SS+'/SS+누구/NP+에게/JKB
해코지하는	해코지/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
아니고	아니/VCN+고/EC
좋은	좋/VA+은/ETM
법인데,	법/NNG+이/VCP+ㄴ데/EC+,/SP
많은	많/VA+은/ETM
젊은이가	젊은이/NNG+가/JKS
도움을	도움/NNG+을/JKO
받아서	받/VV+아서/EC
창업할	창업/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는데	있/VA+는데/EC
그	그/MMD
길을	길/NNG+을/JKO
막는	막/VV+는/ETM
게	거/NNB+이/JKS
국회	국회/NNG
일은	일/NNG+은/JX
아니지	아니/VCN+지/EC
않으냐'	않/VX+으냐/EF+'/SS
이렇게	이렇/VA+게/EC
강력하게	강력/NNG+하/XSA+게/EC
(국회에)	(/SS+국회/NNG+에/JKB+)/SS
말씀들을	말씀/NNG+들/XSN+을/JKO
해달라"고	하/VV+아/EC+달/VX+라/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.360.5.2
이에 박성택 중소기업중앙회장은 "저희 중소기업 단체들이 힘을 모아 국회에 항의도 하고 강력하게 대응을 해보겠다"고 했다.

이에	이/NP+에/JKB
박성택	박성택/NNP
중소기업중앙회장은	중소기업/NNG+중앙회장/NNG+은/JX
"저희	"/SS+저희/NP
중소기업	중소기업/NNG
단체들이	단체/NNG+들/XSN+이/JKS
힘을	힘/NNG+을/JKO
모아	모으/VV+아/EC
국회에	국회/NNG+에/JKB
항의도	항의/NNG+도/JX
하고	하/VV+고/EC
강력하게	강력/NNG+하/XSA+게/EC
대응을	대응/NNG+을/JKO
해보겠다"고	하/VV+아/EC+보/VX+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.360.6.1
박 대통령은 서비스산업발전기본법도 거론하며 "이 법도 얼마나 묵혔습니까. 2년 됐죠?"라고 했고, 최경환 경제부총리는 "그건 2년 넘었습니다"고 했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
서비스산업발전기본법도	서비스/NNG+산업/NNG+발전/NNG+기본법/NNG+도/JX
거론하며	거론/NNG+하/XSV+며/EC
"이	"/SS+이/MMD
법도	법/NNG+도/JX
얼마나	얼마나/MAG
묵혔습니까.	묵히/VV+었/EP+습니까/EF+./SF
2년	2/SN+년/NNB
됐죠?"라고	되/VV+었/EP+죠/EF+?/SF+"/SS+라고/JKQ
했고,	하/VV+았/EP+고/EC+,/SP
최경환	최경환/NNP
경제부총리는	경제/NNG+부총리/NNG+는/JX
"그건	"/SS+그거/NP+ㄴ/JX
넘었습니다"고	넘/VV+었/EP+습니다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.360.6.2
박 대통령은 "관광진흥법은 중국 손님이 쏟아져 들어와 2017년이면 방이 모자라는데 누구를 위해 이 법을 막고 있느냐" "국제의료산업지원법은 많은 외국 환자들이 여기서 치료를 받고 관광도 할 수 있는데 그 기회를 왜 막느냐"고도 했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
"관광진흥법은	"/SS+관광/NNG+진흥법/NNG+은/JX
중국	중국/NNP
손님이	손/NNG+님/XSN+이/JKS
쏟아져	쏟아지/VV+어/EC
들어와	들어오/VV+아/EC
2017년이면	2017/SN+년/NNB+이/VCP+면/EC
방이	방/NNG+이/JKS
모자라는데	모자라/VV+는데/EC
누구를	누구/NP+를/JKO
위해	위하/VV+아/EC
이	이/MMD
법을	법/NNG+을/JKO
막고	막/VV+고/EC
있느냐"	있/VX+느냐/EF+"/SS
"국제의료산업지원법은	"/SS+국제/NNG+의료/NNG+산업/NNG+지원법/NNG+은/JX
많은	많/VA+은/ETM
외국	외국/NNG
환자들이	환자/NNG+들/XSN+이/JKS
여기서	여기/NP+서/JKB
치료를	치료/NNG+를/JKO
받고	받/VV+고/EC
관광도	관광/NNG+도/JX
할	하/VV+ㄹ/ETM
수	수/NNB
있는데	있/VA+는데/EC
그	그/MMD
기회를	기회/NNG+를/JKO
왜	왜/MAG
막느냐"고도	막/VV+느냐/EF+"/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.360.6.3
이어 참석자 중 한명인 ㈜루트로닉 황혜령 대표이사는 "정보통신과 접목된 원격 의료 사업의 육성을 위해 국회에서 표류 중인 서비스산업발전기본법, 의료법이 조속히 통과되도록 더 노력해 달라"고 요청했다.

이어	이어/MAG
참석자	참석자/NNG
중	중/NNB
한명인	한/MMN+명/NNB+이/VCP+ㄴ/ETM
㈜루트로닉	㈜/SW+루트로닉/NNP
황혜령	황혜령/NNP
대표이사는	대표/NNG+이사/NNG+는/JX
"정보통신과	"/SS+정보/NNG+통신/NNG+과/JKB
접목된	접목/NNG+되/XSV+ㄴ/ETM
원격	원격/NNG
의료	의료/NNG
사업의	사업/NNG+의/JKG
육성을	육성/NNG+을/JKO
위해	위하/VV+아/EC
국회에서	국회/NNG+에서/JKB
표류	표류/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
서비스산업발전기본법,	서비스/NNG+산업/NNG+발전/NNG+기본법/NNG+,/SP
의료법이	의료법/NNG+이/JKS
조속히	조속히/MAG
통과되도록	통과/NNG+되/XSV+도록/EC
더	더/MAG
노력해	노력/NNG+하/XSV+아/EC
달라"고	달/VX+라/EF+"/SS+고/JKQ
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.360.7.1
한편 박 대통령은 이날 오전 청와대에서 레 탄 하이 베트남 호찌민시 당서기를 접견하고 한국과 호찌민시 간의 교류·협력 확대 방안에 대해 의견을 나눴다.

한편	한편/MAG
박	박/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
오전	오전/NNG
청와대에서	청와대/NNP+에서/JKB
레	레/NNP
탄	탄/NNP
하이	하이/NNP
베트남	베트남/NNP
호찌민시	호찌민시/NNP
당서기를	당/NNG+서기/NNG+를/JKO
접견하고	접견/NNG+하/XSV+고/EC
한국과	한국/NNP+과/JC
간의	간/NNB+의/JKG
교류·협력	교류/NNG+·/SP+협력/NNG
확대	확대/NNG
방안에	방안/NNG+에/JKB
대해	대하/VV+아/EC
의견을	의견/NNG+을/JKO
나눴다.	나누/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.360.7.2
베트남의 전·현직 국가주석은 모두 호찌민시 당서기 출신이다.

베트남의	베트남/NNP+의/JKG
전·현직	전·현직/NNG
국가주석은	국가주석/NNG+은/JX
모두	모두/MAG
호찌민시	호찌민시/NNP
당서기	당/NNG+서기/NNG
출신이다.	출신/NNG+이/VCP+다/EF+./SF


