# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.213
metadata : {}


# id : NWRW1800000049.213.1.1
음주운전-벌점초과 등으로 작년 버스기사 408명 면허취소

음주운전-벌점초과	음주/NNG+운전/NNG+-/SO+벌점/NNG+초과/NNG
등으로	등/NNB+으로/JKB
작년	작년/NNG
버스기사	버스/NNG+기사/NNG
408명	408/SN+명/NNB
면허취소	면허/NNG+취소/NNG


# id : NWRW1800000049.213.2.1
전체 15만명중 부적격자 훨씬 많아 면허관리 강화해 적극 걸러내야

전체	전체/NNG
15만명중	15/SN+만/NR+명/NNB+중/NNB
부적격자	부/XPN+적격자/NNG
훨씬	훨씬/MAG
많아	많/VA+아/EC
면허관리	면허/NNG+관리/NNG
강화해	강화/NNG+하/XSV+아/EC
적극	적극/NNG
걸러내야	거르/VV+어/EC+내/VX+어야/EC


# id : NWRW1800000049.213.3.1
대형 버스 참사를 막으려면 차량 안전기준뿐 아니라 운전사 관리 체계도 강화해야 한다.

대형	대형/NNG
버스	버스/NNG
참사를	참사/NNG+를/JKO
막으려면	막/VV+으려면/EC
차량	차량/NNG
안전기준뿐	안전/NNG+기준/NNG+뿐/JX
아니라	아니/VCN+라/EC
운전사	운전사/NNG
관리	관리/NNG
체계도	체계/NNG+도/JX
강화해야	강화/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.213.3.2
버스 내부에 아무리 많은 안전장치를 설치해도 결국 운전사의 과실이나 부주의 때문에 사고가 발생하고 인명 피해가 커지기 때문이다.

버스	버스/NNG
내부에	내부/NNG+에/JKB
아무리	아무리/MAG
많은	많/VA+은/ETM
안전장치를	안전장치/NNG+를/JKO
설치해도	설치/NNG+하/XSV+아도/EC
결국	결국/NNG
운전사의	운전사/NNG+의/JKG
과실이나	과실/NNG+이나/JC
부주의	부/XPN+주의/NNG
때문에	때문/NNB+에/JKB
사고가	사고/NNG+가/JKS
발생하고	발생/NNG+하/XSV+고/EC
인명	인명/NNG
피해가	피해/NNG+가/JKS
커지기	커지/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.213.4.1
17일 교통안전공단에 따르면 지난해 음주운전이나 벌점 초과 등으로 면허가 취소된 버스 운전사는 408명에 이른다.

17일	17/SN+일/NNB
교통안전공단에	교통안전공단/NNP+에/JKB
따르면	따르/VV+면/EC
지난해	지난해/NNG
음주운전이나	음주/NNG+운전/NNG+이나/JC
벌점	벌점/NNG
초과	초과/NNG
등으로	등/NNB+으로/JKB
면허가	면허/NNG+가/JKS
취소된	취소/NNG+되/XSV+ㄴ/ETM
버스	버스/NNG
운전사는	운전사/NNG+는/JX
408명에	408/SN+명/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.213.4.2
음주운전 적발이 301명으로 가장 많았다.

음주운전	음주/NNG+운전/NNG
적발이	적발/NNG+이/JKS
301명으로	301/SN+명/NNB+으로/JKB
가장	가장/MAG
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000049.213.4.3
이 가운데 46명은 음주운전으로 인명 사고까지 일으켰다.

이	이/MMD
가운데	가운데/NNG
46명은	46/SN+명/NNB+은/JX
음주운전으로	음주/NNG+운전/NNG+으로/JKB
인명	인명/NNG
사고까지	사고/NNG+까지/JX
일으켰다.	일으키/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.213.4.4
또 교통법규 위반으로 벌점이 초과돼 면허가 취소된 사례는 58명, 적성검사를 통과하지 못했거나 갱신하지 않은 운전사도 49명이다.

또	또/MAG
교통법규	교통/NNG+법규/NNG
위반으로	위반/NNG+으로/JKB
벌점이	벌점/NNG+이/JKS
초과돼	초과/NNG+되/XSV+어/EC
면허가	면허/NNG+가/JKS
취소된	취소/NNG+되/XSV+ㄴ/ETM
