# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.219
metadata : {}


# id : NWRW1800000033.219.1.1
악마에 홀린 순간 악몽이 시작됐다… 승부조작으로 징계 받은 선수들 그 이후

악마에	악마/NNG+에/JKB
홀린	홀리/VV+ㄴ/ETM
순간	순간/NNG
악몽이	악몽/NNG+이/JKS
시작됐다…	시작/NNG+되/XSV+었/EP+다/EF+…/SE
승부조작으로	승부/NNG+조작/NNG+으로/JKB
징계	징계/NNG
받은	받/VV+은/ETM
선수들	선수/NNG+들/XSN
그	그/MMD
이후	이후/NNG


# id : NWRW1800000033.219.2.1
프로야구 LG 박현준과 김성현은 경기 조작에 가담했다는 이유로 한국야구위원회(KBO)로부터 5일 일시 자격정지 징계를, 구단으로부터는 6일 퇴단 징계를 받았다.

프로야구	프로/NNG+야구/NNG
LG	LG/SL
박현준과	박현준/NNP+과/JC
김성현은	김성현/NNP+은/JX
경기	경기/NNG
조작에	조작/NNG+에/JKB
가담했다는	가담/NNG+하/XSV+았/EP+다는/ETM
이유로	이유/NNG+로/JKB
한국야구위원회(KBO)로부터	한국야구위원회/NNP+(/SS+KBO/SL+)/SS+로부터/JKB
5일	5/SN+일/NNB
일시	일시/NNG
자격정지	자격/NNG+정지/NNG
징계를,	징계/NNG+를/JKO+,/SP
구단으로부터는	구단/NNG+으로부터/JKB+는/JX
6일	6/SN+일/NNB
퇴단	퇴단/NNG
징계를	징계/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.219.2.2
사법기관의 형사 처벌이 확정되면 영구 제명이 불가피하다.

사법기관의	사법/NNG+기관/NNG+의/JKG
형사	형사/NNG
처벌이	처벌/NNG+이/JKS
확정되면	확정/NNG+되/XSV+면/EC
영구	영구/NNG
제명이	제명/NNG+이/JKS
불가피하다.	불가피하/VA+다/EF+./SF


# id : NWRW1800000033.219.2.3
한국배구연맹(KOVO) 역시 지난달 같은 혐의가 드러난 선수 4명을 영구 제명했다.

한국배구연맹(KOVO)	한국배구연맹/NNP+(/SS+KOVO/SL+)/SS
역시	역시/MAG
지난달	지난달/NNG
같은	같/VA+은/ETM
혐의가	혐의/NNG+가/JKS
드러난	드러나/VV+ㄴ/ETM
선수	선수/NNG
4명을	4/SN+명/NNB+을/JKO
영구	영구/NNG
제명했다.	제명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.219.3.1
당장 이들 모두 국내에서는 해당 종목과 관련된 어떤 일도 할 수 없다.

당장	당장/NNG
이들	이/NP+들/XSN
모두	모두/MAG
국내에서는	국내/NNG+에서/JKB+는/JX
해당	해당/NNG
종목과	종목/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
어떤	어떤/MMD
일도	일/NNG+도/JX
할	하/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000033.219.3.2
프로뿐 아니라 아마추어 팀 지도자의 길도 막혀 있다.

프로뿐	프로/NNG+뿐/JX
아니라	아니/VCN+라/EC
아마추어	아마추어/NNG
팀	팀/NNG
지도자의	지도자/NNG+의/JKG
길도	길/NNG+도/JX
막혀	막히/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.219.3.3
프로야구 선수 출신이 아마추어 팀을 맡기 위해서는 대한야구협회의 심의를 통과해야 하는데 야구와 관련해 제재를 받은 자는 자격을 잃는다.

프로야구	프로/NNG+야구/NNG
선수	선수/NNG
출신이	출신/NNG+이/JKS
아마추어	아마추어/NNG
팀을	팀/NNG+을/JKO
맡기	맡/VV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
대한야구협회의	대한야구협회/NNP+의/JKG
심의를	심의/NNG+를/JKO
통과해야	통과/NNG+하/XSV+아야/EC
하는데	하/VX+는데/EC
야구와	야구/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
제재를	제재/NNG+를/JKO
받은	받/VV+은/ETM
자는	자/NNB+는/JX
자격을	자격/NNG+을/JKO
잃는다.	잃/VV+는다/EF+./SF


# id : NWRW1800000033.219.3.4
배구도 마찬가지다.

배구도	배구/NNG+도/JX
마찬가지다.	마찬가지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.219.3.5
이들은 앞으로 어떤 길을 걷게 될까.

이들은	이/NP+들/XSN+은/JX
앞으로	앞/NNG+으로/JKB
어떤	어떤/MMD
길을	길/NNG+을/JKO
걷게	걷/VV+게/EC
될까.	되/VV+ㄹ까/EF+./SF


# id : NWRW1800000033.219.4.1
운동을 계속할 길이 아예 없는 건 아니다.

운동을	운동/NNG+을/JKO
계속할	계속/NNG+하/XSV+ㄹ/ETM
길이	길/NNG+이/JKS
아예	아예/MAG
없는	없/VA+는/ETM
건	거/NNB+ㄴ/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000033.219.4.2
지난해 프로축구 승부 조작과 관련해 영구 제명된 국가대표 출신 최성국은 올해 초부터 마케도니아에서 선수 생활을 이어가고 있다.

지난해	지난해/NNG
프로축구	프로/NNG+축구/NNG
승부	승부/NNG
조작과	조작/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
영구	영구/NNG
제명된	제명/NNG+되/XSV+ㄴ/ETM
국가대표	국가/NNG+대표/NNG
출신	출신/NNG
최성국은	최성국/NNP+은/JX
올해	올해/NNG
초부터	초/NNB+부터/JX
마케도니아에서	마케도니아/NNP+에서/JKB
선수	선수/NNG
생활을	생활/NNG+을/JKO
이어가고	잇/VV+어/EC+가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.219.4.3
그는 대한축구협회로부터 국제 이적동의서 발급을 거부당했지만 국제축구연맹(FIFA)으로부터 임시 이적동의서를 받아 해외로 나갈 수 있었다.

그는	그/NP+는/JX
대한축구협회로부터	대한축구협회/NNP+로부터/JKB
국제	국제/NNG
이적동의서	이적/NNG+동의서/NNG
발급을	발급/NNG+을/JKO
거부당했지만	거부/NNG+당하/XSV+았/EP+지만/EC
국제축구연맹(FIFA)으로부터	국제축구연맹/NNP+(/SS+FIFA/SL+)/SS+으로부터/JKB
임시	임시/NNG
