# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.215
metadata : {}


# id : NWRW1800000049.215.1.1
美 ‘北 자금세탁우려국’ 본격 이행

美	美/SH
‘北	‘/SS+北/SH
자금세탁우려국’	자금/NNG+세탁/NNG+우려국/NNG+’/SS
본격	본격/NNG
이행	이행/NNG


# id : NWRW1800000049.215.2.1
北과 거래 제3국 금융기관도 제재… 2005년 BDA 조치보다 강력 中에 “대북제재 적극 동참” 메시지

北과	北/SH+과/JKB
거래	거래/NNG
제3국	제3국/NNG
금융기관도	금융/NNG+기관/NNG+도/JX
제재…	제재/NNG+…/SE
2005년	2005/SN+년/NNB
BDA	BDA/SL
조치보다	조치/NNG+보다/JKB
강력	강력/NNG
中에	中/SH+에/JKB
“대북제재	“/SS+대북/NNG+제재/NNG
적극	적극/NNG
동참”	동참/NNG+”/SS
메시지	메시지/NNG


# id : NWRW1800000049.215.3.1
미국 정부가 북한 자금세탁 우려국 지정 시행을 위한 세부규칙을 확정해 발표했다.

미국	미국/NNP
정부가	정부/NNG+가/JKS
북한	북한/NNP
자금세탁	자금/NNG+세탁/NNG
우려국	우려국/NNG
지정	지정/NNG
시행을	시행/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
세부규칙을	세부/NNG+규칙/NNG+을/JKO
확정해	확정/NNG+하/XSV+아/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.215.3.2
미 재무부 금융범죄단속반(FCEN)은 4일(현지 시간) 성명을 내고 올 6월 북한을 주요 자금세탁 우려국으로 지정한 법안의 구체적인 내용을 최종 확정해 이행에 들어간다고 밝혔다.

미	미/NNP
재무부	재무부/NNG
금융범죄단속반(FCEN)은	금융/NNG+범죄/NNG+단속반/NNG+(/SS+FCEN/SL+)/SS+은/JX
4일(현지	4/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
성명을	성명/NNG+을/JKO
내고	내/VV+고/EC
올	올/NNG
6월	6/SN+월/NNB
북한을	북한/NNP+을/JKO
주요	주요/NNG
자금세탁	자금/NNG+세탁/NNG
우려국으로	우려국/NNG+으로/JKB
