# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.60
metadata : {}


# id : NWRW1800000041.60.1.1
“부디 그들을 돌려주오” 네덜란드 검은 물결

“부디	“/SS+부디/MAG
그들을	그/NP+들/XSN+을/JKO
돌려주오”	돌려주/VV+오/EF+”/SS
네덜란드	네덜란드/NNP
검은	검/VA+은/ETM
물결	물결/NNG


# id : NWRW1800000041.60.2.1
SNS에 유해 송환기원 ‘검은리본’… 400년 러시아와 우호관계도 흔들 자국서 稅혜택 기업, 미사일생산… “세금이 국민 죽이는데 사용” 분노

SNS에	SNS/SL+에/JKB
유해	유해/NNG
송환기원	송환/NNG+기원/NNG
‘검은리본’…	‘/SS+검/VA+은/ETM+리본/NNG+’/SS+…/SE
400년	400/SN+년/NNB
러시아와	러시아/NNP+와/JKB
우호관계도	우호/NNG+관계/NNG+도/JX
흔들	흔들/VV+ㄹ/ETM
자국서	자국/NNG+서/JKB
稅혜택	稅/SH+혜택/NNG
기업,	기업/NNG+,/SP
미사일생산…	미사일/NNG+생산/NNG+…/SE
“세금이	“/SS+세금/NNG+이/JKS
국민	국민/NNG
죽이는데	죽이/VV+는데/EC
사용”	사용/NNG+”/SS
분노	분노/NNG


# id : NWRW1800000041.60.3.1
“그들이 무사히 집으로 돌아오기를….”

“그들이	“/SS+그/NP+들/XSN+이/JKS
무사히	무사히/MAG
집으로	집/NNG+으로/JKB
돌아오기를….”	돌아오/VV+기/ETN+를/JKO+…/SE+./SF+”/SS


# id : NWRW1800000041.60.4.1
브라질 월드컵 4강에 올라 오렌지 빛깔로 환호하던 네덜란드 전역이 월드컵 폐막 1주일 만에 검은색 물결로 뒤덮였다.

브라질	브라질/NNP
월드컵	월드컵/NNG
4강에	4/SN+강/NNB+에/JKB
올라	오르/VV+아/EC
오렌지	오렌지/NNG
빛깔로	빛깔/NNG+로/JKB
환호하던	환호/NNG+하/XSV+던/ETM
네덜란드	네덜란드/NNP
전역이	전역/NNG+이/JKS
폐막	폐막/NNG
1주일	1/SN+주일/NNB
만에	만/NNB+에/JKB
검은색	검은색/NNG
물결로	물결/NNG+로/JKB
뒤덮였다.	뒤덮이/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.60.4.2
자국민 193명이 희생된 말레이시아항공 MH17 여객기 격추 사건을 네덜란드인들은 “우리에게 닥친 9·11테러”라며 슬픔에 잠겼다.

자국민	자국민/NNG
193명이	193/SN+명/NNB+이/JKS
희생된	희생/NNG+되/XSV+ㄴ/ETM
말레이시아항공	말레이시아항공/NNP
MH17	MH/SL+17/SN
여객기	여객기/NNG
격추	격추/NNG
사건을	사건/NNG+을/JKO
네덜란드인들은	네덜란드인/NNG+들/XSN+은/JX
“우리에게	“/SS+우리/NP+에게/JKB
닥친	닥치/VV+ㄴ/ETM
9·11테러”라며	9/SN+·/SP+11/SN+테러/NNG+”/SS+이/VCP+라며/EC
슬픔에	슬픔/NNG+에/JKB
잠겼다.	잠기/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.60.5.1
BBC는 네덜란드인들의 소셜네트워크서비스(SNS)에서는 프로필과 사진을 검은색 사각형이나 검은색 리본으로 바꾸고 있다고 보도했다.

BBC는	BBC/SL+는/JX
네덜란드인들의	네덜란드인/NNG+들/XSN+의/JKG
소셜네트워크서비스(SNS)에서는	소셜/NNG+네트워크/NNG+서비스/NNG+(/SS+SNS/SL+)/SS+에서/JKB+는/JX
프로필과	프로필/NNG+과/JC
사진을	사진/NNG+을/JKO
검은색	검은색/NNG
사각형이나	사각/NNG+형/XSN+이나/JC
리본으로	리본/NNG+으로/JKB
바꾸고	바꾸/VV+고/EC
있다고	있/VX+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.60.5.2
트위터에서는 희생자 유해의 송환을 기원하며 ‘그들을 고국으로 돌려보내라’(#BringThemHome)라는 해시태그를 달고 있다.

트위터에서는	트위터/NNP+에서/JKB+는/JX
희생자	희생자/NNG
유해의	유해/NNG+의/JKG
송환을	송환/NNG+을/JKO
기원하며	기원/NNG+하/XSV+며/EC
‘그들을	‘/SS+그/NP+들/XSN+을/JKO
고국으로	고국/NNG+으로/JKB
돌려보내라’(#BringThemHome)라는	돌려보내/VV+라/EF+’/SS+(/SS+#/SW+BringThemHome/SL+)/SS+이/VCP+라는/ETM
해시태그를	해시태그/NNG+를/JKO
달고	달/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.60.6.1
네덜란드는 제정 러시아 이후 약 400년 동안 러시아와 우호관계를 유지해 왔다.

네덜란드는	네덜란드/NNP+는/JX
제정	제정/NNG
러시아	러시아/NNP
이후	이후/NNG
약	약/MMA
400년	400/SN+년/NNB
동안	동안/NNG
러시아와	러시아/NNP+와/JKB
우호관계를	우호/NNG+관계/NNG+를/JKO
유지해	유지/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.60.6.2
네덜란드 해외투자의 16%, 국내투자의 12%가 러시아와 관련돼 경제적 유대관계도 깊다.

네덜란드	네덜란드/NNP
해외투자의	해외/NNG+투자/NNG+의/JKG
16%,	16/SN+%/SW+,/SP
국내투자의	국내/NNG+투자/NNG+의/JKG
12%가	12/SN+%/SW+가/JKS
러시아와	러시아/NNP+와/JKB
관련돼	관련/NNG+되/XSV+어/EC
경제적	경제/NNG+적/XSN
유대관계도	유대/NNG+관계/NNG+도/JX
깊다.	깊/VA+다/EF+./SF


# id : NWRW1800000041.60.6.3
이 때문에 네덜란드는 크림 반도 합병사태 이후 유럽연합(EU)의 러시아 제재 과정에서도 유연한 태도를 유지했다.

이	이/MMD
때문에	때문/NNB+에/JKB
네덜란드는	네덜란드/NNP+는/JX
크림	크림/NNP
반도	반도/NNG
합병사태	합병/NNG+사태/NNG
이후	이후/NNG
유럽연합(EU)의	유럽연합/NNP+(/SS+EU/SL+)/SS+의/JKG
러시아	러시아/NNP
제재	제재/NNG
과정에서도	과정/NNG+에서/JKB+도/JX
유연한	유연하/VA+ㄴ/ETM
태도를	태도/NNG+를/JKO
유지했다.	유지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.60.6.4
그러나 여객기 격추 사건 이후 친러시아 분리주의 반군들이 희생자들의 유류품을 약탈하고 시신을 함부로 다루자 분노하는 네덜란드인들이 많아졌다.

그러나	그러나/MAJ
여객기	여객기/NNG
격추	격추/NNG
사건	사건/NNG
이후	이후/NNG
친러시아	친/XPN+러시아/NNP
분리주의	분리주의/NNG
반군들이	반군/NNG+들/XSN+이/JKS
희생자들의	희생자/NNG+들/XSN+의/JKG
유류품을	유류품/NNG+을/JKO
약탈하고	약탈/NNG+하/XSV+고/EC
시신을	시신/NNG+을/JKO
함부로	함부로/MAG
다루자	다루/VV+자/EC
분노하는	분노/NNG+하/XSV+는/ETM
네덜란드인들이	네덜란드인/NNG+들/XSN+이/JKS
많아졌다.	많아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.60.7.1
또 네덜란드 현지 언론들은 MH17을 격추시킨 데 사용된 부크 미사일의 생산에 네덜란드 자위다스 경제구역에 본사를 둔 기업이 참여했다고 보도했다.

또	또/MAG
네덜란드	네덜란드/NNP
현지	현지/NNG
언론들은	언론/NNG+들/XSN+은/JX
MH17을	MH/SL+17/SN+을/JKO
격추시킨	격추/NNG+시키/XSV+ㄴ/ETM
데	데/NNB
사용된	사용/NNG+되/XSV+ㄴ/ETM
부크	부크/NNG
미사일의	미사일/NNG+의/JKG
생산에	생산/NNG+에/JKB
자위다스	자위다스/NNP
경제구역에	경제/NNG+구역/NNG+에/JKB
본사를	본사/NNG+를/JKO
둔	두/VV+ㄴ/ETM
기업이	기업/NNG+이/JKS
참여했다고	참여/NNG+하/XSV+았/EP+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.60.7.2
이 기업은 러시아 국영 방산기업인 로스텍이 지분 100%를 가진 계열사로 알려졌다.

이	이/MMD
기업은	기업/NNG+은/JX
러시아	러시아/NNP
국영	국영/NNG
방산기업인	방산/NNG+기업/NNG+이/VCP+ㄴ/ETM
로스텍이	로스텍/NNP+이/JKS
지분	지분/NNG
100%를	100/SN+%/SW+를/JKO
가진	가지/VV+ㄴ/ETM
계열사로	계열사/NNG+로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.60.7.3
네덜란드 자위다스 지역은 입주 기업들에 상당한 세금 혜택을 주고 있기 때문에 “네덜란드의 세금 혜택을 받아 만든 미사일이 네덜란드 국민을 죽이는 데 사용됐다”는 말이 흘러나왔다.

네덜란드	네덜란드/NNP
자위다스	자위다스/NNP
지역은	지역/NNG+은/JX
입주	입주/NNG
기업들에	기업/NNG+들/XSN+에/JKB
상당한	상당/NNG+하/XSA+ㄴ/ETM
세금	세금/NNG
