# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.155
metadata : {}


# id : NWRW1800000030.155.1.1
파워블로거도 세금 매긴다

파워블로거도	파워/NNG+블로거/NNG+도/JX
세금	세금/NNG
매긴다	매기/VV+ㄴ다/EF


# id : NWRW1800000030.155.2.1
•상업용 카페 홈페이지에 사업용계좌번호 표시의무화

•상업용	•/SW+상업/NNG+용/XSN
카페	카페/NNG
홈페이지에	홈페이지/NNG+에/JKB
사업용계좌번호	사업/NNG+용/XSN+계좌/NNG+번호/NNG
표시의무화	표시/NNG+의무/NNG+화/XSN


# id : NWRW1800000030.155.3.1
인터넷 포털업체 네이버에서 요리·살림 블로거(개인 홈페이지 운영자)로 유명한 현모(47·아이디 '베비로즈')씨는 작년 9월부터 36만원짜리 살균세척기 공동구매에 나섰다.

인터넷	인터넷/NNG
포털업체	포털/NNG+업체/NNG
네이버에서	네이버/NNP+에서/JKB
요리·살림	요리/NNG+·/SP+살림/NNG
블로거(개인	블로거/NNG+(/SS+개인/NNG
홈페이지	홈페이지/NNG
운영자)로	운영자/NNG+)/SS+로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
현모(47·아이디	현/NNP+모/NP+(/SS+47/SN+·/SP+아이디/NNG
'베비로즈')씨는	'/SS+베비로즈/NNP+'/SS+)/SS+씨/NNB+는/JX
작년	작년/NNG
9월부터	9/SN+월/NNB+부터/JX
36만원짜리	36/SN+만/NR+원/NNB+짜리/XSN
살균세척기	살균/NNG+세척기/NNG
공동구매에	공동/NNG+구매/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.155.3.2
그런데 지난달 30일 지식경제부 기술표준원 검사에서 이 제품이 기준치 이상의 오존이 검출됐다.

그런데	그런데/MAJ
지난달	지난달/NNG
30일	30/SN+일/NNB
지식경제부	지식/NNG+경제부/NNG
기술표준원	기술/NNG+표준원/NNG
검사에서	검사/NNG+에서/JKB
이	이/MMD
