# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.151
metadata : {}


# id : NWRW1800000030.151.1.1
한국이 인신매매국?… 황당한 美 국무부 보고서

한국이	한국/NNP+이/JKS
인신매매국?…	인신매매국/NNG+?/SF+…/SE
황당한	황당하/VA+ㄴ/ETM
美	美/SH
국무부	국무부/NNG
보고서	보고서/NNG


# id : NWRW1800000030.151.2.1
?"외국인 여성 강제 매춘 많고 한국 남성 섹스관광도 문제"수년간 같은 내용 반복… "정확한 근거 부족" 지적도

?"외국인	?/SF+"/SS+외국인/NNG
여성	여성/NNG
강제	강제/NNG
매춘	매춘/NNG
많고	많/VA+고/EC
한국	한국/NNP
남성	남성/NNG
섹스관광도	섹스/NNG+관광/NNG+도/JX
문제"수년간	문제/NNG+"/SS+수년/NNG+간/XSN
같은	같/VA+은/ETM
내용	내용/NNG
반복…	반복/NNG+…/SE
"정확한	"/SS+정확/NNG+하/XSA+ㄴ/ETM
근거	근거/NNG
부족"	부족/NNG+"/SS
지적도	지적/NNG+도/JX


# id : NWRW1800000030.151.3.1
미국 정부는 27일 공개한 '인신매매 실태 보고서(Trafficking in Persons Report 2011)'에서 한국을 '강제 매춘과 강요된 노동을 당하는 남성·여성의 공급국이자 경유국이며 최종 종착국'으로 묘사했다.

미국	미국/NNP
정부는	정부/NNG+는/JX
27일	27/SN+일/NNB
공개한	공개/NNG+하/XSV+ㄴ/ETM
'인신매매	'/SS+인신매매/NNG
실태	실태/NNG
보고서(Trafficking	보고서/NNG+(/SS+Trafficking/SL
in	in/SL
Persons	Persons/SL
Report	Report/SL
2011)'에서	2011/SN+)/SS+'/SS+에서/JKB
한국을	한국/NNP+을/JKO
'강제	'/SS+강제/NNG
매춘과	매춘/NNG+과/JC
강요된	강요/NNG+되/XSV+ㄴ/ETM
노동을	노동/NNG+을/JKO
당하는	당하/VV+는/ETM
남성·여성의	남성/NNG+·/SP+여성/NNG+의/JKG
공급국이자	공급국/NNG+이/VCP+자/EC
경유국이며	경유국/NNG+이/VCP+며/EC
최종	최종/NNG
종착국'으로	종착국/NNG+'/SS+으로/JKB
묘사했다.	묘사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.151.4.1
그러나 몇년 전부터 지적해온 사항을 반복한 것이 대부분이고, 통계나 실태 등 보고서에서 제시한 근거가 부족하다는 지적도 나오고 있다.

그러나	그러나/MAJ
몇년	몇/NR+년/NNB
전부터	전/NNG+부터/JX
지적해온	지적/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
사항을	사항/NNG+을/JKO
반복한	반복/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
대부분이고,	대/XPN+부분/NNG+이/VCP+고/EC+,/SP
통계나	통계/NNG+나/JC
실태	실태/NNG
등	등/NNB
보고서에서	보고서/NNG+에서/JKB
제시한	제시/NNG+하/XSV+ㄴ/ETM
근거가	근거/NNG+가/JKS
부족하다는	부족/NNG+하/XSA+다는/ETM
지적도	지적/NNG+도/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.151.4.2
'강제 매춘과 강요된 노동을 당하는 남성·여성의 공급국이자 경유국이며 최종 종착국'이라는 표현도 수년째 반복된 것이다.

'강제	'/SS+강제/NNG
매춘과	매춘/NNG+과/JC
강요된	강요/NNG+되/XSV+ㄴ/ETM
노동을	노동/NNG+을/JKO
당하는	당하/VV+는/ETM
남성·여성의	남성/NNG+·/SP+여성/NNG+의/JKG
공급국이자	공급국/NNG+이/VCP+자/EC
경유국이며	경유국/NNG+이/VCP+며/EC
최종	최종/NNG
종착국'이라는	종착국/NNG+'/SS+이/VCP+라는/ETM
표현도	표현/NNG+도/JX
수년째	수년/NNG+째/XSN
반복된	반복/NNG+되/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.151.4.3
이 보고서는 "조직적으로 허위 결혼을 통해 들어오는 성매매 여성 숫자가 늘고 있다"며 일본을 한국(1등급)보다 인신매매가 더 심한 2등급으로 분류하기도 했다.

이	이/MMD
보고서는	보고서/NNG+는/JX
"조직적으로	"/SS+조직/NNG+적/XSN+으로/JKB
허위	허위/NNG
결혼을	결혼/NNG+을/JKO
통해	통하/VV+아/EC
들어오는	들어오/VV+는/ETM
성매매	성매매/NNG
여성	여성/NNG
숫자가	숫자/NNG+가/JKS
늘고	늘/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
일본을	일본/NNP+을/JKO
한국(1등급)보다	한국/NNP+(/SS+1/SN+등급/NNG+)/SS+보다/JKB
인신매매가	인신매매/NNG+가/JKS
더	더/MAG
심한	심하/VA+ㄴ/ETM
2등급으로	2/SN+등급/NNG+으로/JKB
분류하기도	분류/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.151.5.1
미 국무부는 2001년부터 매년 세계 각국 정부, 대사관, 민간 비영리 단체, 국제기구가 제공한 자료와 방문 조사 등을 토대로 각국을 양호한 순서대로 1등급, 2등급, 2등급 요주의, 3등급으로 평가해 발표하고 있다.

미	미/NNP
국무부는	국무부/NNG+는/JX
2001년부터	2001/SN+년/NNB+부터/JX
매년	매년/MAG
세계	세계/NNG
각국	각국/NNG
정부,	정부/NNG+,/SP
대사관,	대사관/NNG+,/SP
민간	민간/NNG
비영리	비/XPN+영리/NNG
단체,	단체/NNG+,/SP
국제기구가	국제기구/NNG+가/JKS
제공한	제공/NNG+하/XSV+ㄴ/ETM
자료와	자료/NNG+와/JC
방문	방문/NNG
조사	조사/NNG
등을	등/NNB+을/JKO
토대로	토대/NNG+로/JKB
각국을	각국/NNG+을/JKO
양호한	양호/NNG+하/XSA+ㄴ/ETM
순서대로	순서/NNG+대로/JX
1등급,	1/SN+등급/NNG+,/SP
2등급,	2/SN+등급/NNG+,/SP
2등급	2/SN+등급/NNG
요주의,	요주의/NNG+,/SP
3등급으로	3/SN+등급/NNG+으로/JKB
평가해	평가/NNG+하/XSV+아/EC
발표하고	발표/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.151.5.2
올해는 조사 대상 184개국 가운데 32개국이 1등급으로 분류됐다.

올해는	올해/NNG+는/JX
조사	조사/NNG
대상	대상/NNG
184개국	184/SN+개국/NNB
가운데	가운데/NNG
32개국이	32/SN+개국/NNB+이/JKS
1등급으로	1/SN+등급/NNG+으로/JKB
분류됐다.	분류/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.151.5.3
한국은 2002년부터 10년째 1등급 국가군(群)에 포함됐다.

한국은	한국/NNP+은/JX
2002년부터	2002/SN+년/NNB+부터/JX
10년째	10/SN+년/NNB+째/XSN
1등급	1/SN+등급/NNG
국가군(群)에	국가군/NNG+(/SS+群/SH+)/SS+에/JKB
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.151.5.4
한국에 성매매나 불법 체류자가 적지 않긴 하지만 인신매매국으로 규정하는 것은 지나치다는 지적이다.

한국에	한국/NNP+에/JKB
성매매나	성매매/NNG+나/JC
불법	불법/NNG
체류자가	체류자/NNG+가/JKS
적지	적/VA+지/EC
않긴	않/VX+기/ETN+ㄴ/JX
하지만	하/VX+지만/EC
인신매매국으로	인신매매국/NNG+으로/JKB
규정하는	규정/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
지나치다는	지나치/VA+다는/ETM
지적이다.	지적/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.151.6.1
◆"브로커 빚에 걸려 강제 매춘"

◆"브로커	◆/SW+"/SS+브로커/NNG
빚에	빚/NNG+에/JKB
걸려	걸리/VV+어/EC
강제	강제/NNG
매춘"	매춘/NNG+"/SS


# id : NWRW1800000030.151.7.1
취업이나 결혼을 위해 한국을 찾은 많은 사람이 실제로는 강제 매춘이나 노동을 강요당한다고 이 보고서는 지적했다.

취업이나	취업/NNG+이나/JC
결혼을	결혼/NNG+을/JKO
위해	위하/VV+아/EC
한국을	한국/NNP+을/JKO
찾은	찾/VV+은/ETM
많은	많/VA+은/ETM
사람이	사람/NNG+이/JKS
실제로는	실제로/MAG+는/JX
강제	강제/NNG
매춘이나	매춘/NNG+이나/JC
노동을	노동/NNG+을/JKO
강요당한다고	강요/NNG+당하/XSV+ㄴ다고/EC
이	이/MMD
보고서는	보고서/NNG+는/JX
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.151.7.2
이들은 주로 러시아, 우즈베키스탄, 카자흐스탄, 모로코, 콜롬비아, 몽골, 중국, 필리핀, 태국, 캄보디아 출신인데 이들의 입국을 주선한 브로커들이 한국의 고용주나 남편에게서 2만달러까지 돈을 받아 외국인 노동자나 신부는 한국 입국과 동시에 빚더미에 앉는다는 것이다.

이들은	이/NP+들/XSN+은/JX
주로	주로/MAG
러시아,	러시아/NNP+,/SP
우즈베키스탄,	우즈베키스탄/NNP+,/SP
카자흐스탄,	카자흐스탄/NNP+,/SP
모로코,	모로코/NNP+,/SP
콜롬비아,	콜롬비아/NNP+,/SP
몽골,	몽골/NNP+,/SP
중국,	중국/NNP+,/SP
필리핀,	필리핀/NNP+,/SP
태국,	태국/NNP+,/SP
캄보디아	캄보디아/NNP
출신인데	출신/NNG+이/VCP+ㄴ데/EC
이들의	이/NP+들/XSN+의/JKG
입국을	입국/NNG+을/JKO
주선한	주선/NNG+하/XSV+ㄴ/ETM
브로커들이	브로커/NNG+들/XSN+이/JKS
한국의	한국/NNP+의/JKG
고용주나	고용주/NNG+나/JC
남편에게서	남편/NNG+에게서/JKB
2만달러까지	2/SN+만/NR+달러/NNB+까지/JX
돈을	돈/NNG+을/JKO
받아	받/VV+아/EC
외국인	외국인/NNG
노동자나	노동자/NNG+나/JC
신부는	신부/NNG+는/JX
한국	한국/NNP
입국과	입국/NNG+과/JKB
동시에	동시/NNG+에/JKB
빚더미에	빚더미/NNG+에/JKB
앉는다는	앉/VV+는다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.151.7.3
보고서는 이 빚을 고리로 성매매 피해 여성들과 노동자들이 속박되고 있다고 분석했다.

보고서는	보고서/NNG+는/JX
이	이/MMD
빚을	빚/NNG+을/JKO
