# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.236
metadata : {}


# id : NWRW1800000026.236.1.1
200억 장학사업에 세금폭탄은 부당;법원 "구원장학재단 기부 뜻 명백… 140억 증여세 부과는 잘못" 판결

200억	200/SN+억/NR
장학사업에	장학/NNG+사업/NNG+에/JKB
세금폭탄은	세금/NNG+폭탄/NNG+은/JX
부당;법원	부당/NNG+;/SP+법원/NNG
"구원장학재단	"/SS+구원장학재단/NNP
기부	기부/NNG
뜻	뜻/NNG
명백…	명백/XR+…/SE
140억	140/SN+억/NR
증여세	증여세/NNG
부과는	부과/NNG+는/JX
잘못"	잘못/NNG+"/SS
판결	판결/NNG


# id : NWRW1800000026.236.2.1
우리 기부문화가 영원히 훼손될까 걱정했는데….

우리	우리/NP
기부문화가	기부/NNG+문화/NNG+가/JKS
영원히	영원히/MAG
훼손될까	훼손/NNG+되/XSV+ㄹ까/EF
걱정했는데….	걱정/NNG+하/XSV+았/EP+는데/EC+…/SE+./SF


# id : NWRW1800000026.236.2.2
법원 판결을 듣고 '결국 세상이 알아주는구나' 안도했지요.

법원	법원/NNG
판결을	판결/NNG+을/JKO
듣고	듣/VV+고/EC
'결국	'/SS+결국/MAG
세상이	세상/NNG+이/JKS
알아주는구나'	알아주/VV+는구나/EF+'/SS
안도했지요.	안도/NNG+하/XSV+았/EP+지요/EF+./SF


# id : NWRW1800000026.236.3.1
15일 경기 수원시 권선동의 구원장학재단에서 만난 이사장 황필상(63)씨는 굵은 주름이 잡힌 이마를 쓸며 말했다.

15일	15/SN+일/NNB
경기	경기/NNP
수원시	수원시/NNP
권선동의	권선동/NNP+의/JKG
구원장학재단에서	구원장학재단/NNP+에서/JKB
만난	만나/VV+ㄴ/ETM
이사장	이사장/NNG
황필상(63)씨는	황필상/NNP+(/SS+63/SN+)/SS+씨/NNB+는/JX
굵은	굵/VA+은/ETM
주름이	주름/NNG+이/JKS
잡힌	잡히/VV+ㄴ/ETM
이마를	이마/NNG+를/JKO
쓸며	쓸/VV+며/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.236.3.2
수원지법 행정3부(부장 이준상)는 이날 '구원장학재단에 증여세 140억여원을 부과한 수원세무서 처분은 부당하다'며, 재단측이 작년말 수원세무서장을 상대로 제기한 '증여세 부과처분 취소소송'에 대해 원고 승소 판결했다.

수원지법	수원지법/NNP
행정3부(부장	행정/NNG+3/SN+부/NNG+(/SS+부장/NNG
이준상)는	이준상/NNP+)/SS+는/JX
이날	이날/NNG
'구원장학재단에	'/SS+구원장학재단/NNP+에/JKB
증여세	증여세/NNG
140억여원을	140/SN+억/NR+여/XSN+원/NNB+을/JKO
부과한	부과/NNG+하/XSV+ㄴ/ETM
수원세무서	수원세무서/NNP
처분은	처분/NNG+은/JX
부당하다'며,	부당/NNG+하/XSA+다/EF+'/SS+며/EC+,/SP
재단측이	재단/NNG+측/NNB+이/JKS
작년말	작년/NNG+말/NNB
수원세무서장을	수원/NNP+세무서장/NNG+을/JKO
상대로	상대/NNG+로/JKB
제기한	제기/NNG+하/XSV+ㄴ/ETM
'증여세	'/SS+증여세/NNG
부과처분	부과/NNG+처분/NNG
취소소송'에	취소/NNG+소송/NNG+'/SS+에/JKB
대해	대하/VV+아/EC
원고	원고/NNG
승소	승소/NNG
판결했다.	판결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.236.4.1
㈜수원교차로를 창업해 큰 재산을 모은 황씨는 지난 2002년 기부를 결심했다.

㈜수원교차로를	㈜수원교차로/NNP+를/JKO
창업해	창업/NNG+하/XSV+아/EC
큰	크/VA+ㄴ/ETM
재산을	재산/NNG+을/JKO
모은	모으/VV+ㄴ/ETM
황씨는	황/NNP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
2002년	2002/SN+년/NNB
기부를	기부/NNG+를/JKO
결심했다.	결심/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.236.4.2
"다 쓰지도 못할 돈을 갖고 있으니 세상에 미안했어요.

"다	"/SS+다/MAG
쓰지도	쓰/VV+지/EC+도/JX
못할	못하/VX+ㄹ/ETM
돈을	돈/NNG+을/JKO
갖고	갖/VV+고/EC
있으니	있/VX+으니/EC
세상에	세상/NNG+에/JKB
미안했어요.	미안/NNG+하/XSA+았/EP+어요/EF+./SF


# id : NWRW1800000026.236.4.3
제가 빈민촌 출신으로 어렵게 공부를 했기 때문에 가난한 학생을 돕고 싶었죠."

제가	제/NP+가/JKS
빈민촌	빈민촌/NNG
출신으로	출신/NNG+으로/JKB
어렵게	어렵/VA+게/EC
공부를	공부/NNG+를/JKO
했기	하/VV+았/EP+기/ETN
때문에	때문/NNB+에/JKB
가난한	가난/NNG+하/XSA+ㄴ/ETM
학생을	학생/NNG+을/JKO
돕고	돕/VV+고/EC
싶었죠."	싶/VX+었/EP+죠/EF+./SF+"/SS


# id : NWRW1800000026.236.5.1
두 딸에게 "돈 대신 아버지의 삶 자체를 물려주겠다"고 말해 동의를 구하고, 모교인 아주대에 회사 주식 90%와 현금을 합해 약 210억원을 기부했다.

두	두/MMN
딸에게	딸/NNG+에게/JKB
"돈	"/SS+돈/NNG
대신	대신/NNG
아버지의	아버지/NNG+의/JKG
삶	삶/NNG
자체를	자체/NNG+를/JKO
물려주겠다"고	물려주/VV+겠/EP+다/EF+"/SS+고/JKQ
말해	말/NNG+하/XSV+아/EC
동의를	동의/NNG+를/JKO
구하고,	구하/VV+고/EC+,/SP
모교인	모교/NNG+이/VCP+ㄴ/ETM
아주대에	아주대/NNP+에/JKB
회사	회사/NNG
