# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.57
metadata : {}


# id : NWRW1800000029.57.1.1
아이스크림­과자값, 작년 6월수준 동결

아이스크림­과자값,	아이스크림/NNG+­/SO+과자/NNG+값/NNG+,/SP
작년	작년/NNG
6월수준	6/SN+월/NNB+수준/NNG
동결	동결/NNG


# id : NWRW1800000029.57.2.1
식품업계가 과자, 빙과, 라면, 아이스크림 등 4개 품목의 권장소비자가격을 지난해 6월 수준으로 동결하고 있다.

식품업계가	식품업/NNG+계/XSN+가/JKS
과자,	과자/NNG+,/SP
빙과,	빙과/NNG+,/SP
라면,	라면/NNG+,/SP
아이스크림	아이스크림/NNG
등	등/NNB
4개	4/SN+개/NNB
품목의	품목/NNG+의/JKG
권장소비자가격을	권장/NNG+소비자/NNG+가격/NNG+을/JKO
지난해	지난해/NNG
6월	6/SN+월/NNB
수준으로	수준/NNG+으로/JKB
동결하고	동결/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.57.2.2
지식경제부가 지난달 식품업계 대표들에게 “정부의 물가안정 노력을 감안해 작년 6월 수준으로 권장소비자가격을 정해 달라”고 요청한 데 따른 것이다.

지식경제부가	지식/NNG+경제부/NNG+가/JKS
지난달	지난달/NNG
식품업계	식품업/NNG+계/XSN
대표들에게	대표/NNG+들/XSN+에게/JKB
“정부의	“/SS+정부/NNG+의/JKG
물가안정	물가/NNG+안정/NNG
노력을	노력/NNG+을/JKO
감안해	감안/NNG+하/XSV+아/EC
작년	작년/NNG
6월	6/SN+월/NNB
수준으로	수준/NNG+으로/JKB
권장소비자가격을	권장/NNG+소비자/NNG+가격/NNG+을/JKO
정해	정하/VV+아/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
요청한	요청/NNG+하/XSV+ㄴ/ETM
데	데/NNB
따른	따르/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.57.3.1
롯데제과와 오리온은 주요 제품의 가격을 지난해 6월 수준으로 표기하기로 결정했다고 19일 밝혔다.

롯데제과와	롯데제과/NNP+와/JC
오리온은	오리온/NNP+은/JX
주요	주요/NNG
제품의	제품/NNG+의/JKG
가격을	가격/NNG+을/JKO
지난해	지난해/NNG
6월	6/SN+월/NNB
수준으로	수준/NNG+으로/JKB
표기하기로	표기/NNG+하/XSV+기/ETN+로/JKB
결정했다고	결정/NNG+하/XSV+았/EP+다고/EC
19일	19/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.57.3.2
농심, 빙그레 등 다른 업체들도 아직 결정을 내리지는 못했지만 정부 방침을 따를 것으로 보인다.

농심,	농심/NNP+,/SP
빙그레	빙그레/NNP
등	등/NNB
다른	다른/MMD
업체들도	업체/NNG+들/XSN+도/JX
아직	아직/MAG
결정을	결정/NNG+을/JKO
내리지는	내리/VV+지/EC+는/JX
못했지만	못하/VX+았/EP+지만/EC
정부	정부/NNG
방침을	방침/NNG+을/JKO
따를	따르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.57.4.1
롯데제과는 과자 12종, 빙과·아이스크림 9종의 가격을 지난해 6월 수준에 맞춰 표기하기로 했다.

롯데제과는	롯데제과/NNP+는/JX
과자	과자/NNG
12종,	12/SN+종/NNG+,/SP
빙과·아이스크림	빙과/NNG+·/SP+아이스크림/NNG
9종의	9/SN+종/NNG+의/JKG
가격을	가격/NNG+을/JKO
지난해	지난해/NNG
6월	6/SN+월/NNB
수준에	수준/NNG+에/JKB
맞춰	맞추/VV+어/EC
표기하기로	표기/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.57.4.2
이에 따라 월드콘바닐라는 1500원, 설레임은 1600원, 스크류바 죠스바 수박바는 각각 1000원으로 정했다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
월드콘바닐라는	월드콘바닐라/NNP+는/JX
1500원,	1500/SN+원/NNB+,/SP
설레임은	설레임/NNP+은/JX
1600원,	1600/SN+원/NNB+,/SP
스크류바	스크류바/NNP
죠스바	죠스바/NNP
수박바는	수박바/NNP+는/JX
각각	각각/MAG
1000원으로	1000/SN+원/NNB+으로/JKB
정했다.	정하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.57.4.3
또 과자인 제크(이하 소용량 기준)는 1000원, 썬칩과 오잉, 순수양파는 각각 1200원이다.

또	또/MAG
과자인	과자/NNG+이/VCP+ㄴ/ETM
제크(이하	제크/NNP+(/SS+이하/NNG
소용량	소/XPN+용량/NNG
기준)는	기준/NNG+)/SS+는/JX
1000원,	1000/SN+원/NNB+,/SP
썬칩과	썬칩/NNP+과/JC
오잉,	오잉/NNP+,/SP
순수양파는	순수양파/NNP+는/JX
각각	각각/MAG
1200원이다.	1200/SN+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.57.4.4
롯데제과는 누크바 빙빙바 토네이도 등 빙과 3종은 지난해 6월보다 오히려 100원 내린 900원으로 권장소비자가격을 결정했다.

롯데제과는	롯데제과/NNP+는/JX
누크바	누크바/NNP
빙빙바	빙빙바/NNP
토네이도	토네이도/NNG
등	등/NNB
빙과	빙과/NNG
3종은	3/SN+종/NNG+은/JX
지난해	지난해/NNG
6월보다	6/SN+월/NNB+보다/JKB
오히려	오히려/MAG
100원	100/SN+원/NNB
내린	내리/VV+ㄴ/ETM
900원으로	900/SN+원/NNB+으로/JKB
권장소비자가격을	권장/NNG+소비자/NNG+가격/NNG+을/JKO
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.57.4.5
오리온도 과자 14종과 껌·사탕류 7종의 가격을 지난해 6월 수준으로 정했다.

오리온도	오리온/NNP+도/JX
과자	과자/NNG
14종과	14/SN+종/NNG+과/JC
껌·사탕류	껌/NNG+·/SP+사탕/NNG+류/XSN
7종의	7/SN+종/NNG+의/JKG
가격을	가격/NNG+을/JKO
지난해	지난해/NNG
6월	6/SN+월/NNB
수준으로	수준/NNG+으로/JKB
정했다.	정하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.57.4.6
초코파이(1상자)는 3200원, 고래밥 핫브레이크 웨하스는 각각 700원이다.

초코파이(1상자)는	초코파이/NNP+(/SS+1/SN+상자/NNG+)/SS+는/JX
3200원,	3200/SN+원/NNB+,/SP
고래밥	고래밥/NNP
핫브레이크	핫브레이크/NNP
웨하스는	웨하스/NNP+는/JX
각각	각각/MAG
700원이다.	700/SN+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.57.4.7
이 밖에 오뜨(1상자)는 5000원, 자일리톨껌은 4500원, 아이셔캔디는 500원이다.

이	이/MMD
밖에	밖/NNG+에/JKB
오뜨(1상자)는	오뜨/NNP+(/SS+1/SN+상자/NNG+)/SS+는/JX
5000원,	5000/SN+원/NNB+,/SP
자일리톨껌은	자일리톨껌/NNP+은/JX
4500원,	4500/SN+원/NNB+,/SP
아이셔캔디는	아이셔캔디/NNP+는/JX
500원이다.	500/SN+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.57.5.1
이에 앞서 농심은 과자에 대해 지난해 6월보다 100원 높은 가격으로 표기하겠다고 밝혔지만 최종 결정을 보류하고 재검토에 들어갔다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
농심은	농심/NNP+은/JX
과자에	과자/NNG+에/JKB
대해	대하/VV+아/EC
지난해	지난해/NNG
6월보다	6/SN+월/NNB+보다/JKB
100원	100/SN+원/NNB
높은	높/VA+은/ETM
가격으로	가격/NNG+으로/JKB
표기하겠다고	표기/NNG+하/XSV+겠/EP+다고/EC
밝혔지만	밝히/VV+었/EP+지만/EC
최종	최종/NNG
결정을	결정/NNG+을/JKO
보류하고	보류/NNG+하/XSV+고/EC
재검토에	재/XPN+검토/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.57.5.2
농심 측은 “올해 5월 과자 가격을 올렸는데 지난해 6월 수준으로 표기하려면 다시 가격을 내려야 하는 상황이어서 논의하고 있다”고 말했다.

농심	농심/NNP
측은	측/NNB+은/JX
“올해	“/SS+올해/NNG
5월	5/SN+월/NNB
과자	과자/NNG
가격을	가격/NNG+을/JKO
올렸는데	올리/VV+었/EP+는데/EC
지난해	지난해/NNG
6월	6/SN+월/NNB
수준으로	수준/NNG+으로/JKB
표기하려면	표기/NNG+하/XSV+려면/EC
다시	다시/MAG
내려야	내리/VV+어야/EC
하는	하/VX+는/ETM
상황이어서	상황/NNG+이/VCP+어서/EC
논의하고	논의/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.57.5.3
농심은 신라면(730원)과 안성탕면(650원)은 1일부터 지난해 6월 가격으로 표기하고 있다.

농심은	농심/NNP+은/JX
신라면(730원)과	신라면/NNP+(/SS+730/SN+원/NNB+)/SS+과/JC
안성탕면(650원)은	안성탕면/NNP+(/SS+650/SN+원/NNB+)/SS+은/JX
1일부터	1/SN+일/NNB+부터/JX
지난해	지난해/NNG
6월	6/SN+월/NNB
가격으로	가격/NNG+으로/JKB
표기하고	표기/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.57.5.4
3일부터는 신라면BLACK(블랙)의 권장소비자가격을 1600원에서 1450원으로 내렸다.

3일부터는	3/SN+일/NNB+부터/JX+는/JX
신라면BLACK(블랙)의	신라면BLACK/NNP+(/SS+블랙/NNG+)/SS+의/JKG
권장소비자가격을	권장/NNG+소비자/NNG+가격/NNG+을/JKO
1600원에서	1600/SN+원/NNB+에서/JKB
1450원으로	1450/SN+원/NNB+으로/JKB
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.57.6.1
빙그레 등 다른 업체들도 권장소비자가격에 대해 논의 중이며 정부의 방침을 따를 가능성이 높은 것으로 알려졌다.

빙그레	빙그레/NNP
등	등/NNB
다른	다른/MMD
업체들도	업체/NNG+들/XSN+도/JX
권장소비자가격에	권장/NNG+소비자/NNG+가격/NNG+에/JKB
대해	대하/VV+아/EC
논의	논의/NNG
중이며	중/NNB+이/VCP+며/EC
정부의	정부/NNG+의/JKG
방침을	방침/NNG+을/JKO
따를	따르/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높은	높/VA+은/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


