# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.125
metadata : {}


# id : NWRW1800000029.125.1.1
세계인구 70억시대 성큼… 10억명 굶주림 고통

세계인구	세계/NNG+인구/NNG
70억시대	70/SN+억/NR+시대/NNG
성큼…	성큼/MAG+…/SE
10억명	10/SN+억/NR+명/NNB
굶주림	굶주림/NNG
고통	고통/NNG


# id : NWRW1800000029.125.2.1
내셔널지오그래픽 분석

내셔널지오그래픽	내셔널지오그래픽/NNP
분석	분석/NNG


# id : NWRW1800000029.125.3.1
올해 안으로 지구촌 인구가 70억 명을 돌파할 것으로 전망됐다.

올해	올해/NNG
안으로	안/NNG+으로/JKB
지구촌	지구촌/NNG
인구가	인구/NNG+가/JKS
70억	70/SN+억/NR
명을	명/NNB+을/JKO
돌파할	돌파/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망됐다.	전망/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.125.4.1
미국 ABC방송과 잡지 내셔널지오그래픽은 5일 유엔의 인구통계를 인용해 1초에 5명의 신생아가 태어나는 것을 감안할 때 올해 말쯤 세계 인구가 70억 명을 넘어설 것으로 보인다고 보도했다.

미국	미국/NNP
ABC방송과	ABC방송/NNP+과/JC
잡지	잡지/NNG
내셔널지오그래픽은	내셔널지오그래픽/NNP+은/JX
5일	5/SN+일/NNB
유엔의	유엔/NNP+의/JKG
인구통계를	인구/NNG+통계/NNG+를/JKO
인용해	인용/NNG+하/XSV+아/EC
1초에	1/SN+초/NNB+에/JKB
5명의	5/SN+명/NNB+의/JKG
신생아가	신생아/NNG+가/JKS
태어나는	태어나/VV+는/ETM
것을	것/NNB+을/JKO
감안할	감안/NNG+하/XSV+ㄹ/ETM
때	때/NNG
올해	올해/NNG
말쯤	말/NNB+쯤/XSN
세계	세계/NNG
인구가	인구/NNG+가/JKS
70억	70/SN+억/NR
명을	명/NNB+을/JKO
넘어설	넘어서/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다고	보이/VV+ㄴ다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.125.5.1
지구촌 인구가 10억 명을 돌파한 것은 1800년으로 추정되며 이후 160년이 지난 1960년에 30억 명을 넘었고 60억 명을 돌파한 것은 1999년이다.

지구촌	지구촌/NNG
인구가	인구/NNG+가/JKS
10억	10/SN+억/NR
명을	명/NNB+을/JKO
돌파한	돌파/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
1800년으로	1800/SN+년/NNB+으로/JKB
추정되며	추정/NNG+되/XSV+며/EC
이후	이후/NNG
160년이	160/SN+년/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
1960년에	1960/SN+년/NNB+에/JKB
30억	30/SN+억/NR
넘었고	넘/VV+었/EP+고/EC
60억	60/SN+억/NR
1999년이다.	1999/SN+년/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.125.6.1
현재 세계 여성 가운데 18억 명이 가임 연령층이기 때문에 앞으로 최소 수십 년간은 인구가 계속 늘어날 것으로 보이며 2050년에는 인구가 80억∼105억 명에 이를 것으로 전망된다고 내셔널지오그래픽은 분석했다.

현재	현재/MAG
세계	세계/NNG
여성	여성/NNG
가운데	가운데/NNG
18억	18/SN+억/NR
명이	명/NNB+이/JKS
가임	가임/NNG
연령층이기	연령/NNG+층/XSN+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
앞으로	앞/NNG+으로/JKB
최소	최소/NNG
수십	수십/NR
년간은	년/NNB+간/XSN+은/JX
인구가	인구/NNG+가/JKS
계속	계속/MAG
늘어날	늘어나/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보이며	보이/VV+며/EC
2050년에는	2050/SN+년/NNB+에/JKB+는/JX
80억∼105억	80/SN+억/NR+∼/SO+105/SN+억/NR
명에	명/NNB+에/JKB
이를	이르/VV+ㄹ/ETM
전망된다고	전망/NNG+되/XSV+ㄴ다고/EC
내셔널지오그래픽은	내셔널지오그래픽/NNP+은/JX
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.125.7.1
이 잡지는 “매년 8000만 명의 인구가 늘고 있는 상황에 경각심을 갖지 않을 수 없다”며 “수자원과 농지가 고갈되고 빙산이 녹으면서 어족자원이 사라지는 가운데 지구촌 주민 10억 명가량이 매일 배고픔에 시달리고 있다”고 전했다.

이	이/MMD
잡지는	잡지/NNG+는/JX
“매년	“/SS+매년/MAG
8000만	8000/SN+만/NR
명의	명/NNB+의/JKG
인구가	인구/NNG+가/JKS
늘고	늘/VV+고/EC
있는	있/VX+는/ETM
상황에	상황/NNG+에/JKB
경각심을	경각심/NNG+을/JKO
갖지	갖/VV+지/EC
않을	않/VX+을/ETM
수	수/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
“수자원과	“/SS+수자원/NNG+과/JC
농지가	농지/NNG+가/JKS
고갈되고	고갈/NNG+되/XSV+고/EC
빙산이	빙산/NNG+이/JKS
녹으면서	녹/VV+으면서/EC
어족자원이	어족/NNG+자원/NNG+이/JKS
사라지는	사라지/VV+는/ETM
가운데	가운데/NNG
지구촌	지구촌/NNG
주민	주민/NNG
10억	10/SN+억/NR
명가량이	명/NNB+가량/XSN+이/JKS
매일	매일/MAG
배고픔에	배고픔/NNG+에/JKB
시달리고	시달리/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.125.8.1
그러나 이 잡지는 기하급수적인 인구 증가로 식량 부족과 기아, 질병을 초래해 인류가 멸망의 길로 접어들 것이라는 비관론이 현실화되지는 않을 것이라고 지적했다.

그러나	그러나/MAJ
이	이/MMD
잡지는	잡지/NNG+는/JX
기하급수적인	기하급수/NNG+적/XSN+이/VCP+ㄴ/ETM
인구	인구/NNG
증가로	증가/NNG+로/JKB
식량	식량/NNG
