# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.375
metadata : {}


# id : NWRW1800000046.375.1.1
월급은 1월분부터 청구해놓고… "공식출범 아니다"는 특조위

월급은	월급/NNG+은/JX
1월분부터	1/SN+월/NNB+분/XSN+부터/JX
청구해놓고…	청구/NNG+하/XSV+아/EC+놓/VX+고/EC+…/SE
"공식출범	"/SS+공식/NNG+출범/NNG
아니다"는	아니/VCN+다/EF+"/SS+는/ETM
특조위	특조위/NNG


# id : NWRW1800000046.375.2.1
정부 "과거 이런 사례 없어… 1월을 활동 시작으로 봐야"

정부	정부/NNG
"과거	"/SS+과거/NNG
이런	이런/MMD
사례	사례/NNG
없어…	없/VA+어/EF+…/SE
1월을	1/SN+월/NNB+을/JKO
활동	활동/NNG
시작으로	시작/NNG+으로/JKB
봐야"	보/VV+아야/EC+"/SS


# id : NWRW1800000046.375.3.1
세월호 특별조사위원회(이하 특조위)의 과도한 예산 청구가 논란이 되는 가운데, 국회에서는 특조위의 활동 기간을 연장해주기 위한 법안들이 발의되고 있다.

세월호	세월호/NNP
특별조사위원회(이하	특별/NNG+조사/NNG+위원회/NNG+(/SS+이하/NNG
특조위)의	특조위/NNG+)/SS+의/JKG
과도한	과도/NNG+하/XSA+ㄴ/ETM
예산	예산/NNG
청구가	청구/NNG+가/JKS
논란이	논란/NNG+이/JKC
되는	되/VV+는/ETM
가운데,	가운데/NNG+,/SP
국회에서는	국회/NNG+에서/JKB+는/JX
특조위의	특조위/NNG+의/JKG
활동	활동/NNG
기간을	기간/NNG+을/JKO
연장해주기	연장/NNG+하/XSV+아/EC+주/VX+기/ETN
위한	위하/VV+ㄴ/ETM
법안들이	법안/NNG+들/XSN+이/JKS
발의되고	발의/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.375.4.1
특조위의 설립 근거인 '세월호 진상규명 특별법'에는 위원회 활동 기간을 1년으로 정하고, 6개월 이내에서 한 차례 연장할 수 있도록 해 총 1년6개월을 최대 활동 기한으로 정했다.

특조위의	특조위/NNG+의/JKG
설립	설립/NNG
근거인	근거/NNG+이/VCP+ㄴ/ETM
'세월호	'/SS+세월호/NNP
진상규명	진상/NNG+규명/NNG
특별법'에는	특별법/NNG+'/SS+에/JKB+는/JX
위원회	위원회/NNG
활동	활동/NNG
기간을	기간/NNG+을/JKO
1년으로	1/SN+년/NNB+으로/JKB
정하고,	정하/VV+고/EC+,/SP
6개월	6/SN+개월/NNB
이내에서	이내/NNG+에서/JKB
한	한/MMN
차례	차례/NNG
연장할	연장/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
해	하/VX+아/EC
총	총/MMA
1년6개월을	1/SN+년/NNB+6/SN+개월/NNB+을/JKO
최대	최대/NNG
기한으로	기한/NNG+으로/JKB
정했다.	정하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.375.4.2
또 활동 기간과 연동되는 위원 임기를 올해 1월 1일부터라고 규정하고 있다.

또	또/MAG
활동	활동/NNG
기간과	기간/NNG+과/JKB
연동되는	연동/NNG+되/XSV+는/ETM
위원	위원/NNG
임기를	임기/NNG+를/JKO
올해	올해/NNG
1월	1/SN+월/NNB
1일부터라고	1/SN+일/NNB+부터/JX+이/VCP+라고/EC
규정하고	규정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.375.4.3
보고서 작성 기간(3개월)은 1년 6개월에 더해 추가로 주어진다.

보고서	보고서/NNG
작성	작성/NNG
기간(3개월)은	기간/NNG+(/SS+3/SN+개월/NNB+)/SS+은/JX
1년	1/SN+년/NNB
6개월에	6/SN+개월/NNB+에/JKB
더해	더/MAG+하/XSV+아/EC
추가로	추가/NNG+로/JKB
주어진다.	주어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.375.5.1
이에 근거해 정부는 특조위 활동 기간이 올 1월1일부터 시작해 내년 6월 말에 종료된다고 해석해 왔다.

이에	이/NP+에/JKB
근거해	근거/NNG+하/XSV+아/EC
정부는	정부/NNG+는/JX
특조위	특조위/NNG
활동	활동/NNG
기간이	기간/NNG+이/JKS
올	올/NNG
1월1일부터	1/SN+월/NNB+1/SN+일/NNB+부터/JX
시작해	시작/NNG+하/XSV+아/EC
내년	내년/NNG
6월	6/SN+월/NNB
말에	말/NNB+에/JKB
종료된다고	종료/NNG+되/XSV+ㄴ다고/EC
해석해	해석/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.375.5.2
특조위도 이번에 예산을 청구하면서 상임위원 월급과 비상임위원 안건 검토 비용 등을 올 1월분부터 청구했다.

특조위도	특조위/NNG+도/JX
이번에	이번/NNG+에/JKB
예산을	예산/NNG+을/JKO
청구하면서	청구/NNG+하/XSV+면서/EC
상임위원	상임/NNG+위원/NNG
월급과	월급/NNG+과/JC
비상임위원	비/XPN+상임/NNG+위원/NNG
안건	안건/NNG
검토	검토/NNG
비용	비용/NNG
등을	등/NNB+을/JKO
올	올/NNG
1월분부터	1/SN+월/NNB+분/XSN+부터/JX
청구했다.	청구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.375.5.3
특조위원들이 작년 말 설립 준비 단계부터 실질적으로 활동해 왔기 때문이다.

특조위원들이	특조위원/NNG+들/XSN+이/JKS
작년	작년/NNG
말	말/NNB
설립	설립/NNG
준비	준비/NNG
단계부터	단계/NNG+부터/JX
실질적으로	실질/NNG+적/XSN+으로/JKB
활동해	활동/NNG+하/XSV+아/EC
왔기	오/VX+았/EP+기/ETN
