# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.298
metadata : {}


# id : NWRW1800000026.298.1.1
SK, 작년보다 1000명 더 뽑는다;올 2600명 채용… 협력업체에 7일內 현금 결제도

SK,	SK/SL+,/SP
작년보다	작년/NNG+보다/JKB
1000명	1000/SN+명/NNB
더	더/MAG
뽑는다;올	뽑/VV+는다/EF+;/SW+올/NNG
2600명	2600/SN+명/NNB
채용…	채용/NNG+…/SE
협력업체에	협력/NNG+업체/NNG+에/JKB
7일內	7/SN+일/NNB+內/SH
현금	현금/NNG
결제도	결제/NNG+도/JX


# id : NWRW1800000026.298.2.1
SK그룹은 올 하반기 신입·경력사원을 당초 계획보다 600명 더 뽑고, 전 계열사가 협력업체에 대한 현금 결제를 7일 이내에 하기로 했다.

SK그룹은	SK그룹/NNP+은/JX
올	올/NNG
하반기	하반기/NNG
신입·경력사원을	신입/NNG+·/SP+경력/NNG+사원/NNG+을/JKO
당초	당초/NNG
계획보다	계획/NNG+보다/JKB
600명	600/SN+명/NNB
더	더/MAG
뽑고,	뽑/VV+고/EC+,/SP
전	전/MMN
계열사가	계열사/NNG+가/JKS
협력업체에	협력/NNG+업체/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
현금	현금/NNG
결제를	결제/NNG+를/JKO
7일	7/SN+일/NNB
이내에	이내/NNG+에/JKB
하기로	하/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.298.3.1
SK그룹은 이런 내용을 담은 '상생(相生)·일자리 창출 종합대책'을 2일 발표했다.

SK그룹은	SK그룹/NNP+은/JX
이런	이런/MMD
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
'상생(相生)·일자리	'/SS+상생/NNG+(/SS+相生/SH+)/SS+·/SP+일자리/NNG
창출	창출/NNG
종합대책'을	종합/NNG+대책/NNG+'/SS+을/JKO
2일	2/SN+일/NNB
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.298.3.2
이 대책에 따르면 SK는 올 하반기 신입사원 700명과 경력사원 800명을 뽑기로 했다.

이	이/MMD
대책에	대책/NNG+에/JKB
따르면	따르/VV+면/EC
SK는	SK/SL+는/JX
올	올/NNG
하반기	하반기/NNG
신입사원	신입/NNG+사원/NNG
700명과	700/SN+명/NNB+과/JC
경력사원	경력/NNG+사원/NNG
800명을	800/SN+명/NNB+을/JKO
뽑기로	뽑/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.298.3.3
올 상반기 채용인원(1100명)까지 합치면 올해 전체로는 2600명을 뽑는다.

올	올/NNG
상반기	상반기/NNG
채용인원(1100명)까지	채용/NNG+인원/NNG+(/SS+1100/SN+명/NNB+)/SS+까지/JX
합치면	합치/VV+면/EC
올해	올해/NNG
전체로는	전체/NNG+로/JKB+는/JX
2600명을	2600/SN+명/NNB+을/JKO
뽑는다.	뽑/VV+는다/EF+./SF


# id : NWRW1800000026.298.3.4
이는 연초 계획(2000명)보다 30% 많고, 지난해 채용자(1600명)보다는 62.5% 늘어난 것이다.

이는	이/NP+는/JX
연초	연초/NNG
계획(2000명)보다	계획/NNG+(/SS+2000/SN+명/NNB+)/SS+보다/JKB
30%	30/SN+%/SW
많고,	많/VA+고/EC+,/SP
지난해	지난해/NNG
채용자(1600명)보다는	채용자/NNG+(/SS+1600/SN+명/NNB+)/SS+보다/JKB+는/JX
62.5%	62/SN+./SP+5/SN+%/SW
늘어난	늘어나/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.298.4.1
SK는 또 직접 채용과 별도로 사회적 기업 육성 사업을 통해 현재 6000여개까지 만든 사회적 일자리를 2012년까지 1만여개로 늘릴 계획이다.

SK는	SK/SL+는/JX
또	또/MAG
직접	직접/MAG
채용과	채용/NNG+과/JKB
별도로	별도/NNG+로/JKB
사회적	사회/NNG+적/XSN
기업	기업/NNG
육성	육성/NNG
사업을	사업/NNG+을/JKO
통해	통하/VV+아/EC
현재	현재/MAG
6000여개까지	6000/SN+여/XSN+개/NNB+까지/JX
만든	만들/VV+ㄴ/ETM
일자리를	일자리/NNG+를/JKO
2012년까지	2012/SN+년/NNB+까지/JX
1만여개로	1/SN+만/NR+여/XSN+개/NNB+로/JKB
늘릴	늘리/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.298.4.2
이를 위해 지난해 출연한 500억원의 기금으로 사회적 기업을 28개까지 설립하고, 그 기업들이 취약계층의 사람들을 채용하기로 했다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
지난해	지난해/NNG
출연한	출연/NNG+하/XSV+ㄴ/ETM
500억원의	500/SN+억/NR+원/NNB+의/JKG
기금으로	기금/NNG+으로/JKB
사회적	사회/NNG+적/XSN
기업을	기업/NNG+을/JKO
28개까지	28/SN+개/NNB+까지/JX
설립하고,	설립/NNG+하/XSV+고/EC+,/SP
그	그/MMD
기업들이	기업/NNG+들/XSN+이/JKS
취약계층의	취약/NNG+계층/NNG+의/JKG
사람들을	사람/NNG+들/XSN+을/JKO
채용하기로	채용/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.298.5.1
이와 함께 500억원의 예산을 들여 '오픈 이노베이션 센터'를 운영해 중소기업의 사업·기술 상용화와 1인 창조기업의 창업을 지원하고 공동 사업을 진행할 계획이다.

이와	이/NP+와/JKB
함께	함께/MAG
500억원의	500/SN+억/NR+원/NNB+의/JKG
예산을	예산/NNG+을/JKO
들여	들이/VV+어/EC
'오픈	'/SS+오픈/NNG
이노베이션	이노베이션/NNG
센터'를	센터/NNG+'/SS+를/JKO
운영해	운영/NNG+하/XSV+아/EC
중소기업의	중소기업/NNG+의/JKG
사업·기술	사업/NNG+·/SP+기술/NNG
상용화와	상용/NNG+화/XSN+와/JC
1인	1/SN+인/NNG
창조기업의	창조/NNG+기업/NNG+의/JKG
창업을	창업/NNG+을/JKO
지원하고	지원/NNG+하/XSV+고/EC
공동	공동/NNG
사업을	사업/NNG+을/JKO
진행할	진행/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.298.5.2
또 지금까지는 일부 계열사가 협력업체에 현금성 결제(현금 또는 카드 결제)를 해주는 기간이 15일까지 걸린 경우도 있었으나, 앞으로는 전 계열사가 7일 이내에 결제하기로 했다.

또	또/MAG
지금까지는	지금/NNG+까지/JX+는/JX
일부	일부/NNG
계열사가	계열사/NNG+가/JKS
협력업체에	협력/NNG+업체/NNG+에/JKB
현금성	현금/NNG+성/XSN
결제(현금	결제/NNG+(/SS+현금/NNG
또는	또는/MAG
카드	카드/NNG
결제)를	결제/NNG+)/SS+를/JKO
해주는	하/VV+아/EC+주/VX+는/ETM
기간이	기간/NNG+이/JKS
15일까지	15/SN+일/NNB+까지/JX
걸린	걸리/VV+ㄴ/ETM
경우도	경우/NNG+도/JX
있었으나,	있/VV+었/EP+으나/EC+,/SP
앞으로는	앞/NNG+으로/JKB+는/JX
전	전/MMN
7일	7/SN+일/NNB
이내에	이내/NNG+에/JKB
결제하기로	결제/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.298.6.1
최태원 회장과 계열사 CEO들은 이날 내놓은 '상생·일자리 대책'이 제대로 실행되는지 확인하기 위해 이달부터 현장을 방문·점검키로 했다.

최태원	최태원/NNP
회장과	회장/NNG+과/JC
계열사	계열사/NNG
CEO들은	CEO/SL+들/XSN+은/JX
이날	이날/NNG
내놓은	내놓/VV+은/ETM
'상생·일자리	'/SS+상생/NNG+·/SP+일자리/NNG
대책'이	대책/NNG+'/SS+이/JKS
제대로	제대로/MAG
실행되는지	실행/NNG+되/XSV+는지/EC
확인하기	확인/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
이달부터	이달/NNG+부터/JX
현장을	현장/NNG+을/JKO
방문·점검키로	방문/NNG+·/SP+점검/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.298.6.2
최 회장은 최근 계열사 CEO 회의에서 "물고기 잡는 법을 알려줘 중소기업과 서민이 자체 경쟁력을 가질 수 있도록 지원하는 것이 대기업의 역할이자 선순환의 출발점"이라고 말했다.

최	최/NNP
회장은	회장/NNG+은/JX
최근	최근/MAG
계열사	계열사/NNG
CEO	CEO/SL
회의에서	회의/NNG+에서/JKB
"물고기	"/SS+물고기/NNG
잡는	잡/VV+는/ETM
법을	법/NNB+을/JKO
알려줘	알리/VV+어/EC+주/VX+어/EC
중소기업과	중소기업/NNG+과/JC
서민이	서민/NNG+이/JKS
자체	자체/NNG
경쟁력을	경쟁력/NNG+을/JKO
가질	가지/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
지원하는	지원/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
대기업의	대/XPN+기업/NNG+의/JKG
역할이자	역할/NNG+이/VCP+자/EC
선순환의	선순환/NNG+의/JKG
출발점"이라고	출발점/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


