# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.76
metadata : {}


# id : NWRW1800000046.76.1.1
라면·여행·독서… 소설가의 삶을 말하다

라면·여행·독서…	라면/NNG+·/SP+여행/NNG+·/SP+독서/NNG+…/SE
소설가의	소설가/NNG+의/JKG
삶을	삶/NNG+을/JKO
말하다	말/NNG+하/XSV+다/EF


# id : NWRW1800000046.76.2.1
김훈·배수아·김탁환 산문집

김훈·배수아·김탁환	김훈/NNP+·/SP+배수아/NNP+·/SP+김탁환/NNP
산문집	산문집/NNG


# id : NWRW1800000046.76.3.1
소설가 세 명이 각자의 개성을 보여주는 산문집을 나란히 냈다.

소설가	소설가/NNG
세	세/MMN
명이	명/NNB+이/JKS
각자의	각자/NNG+의/JKG
개성을	개성/NNG+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
산문집을	산문집/NNG+을/JKO
나란히	나란히/MAG
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.76.3.2
김훈의 '라면을 끓이며'(문학동네), 배수아의 '처음 보는 유목민 여인'(난다), 김탁환의 '아비 그리울 때 보라'(난다)가 나왔다.

김훈의	김훈/NNP+의/JKG
'라면을	'/SS+라면/NNG+을/JKO
끓이며'(문학동네),	끓이/VV+며/EC+'/SS+(/SS+문학동네/NNP+)/SS+,/SP
배수아의	배수아/NNP+의/JKG
'처음	'/SS+처음/NNG
보는	보/VV+는/ETM
유목민	유목민/NNG
여인'(난다),	여인/NNG+'/SS+(/SS+난다/NNP+)/SS+,/SP
김탁환의	김탁환/NNP+의/JKG
'아비	'/SS+아비/NNG
그리울	그립/VA+ㄹ/ETM
때	때/NNG
보라'(난다)가	보/VV+라/EF+'/SS+(/SS+난다/NNP+)/SS+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.76.3.3
김훈은 일상, 배수아는 여행, 김탁환은 독서를 각각 주제로 삼았다.

김훈은	김훈/NNP+은/JX
일상,	일상/NNG+,/SP
배수아는	배수아/NNP+는/JX
여행,	여행/NNG+,/SP
김탁환은	김탁환/NNP+은/JX
독서를	독서/NNG+를/JKO
각각	각각/MAG
주제로	주제/NNG+로/JKB
삼았다.	삼/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.76.4.1
김훈의 산문집은 200자 원고지 400장 분량의 신작 산문을 비롯해 절판된 기존 산문집에서 고른 에세이들로 구성됐다.

김훈의	김훈/NNP+의/JKG
산문집은	산문집/NNG+은/JX
200자	200/SN+자/NNG
