# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.232
metadata : {}


# id : NWRW1800000048.232.1.1
인천 중등교원 명퇴 여전히 ‘바늘구멍’

인천	인천/NNP
중등교원	중등/NNG+교원/NNG
명퇴	명퇴/NNG
여전히	여전히/MAG
‘바늘구멍’	‘/SS+바늘구멍/NNG+’/SS


# id : NWRW1800000048.232.2.1
근속연수 긴 초등교원에 밀려

근속연수	근속/NNG+연수/NNG
긴	길/VA+ㄴ/ETM
초등교원에	초등/NNG+교원/NNG+에/JKB
밀려	밀리/VV+어/EF


# id : NWRW1800000048.232.3.1
인천시교육청이 올해 지방채까지 발행해 교원들의 명예퇴직 예산을 크게 늘렸지만 중등교사들의 명퇴는 여전히 바늘구멍일 것으로 보인다.

인천시교육청이	인천시교육청/NNP+이/JKS
올해	올해/NNG
지방채까지	지방채/NNG+까지/JX
발행해	발행/NNG+하/XSV+아/EC
교원들의	교원/NNG+들/XSN+의/JKG
명예퇴직	명예퇴직/NNG
예산을	예산/NNG+을/JKO
크게	크/VA+게/EC
늘렸지만	늘리/VV+었/EP+지만/EC
중등교사들의	중등/NNG+교사/NNG+들/XSN+의/JKG
명퇴는	명퇴/NNG+는/JX
여전히	여전히/MAG
바늘구멍일	바늘구멍/NNG+이/VCP+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.232.3.2
서울이나 경기도와 달리 올해도 초등과 통합해 근속연수만으로 대상자를 선정하기로 했기 때문이다.

서울이나	서울/NNP+이나/JC
경기도와	경기도/NNP+와/JKB
달리	달리/MAG
올해도	올해/NNG+도/JX
초등과	초등/NNG+과/JKB
통합해	통합/NNG+하/XSV+아/EC
근속연수만으로	근속/NNG+연수/NNG+만/JX+으로/JKB
대상자를	대상자/NNG+를/JKO
선정하기로	선정/NNG+하/XSV+기/ETN+로/JKB
했기	하/VV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.232.4.1
19일 인천시교육청의 말로는, 인천에서 다음달 명퇴하겠다고 신청한 교원은 초등 195명, 중등 287명, 사립 85명 등 567명이다.

19일	19/SN+일/NNB
인천시교육청의	인천시교육청/NNP+의/JKG
말로는,	말/NNG+로/JKB+는/JX+,/SP
인천에서	인천/NNP+에서/JKB
다음달	다음/NNG+달/NNG
명퇴하겠다고	명퇴/NNG+하/XSV+겠/EP+다고/EC
신청한	신청/NNG+하/XSV+ㄴ/ETM
교원은	교원/NNG+은/JX
초등	초등/NNG
195명,	195/SN+명/NNB+,/SP
중등	중등/NNG
287명,	287/SN+명/NNB+,/SP
사립	사립/NNG
85명	85/SN+명/NNB
등	등/NNB
567명이다.	567/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.232.4.2
지난해 2월 240명의 2.4배로 역대 최대다.

지난해	지난해/NNG
2월	2/SN+월/NNB
240명의	240/SN+명/NNB+의/JKG
2.4배로	2/SN+./SP+4/SN+배/NNG+로/JKB
역대	역대/NNG
최대다.	최대/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.232.4.3
시교육청도 명퇴 예산을 지난해 139억7천만원에서 올해 263억7천만원으로 대폭 늘렸다.

시교육청도	시/NNG+교육청/NNG+도/JX
명퇴	명퇴/NNG
예산을	예산/NNG+을/JKO
지난해	지난해/NNG
139억7천만원에서	139/SN+억/NR+7/SN+천만/NR+원/NNB+에서/JKB
올해	올해/NNG
263억7천만원으로	263/SN+억/NR+7/SN+천만/NR+원/NNB+으로/JKB
대폭	대폭/MAG
늘렸다.	늘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.232.4.4
시교육청은 이 예산으로 2월·8월 두 차례에 걸쳐 340여명의 명퇴가 가능하고, 2월 신청자 가운데 230~240명만 명예퇴직할 수 있을 것으로 보고 있다.

시교육청은	시/NNG+교육청/NNG+은/JX
이	이/MMD
예산으로	예산/NNG+으로/JKB
2월·8월	2/SN+월/NNB+·/SP+8/SN+월/NNB
두	두/MMN
차례에	차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
340여명의	340/SN+여/XSN+명/NNB+의/JKG
명퇴가	명퇴/NNG+가/JKS
가능하고,	가능/NNG+하/XSA+고/EC+,/SP
2월	2/SN+월/NNB
신청자	신청자/NNG
가운데	가운데/NNG
230~240명만	230/SN+~/SO+240/SN+명/NNB+만/JX
명예퇴직할	명예퇴직/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.232.5.1
특히 시교육청이 초등과 중등을 분리하지 않고 명퇴자를 선발하기로 하면서 ‘중등교원 명퇴난’이 심화할 것으로 보인다.

특히	특히/MAG
시교육청이	시/NNG+교육청/NNG+이/JKS
초등과	초등/NNG+과/JC
중등을	중등/NNG+을/JKO
분리하지	분리/NNG+하/XSV+지/EC
않고	않/VX+고/EC
명퇴자를	명퇴자/NNG+를/JKO
선발하기로	선발/NNG+하/XSV+기/ETN+로/JKB
하면서	하/VV+면서/EC
‘중등교원	‘/SS+중등/NNG+교원/NNG
명퇴난’이	명퇴/NNG+난/NNG+’/SS+이/JKS
심화할	심화/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.232.5.2
지난해 8월 초등은 195명 신청해 31.3%인 61명이 선발된 반면, 중등은 224명이 신청해 5%인 9명만 선발됐으며 교장·교감을 제외한 평교사는 한 명도 없었다.

지난해	지난해/NNG
8월	8/SN+월/NNB
초등은	초등/NNG+은/JX
195명	195/SN+명/NNB
신청해	신청/NNG+하/XSV+아/EC
31.3%인	31/SN+./SP+3/SN+%/SW+이/VCP+ㄴ/ETM
61명이	61/SN+명/NNB+이/JKS
선발된	선발/NNG+되/XSV+ㄴ/ETM
반면,	반면/NNG+,/SP
중등은	중등/NNG+은/JX
224명이	224/SN+명/NNB+이/JKS
5%인	5/SN+%/SW+이/VCP+ㄴ/ETM
9명만	9/SN+명/NNB+만/JX
선발됐으며	선발/NNG+되/XSV+었/EP+으며/EC
교장·교감을	교장/NNG+·/SP+교감/NNG+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
평교사는	평교사/NNG+는/JX
한	한/MMN
명도	명/NNB+도/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000048.232.5.3
초등교원은 2년제 교육대학 출신이어서 중등교원에 견줘 근속연수가 길어 명퇴자 선발에서 유리하다.

초등교원은	초등/NNG+교원/NNG+은/JX
2년제	2/SN+년/NNB+제/XSN
교육대학	교육/NNG+대학/NNG
출신이어서	출신/NNG+이/VCP+어서/EC
중등교원에	중등/NNG+교원/NNG+에/JKB
견줘	견주/VV+어/EC
근속연수가	근속/NNG+연수/NNG+가/JKS
길어	길/VA+어/EC
명퇴자	명퇴자/NNG
선발에서	선발/NNG+에서/JKB
유리하다.	유리/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000048.232.5.4
서울시·경기도교육청은 이런 구조적인 문제를 해소하기 위해 초등·중등을 분리해 명퇴자를 선발하고 있다.

서울시·경기도교육청은	서울시/NNP+·/SP+경기도교육청/NNP+은/JX
이런	이런/MMD
구조적인	구조/NNG+적/XSN+이/VCP+ㄴ/ETM
문제를	문제/NNG+를/JKO
해소하기	해소/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
초등·중등을	초등/NNG+·/SP+중등/NNG+을/JKO
분리해	분리/NNG+하/XSV+아/EC
명퇴자를	명퇴자/NNG+를/JKO
선발하고	선발/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


