# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.179
metadata : {}


# id : NWRW1800000049.179.1.1
수입차 개소세 환급거부?

수입차	수입차/NNG
개소세	개소세/NNG
환급거부?	환급/NNG+거부/NNG+?/SF


# id : NWRW1800000049.179.1.2
뿔난 고객들, 집단소송 움직임

뿔난	뿔나/VV+ㄴ/ETM
고객들,	고객/NNG+들/XSN+,/SP
집단소송	집단/NNG+소송/NNG
움직임	움직임/NNG


# id : NWRW1800000049.179.2.1
법무법인 “2, 3주 지켜본 뒤 진행”

법무법인	법무/NNG+법인/NNG
“2,	“/SS+2/SN+,/SP
3주	3/SN+주/NNB
지켜본	지켜보/VV+ㄴ/ETM
뒤	뒤/NNG
진행”	진행/NNG+”/SS


# id : NWRW1800000049.179.3.1
소비자들이 메르세데스벤츠코리아 BMW코리아 폭스바겐코리아 등 일부 수입자동차 업체들의 개별소비세(개소세) 인하분 환급 거부와 관련해 집단소송을 제기할 것으로 보인다.

소비자들이	소비자/NNG+들/XSN+이/JKS
메르세데스벤츠코리아	메르세데스벤츠코리아/NNP
BMW코리아	BMW코리아/NNP
폭스바겐코리아	폭스바겐코리아/NNP
등	등/NNB
일부	일부/NNG
수입자동차	수입/NNG+자동차/NNG
업체들의	업체/NNG+들/XSN+의/JKG
개별소비세(개소세)	개별/NNG+소비세/NNG+(/SS+개소세/NNG+)/SS
인하분	인하/NNG+분/XSN
환급	환급/NNG
거부와	거부/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
집단소송을	집단/NNG+소송/NNG+을/JKO
제기할	제기/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.179.4.1
29일 법무법인 바른은 향후 2, 3주간 공정거래위원회와 과세 당국, 검찰 등의 조사 추이를 지켜본 뒤 피해 고객의 신청을 받아 수입 차 업체들에 손해 보상을 요구하는 민사소송을 제기할 방침이라고 밝혔다.

29일	29/SN+일/NNB
법무법인	법무/NNG+법인/NNG
바른은	바른/NNP+은/JX
향후	향후/NNG
2,	2/SN+,/SP
3주간	3/SN+주/NNB+간/XSN
공정거래위원회와	공정/NNG+거래/NNG+위원회/NNG+와/JC
과세	과세/NNG
당국,	당국/NNG+,/SP
검찰	검찰/NNG
등의	등/NNB+의/JKG
조사	조사/NNG
추이를	추이/NNG+를/JKO
지켜본	지켜보/VV+ㄴ/ETM
뒤	뒤/NNG
피해	피해/NNG
고객의	고객/NNG+의/JKG
신청을	신청/NNG+을/JKO
받아	받/VV+아/EC
수입	수입/NNG
차	차/NNG
업체들에	업체/NNG+들/XSN+에/JKB
손해	손해/NNG
보상을	보상/NNG+을/JKO
요구하는	요구/NNG+하/XSV+는/ETM
민사소송을	민사/NNG+소송/NNG+을/JKO
제기할	제기/NNG+하/XSV+ㄹ/ETM
방침이라고	방침/NNG+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.179.4.2
수입 차 고객 중 개소세와 관련해 문제가 있는 대상자는 최대 2만여 명으로 추정된다.

수입	수입/NNG
차	차/NNG
고객	고객/NNG
중	중/NNB
개소세와	개소세/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
문제가	문제/NNG+가/JKS
있는	있/VA+는/ETM
대상자는	대상자/NNG+는/JX
최대	최대/NNG
2만여	2/SN+만/NR+여/XSN
명으로	명/NNB+으로/JKB
추정된다.	추정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.179.5.1
하종선 바른 변호사는 “수입 차 업체들이 지난해 12월 개소세를 5%에서 3.5%로 인하받고 수입해온 차를 1월에 팔면서 마치 개소세를 대신 내주는 것처럼 프로모션했다면 이는 과장 광고 또는 허위 광고에 해당된다”며 “‘독점규제 및 공정거래에 관한 법률’ 위반이므로 공정위가 조사를 해야 한다”고 주장했다.

하종선	하종선/NNP
바른	바른/NNP
변호사는	변호사/NNG+는/JX
“수입	“/SS+수입/NNG
차	차/NNG
업체들이	업체/NNG+들/XSN+이/JKS
지난해	지난해/NNG
12월	12/SN+월/NNB
개소세를	개소세/NNG+를/JKO
5%에서	5/SN+%/SW+에서/JKB
3.5%로	3/SN+./SP+5/SN+%/SW+로/JKB
인하받고	인하/NNG+받/XSV+고/EC
수입해온	수입/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
차를	차/NNG+를/JKO
1월에	1/SN+월/NNB+에/JKB
팔면서	팔/VV+면서/EC
마치	마치/MAG
대신	대신/NNG
내주는	내주/VV+는/ETM
것처럼	것/NNB+처럼/JKB
프로모션했다면	프로모션/NNG+하/XSV+았/EP+다면/EC
이는	이/NP+는/JX
과장	과장/NNG
광고	광고/NNG
또는	또는/MAG
허위	허위/NNG
광고에	광고/NNG+에/JKB
해당된다”며	해당/NNG+되/XSV+ㄴ다/EF+”/SS+며/EC
“‘독점규제	“/SS+‘/SS+독점/NNG+규제/NNG
및	및/MAG
공정거래에	공정/NNG+거래/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률’	법률/NNG+’/SS
위반이므로	위반/NNG+이/VCP+므로/EC
공정위가	공정위/NNG+가/JKS
조사를	조사/NNG+를/JKO
해야	하/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.179.5.2
개소세 인하는 지난해 12월 말로 끝났으나 정부가 최근 이를 6월 말까지 연장하기로 하자 소비자들은 1월 구입 차량에 대한 개소세 환급을 주장해왔다.

개소세	개소세/NNG
인하는	인하/NNG+는/JX
지난해	지난해/NNG
12월	12/SN+월/NNB
말로	말/NNB+로/JKB
끝났으나	끝나/VV+았/EP+으나/EC
정부가	정부/NNG+가/JKS
최근	최근/MAG
이를	이/NP+를/JKO
