# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.215
metadata : {}


# id : NWRW1800000040.215.1.1
물러난다던 최필립, 아직도 정수장학회 이사장

물러난다던	물러나/VV+ㄴ다던/ETM
최필립,	최필립/NNP+,/SP
아직도	아직/MAG+도/JX
정수장학회	정수장학회/NNP
이사장	이사장/NNG


# id : NWRW1800000040.215.2.1
3월치 월급 592만5900원 챙겨

3월치	3/SN+월/NNB+치/XSN
월급	월급/NNG
592만5900원	592/SN+만/NR+5900/SN+원/NNB
챙겨	챙기/VV+어/EF


# id : NWRW1800000040.215.3.1
사직서 안내고 최근까지 출근

사직서	사직서/NNG
안내고	안/MAG+내/VV+고/EC
최근까지	최근/NNG+까지/JX
출근	출근/NNG


# id : NWRW1800000040.215.4.1
지난달 25일 사퇴 의사를 밝힌 최필립(85) 정수장학회 이사장이 이후 한 달이 넘도록 자리를 유지하면서 월급까지 받은 것으로 드러났다.

지난달	지난달/NNG
25일	25/SN+일/NNB
사퇴	사퇴/NNG
의사를	의사/NNG+를/JKO
밝힌	밝히/VV+ㄴ/ETM
최필립(85)	최필립/NNP+(/SS+85/SN+)/SS
정수장학회	정수장학회/NNP
이사장이	이사장/NNG+이/JKS
이후	이후/NNG
한	한/MMN
달이	달/NNB+이/JKS
넘도록	넘/VV+도록/EC
자리를	자리/NNG+를/JKO
유지하면서	유지/NNG+하/XSV+면서/EC
월급까지	월급/NNG+까지/JX
받은	받/VV+은/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.215.4.2
정수장학회 후임 이사장 인선 계획이 아직도 감독기관인 서울시교육청에 보고되지 않아, 그 배경에 대한 의혹만 무성하다.

정수장학회	정수장학회/NNP
후임	후임/NNG
이사장	이사장/NNG
인선	인선/NNG
계획이	계획/NNG+이/JKS
아직도	아직/MAG+도/JX
감독기관인	감독/NNG+기관/NNG+이/VCP+ㄴ/ETM
서울시교육청에	서울시교육청/NNP+에/JKB
보고되지	보고/NNG+되/XSV+지/EC
않아,	않/VX+아/EC+,/SP
그	그/MMD
배경에	배경/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의혹만	의혹/NNG+만/JX
무성하다.	무성하/VA+다/EF+./SF


# id : NWRW1800000040.215.5.1
25일 박홍근 민주통합당 의원이 정수장학회에서 받은 ‘최필립 이사장 3월 보수 내역’을 보면, 최 이사장은 이날 3월치 보수로 592만5900원을 지급받았다.

25일	25/SN+일/NNB
박홍근	박홍근/NNP
민주통합당	민주통합당/NNP
의원이	의원/NNG+이/JKS
정수장학회에서	정수장학회/NNP+에서/JKB
받은	받/VV+은/ETM
‘최필립	‘/SS+최필립/NNP
이사장	이사장/NNG
3월	3/SN+월/NNB
보수	보수/NNG
내역’을	내역/NNG+’/SS+을/JKO
보면,	보/VV+면/EC+,/SP
최	최/NNP
이사장은	이사장/NNG+은/JX
이날	이날/NNG
3월치	3/SN+월/NNB+치/XSN
보수로	보수/NNG+로/JKB
592만5900원을	592/SN+만/NR+5900/SN+원/NNB+을/JKO
지급받았다.	지급/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.215.5.2
최 이사장은 지난달 25일 자진사퇴 의사를 언론에 밝힌 뒤 최근까지 서울 정동의 정수장학회 사무실로 출근한 것으로 알려졌다.

최	최/NNP
이사장은	이사장/NNG+은/JX
지난달	지난달/NNG
25일	25/SN+일/NNB
자진사퇴	자진/NNG+사퇴/NNG
의사를	의사/NNG+를/JKO
언론에	언론/NNG+에/JKB
밝힌	밝히/VV+ㄴ/ETM
뒤	뒤/NNG
최근까지	최근/NNG+까지/JX
서울	서울/NNP
정동의	정동/NNP+의/JKG
정수장학회	정수장학회/NNP
사무실로	사무실/NNG+로/JKB
출근한	출근/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.215.6.1
감독기관인 서울시교육청은 이날까지 최 이사장 본인의 사퇴 및 신임 이사장 임명과 관련해 아무런 보고도 받지 못했다.

감독기관인	감독/NNG+기관/NNG+이/VCP+ㄴ/ETM
서울시교육청은	서울시교육청/NNP+은/JX
이날까지	이날/NNG+까지/JX
최	최/NNP
이사장	이사장/NNG
본인의	본인/NNG+의/JKG
사퇴	사퇴/NNG
및	및/MAG
신임	신임/NNG
임명과	임명/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
아무런	아무런/MMD
보고도	보고/NNG+도/JX
받지	받/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.215.6.2
정수장학회는 최 이사장의 사퇴 선언 이후 이사회를 소집해 임원의 임면을 심의·결정하고 이를 교육청에 보고해야 하는데도, 교육청의 질의에 아무런 계획도 내놓지 않고 있다.

정수장학회는	정수장학회/NNP+는/JX
최	최/NNP
이사장의	이사장/NNG+의/JKG
사퇴	사퇴/NNG
선언	선언/NNG
이후	이후/NNG
이사회를	이사회/NNG+를/JKO
소집해	소집/NNG+하/XSV+아/EC
임원의	임원/NNG+의/JKG
임면을	임면/NNG+을/JKO
심의·결정하고	심의/NNG+·/SP+결정/NNG+하/XSV+고/EC
이를	이/NP+를/JKO
교육청에	교육청/NNG+에/JKB
보고해야	보고/NNG+하/XSV+아야/EC
하는데도,	하/VX+는데/EC+도/JX+,/SP
교육청의	교육청/NNG+의/JKG
질의에	질의/NNG+에/JKB
아무런	아무런/MMD
계획도	계획/NNG+도/JX
내놓지	내놓/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.215.6.3
교육청은 미보고 이유를 물었으나 정수장학회는 답변하지 않았다.

교육청은	교육청/NNG+은/JX
미보고	미/XPN+보고/NNG
이유를	이유/NNG+를/JKO
물었으나	묻/VV+었/EP+으나/EC
정수장학회는	정수장학회/NNP+는/JX
답변하지	답변/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.215.6.4
교육청의 공익법인팀 관계자는 “(최 이사장이) 사의 표명은 해놓고서 사직서는 제출하지 않고 있다.

교육청의	교육청/NNG+의/JKG
공익법인팀	공익/NNG+법인/NNG+팀/NNG
관계자는	관계자/NNG+는/JX
“(최	“/SS+(/SS+최/NNP
이사장이)	이사장/NNG+이/JKS+)/SS
사의	사의/NNG
표명은	표명/NNG+은/JX
해놓고서	하/VV+아/EC+놓/VX+고서/EC
사직서는	사직서/NNG+는/JX
제출하지	제출/NNG+하/XSV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.215.6.5
법인 쪽도 사직서가 들어올지 안 들어올지 모른다고 답하고 있어, 빨리 정리를 해야 하는 시교육청 입장에서도 시달리고 있다”고 말했다.

법인	법인/NNG
쪽도	쪽/NNB+도/JX
사직서가	사직서/NNG+가/JKS
들어올지	들어오/VV+ㄹ지/EF
안	안/MAG
모른다고	모르/VV+ㄴ다고/EC
답하고	답/NNG+하/XSV+고/EC
있어,	있/VX+어/EC+,/SP
빨리	빨리/MAG
정리를	정리/NNG+를/JKO
해야	하/VV+아야/EC
하는	하/VX+는/ETM
