# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.386
metadata : {}


# id : NWRW1800000033.386.1.1
朴 “대선직후 여야 지도자 연석회의”, 文 “하우스푸어 집 사들여 공공임대”

朴	朴/SH
“대선직후	“/SS+대선/NNG+직후/NNG
여야	여야/NNG
지도자	지도자/NNG
연석회의”,	연석회의/NNG+”/SS+,/SP
文	文/SH
“하우스푸어	“/SS+하우스푸어/NNG
집	집/NNG
사들여	사들이/VV+어/EC
공공임대”	공공/NNG+임대/NNG+”/SS


# id : NWRW1800000033.386.2.1
주말 유세-기자회견서 밝혀

주말	주말/NNG
유세-기자회견서	유세/NNG+-/SO+기자/NNG+회견/NNG+서/JKB
밝혀	밝히/VV+어/EF


# id : NWRW1800000033.386.3.1
새누리당 박근혜, 민주통합당 문재인 대선후보는 18대 대선의 마지막 TV토론이 열린 16일 유세 일정을 잡지 않고 토론 준비에 주력했다.

새누리당	새누리당/NNP
박근혜,	박근혜/NNP+,/SP
민주통합당	민주통합당/NNP
문재인	문재인/NNP
대선후보는	대선/NNG+후보/NNG+는/JX
18대	18/SN+대/NNB
대선의	대선/NNG+의/JKG
마지막	마지막/NNG
TV토론이	TV/SL+토론/NNG+이/JKS
열린	열리/VV+ㄴ/ETM
16일	16/SN+일/NNB
유세	유세/NNG
일정을	일정/NNG+을/JKO
잡지	잡/VV+지/EC
않고	않/VX+고/EC
토론	토론/NNG
준비에	준비/NNG+에/JKB
주력했다.	주력/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.386.4.1
박 후보는 공식선거운동 마지막 주말인 15일 서울 표심 잡기에 나서 여야가 참여해 주요 현안을 논의하는 ‘국가지도자 연석회의’를 대선 직후 열자고 제안했다.

박	박/NNP
후보는	후보/NNG+는/JX
공식선거운동	공식/NNG+선거/NNG+운동/NNG
마지막	마지막/NNG
주말인	주말/NNG+이/VCP+ㄴ/ETM
15일	15/SN+일/NNB
서울	서울/NNP
표심	표심/NNG
잡기에	잡/VV+기/ETN+에/JKB
나서	나서/VV+어/EC
여야가	여야/NNG+가/JKS
참여해	참여/NNG+하/XSV+아/EC
주요	주요/NNG
현안을	현안/NNG+을/JKO
논의하는	논의/NNG+하/XSV+는/ETM
‘국가지도자	‘/SS+국가/NNG+지도자/NNG
연석회의’를	연석회의/NNG+’/SS+를/JKO
대선	대선/NNG
직후	직후/NNG
열자고	열/VV+자고/EC
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.386.5.1
박 후보는 서울 강남구 코엑스몰 광장 유세에서 “당선 직후부터 새 정부가 출범하기까지 여야 지도자가 만나 대한민국의 새 틀을 짜기 위한 ‘국가지도자 연석회의’를 제안한다”고 말했다.

박	박/NNP
후보는	후보/NNG+는/JX
서울	서울/NNP
강남구	강남구/NNP
코엑스몰	코엑스몰/NNP
광장	광장/NNG
유세에서	유세/NNG+에서/JKB
“당선	“/SS+당선/NNG
직후부터	직후/NNG+부터/JX
새	새/MMA
정부가	정부/NNG+가/JKS
출범하기까지	출범/NNG+하/XSV+기/ETN+까지/JX
여야	여야/NNG
지도자가	지도자/NNG+가/JKS
만나	만나/VV+아/EC
대한민국의	대한민국/NNP+의/JKG
틀을	틀/NNG+을/JKO
짜기	짜/VV+기/ETN
위한	위하/VV+ㄴ/ETM
‘국가지도자	‘/SS+국가/NNG+지도자/NNG
연석회의’를	연석회의/NNG+’/SS+를/JKO
제안한다”고	제안/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.386.5.2
그는 “야당이 어떻게든 이겨보겠다는 생각에 네거티브를 하고 그로 인해 온 나라가 갈라지는 모습을 보며 큰 걱정을 하고 있다.

그는	그/NP+는/JX
“야당이	“/SS+야당/NNG+이/JKS
어떻게든	어떻/VA+게/EC+든/JX
이겨보겠다는	이기/VV+어/EC+보/VX+겠/EP+다는/ETM
생각에	생각/NNG+에/JKB
네거티브를	네거티브/NNG+를/JKO
하고	하/VV+고/EC
그로	그/NP+로/JKB
인해	인/NNG+하/XSV+아/EC
