# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.215
metadata : {}


# id : NWRW1800000033.215.1.1
헌옷 수거함도 ‘강남스타일’

헌옷	헌/MMA+옷/NNG
수거함도	수거함/NNG+도/JX
‘강남스타일’	‘/SS+강남/NNP+스타일/NNG+’/SS


# id : NWRW1800000033.215.2.1
밍크코트-명품가방-양복 등 멀쩡한 제품 좌르르

밍크코트-명품가방-양복	밍크코트/NNG+-/SO+명품/NNG+가방/NNG+-/SO+양복/NNG
등	등/NNB
멀쩡한	멀쩡하/VA+ㄴ/ETM
제품	제품/NNG
좌르르	좌르르/MAG


# id : NWRW1800000033.215.3.1
11일 오전 경기 하남시 외곽의 한 헌 옷 하치장.

11일	11/SN+일/NNB
오전	오전/NNG
경기	경기/NNP
하남시	하남시/NNP
외곽의	외곽/NNG+의/JKG
한	한/MMN
헌	헌/MMA
옷	옷/NNG
하치장.	하치장/NNG+./SF


# id : NWRW1800000033.215.3.2
이곳에는 강남 등 서울 시내 아파트 5000여 가구의 헌 옷 수거함에서 나온 옷가지가 하루 평균 1, 2t씩 들어온다.

이곳에는	이곳/NP+에/JKB+는/JX
강남	강남/NNP
등	등/NNB
서울	서울/NNP
시내	시내/NNG
아파트	아파트/NNG
5000여	5000/SN+여/XSN
가구의	가구/NNG+의/JKG
헌	헌/MMA
옷	옷/NNG
수거함에서	수거함/NNG+에서/JKB
나온	나오/VV+ㄴ/ETM
옷가지가	옷가지/NNG+가/JKS
하루	하루/NNG
평균	평균/NNG
1,	1/SN+,/SP
2t씩	2/SN+t/SW+씩/XSN
들어온다.	들어오/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.215.3.3
영하 8도의 강추위에도 ‘돈 되는’ 옷을 고르려는 작업 인부의 손길이 바빴다.

영하	영하/NNG
8도의	8/SN+도/NNB+의/JKG
강추위에도	강추위/NNG+에/JKB+도/JX
‘돈	‘/SS+돈/NNG
되는’	되/VV+는/ETM+’/SS
옷을	옷/NNG+을/JKO
고르려는	고르/VV+려는/ETM
작업	작업/NNG
인부의	인부/NNG+의/JKG
손길이	손길/NNG+이/JKS
바빴다.	바쁘/VA+았/EP+다/EF+./SF


# id : NWRW1800000033.215.3.4
이들이 촉각을 곤두세우고 찾는 옷더미는 강남의 고급 아파트 단지에서 나온 것이다.

이들이	이/NP+들/XSN+이/JKS
촉각을	촉각/NNG+을/JKO
곤두세우고	곤두세우/VV+고/EC
찾는	찾/VV+는/ETM
옷더미는	옷/NNG+더미/NNG+는/JX
강남의	강남/NNP+의/JKG
고급	고급/NNG
아파트	아파트/NNG
단지에서	단지/NNG+에서/JKB
나온	나오/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.215.3.5
다른 지역과 달리 새 옷과 다를 바 없는 데다 명품도 나오기 때문이다.

다른	다른/MMD
지역과	지역/NNG+과/JKB
달리	달리/MAG
새	새/MMA
옷과	옷/NNG+과/JKB
다를	다르/VA+ㄹ/ETM
바	바/NNB
없는	없/VA+는/ETM
데다	데/NNB+다/JX
명품도	명품/NNG+도/JX
나오기	나오/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.215.3.6
