# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.225
metadata : {}


# id : NWRW1800000025.225.1.1
LG, 상생지원금 7400억으로 증액

LG,	LG/SL+,/SP
상생지원금	상생/NNG+지원금/NNG
7400억으로	7400/SN+억/NR+으로/JKB
증액	증액/NNG


# id : NWRW1800000025.225.2.1
LG그룹이 신사업 차세대 기술을 협력회사와 공동 개발하는 등 파트너십을 강화하기로 했다.

LG그룹이	LG그룹/NNP+이/JKS
신사업	신/XPN+사업/NNG
차세대	차세대/NNG
기술을	기술/NNG+을/JKO
협력회사와	협력/NNG+회사/NNG+와/JKB
공동	공동/NNG
개발하는	개발/NNG+하/XSV+는/ETM
등	등/NNB
파트너십을	파트너십/NNG+을/JKO
강화하기로	강화/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.225.2.2
협력회사에 대한 금융지원도 연간 7400억 원 수준으로 대폭 늘렸다.

협력회사에	협력/NNG+회사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
금융지원도	금융/NNG+지원/NNG+도/JX
연간	연간/NNG
7400억	7400/SN+억/NR
원	원/NNB
수준으로	수준/NNG+으로/JKB
대폭	대폭/MAG
늘렸다.	늘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.225.2.3
정부가 대기업과 중소기업의 상생협력을 강조하는 가운데 그룹 차원의 종합 상생 대책이 나온 것은 이번이 처음이다.

정부가	정부/NNG+가/JKS
대기업과	대/XPN+기업/NNG+과/JC
중소기업의	중소기업/NNG+의/JKG
상생협력을	상생/NNG+협력/NNG+을/JKO
강조하는	강조/NNG+하/XSV+는/ETM
가운데	가운데/NNG
그룹	그룹/NNG
차원의	차원/NNG+의/JKG
종합	종합/NNG
상생	상생/NNG
대책이	대책/NNG+이/JKS
나온	나오/VV+ㄴ/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.225.3.1
