# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.244
metadata : {}


# id : NWRW1800000022.244.1.1
"우린 로열티 챙기는 强小기업";"R&D, 연구인력 확보 올인" 세계적인 기술력과 차별화된 틈새 품목 무기로 글로벌 기업서 로열티 받아

"우린	"/SS+우리/NP+ㄴ/JX
로열티	로열티/NNG
챙기는	챙기/VV+는/ETM
强小기업";"R&D,	强小/SH+기업/NNG+"/SS+;/SP+"/SS+R/SL+&/SW+D/SL+,/SP
연구인력	연구/NNG+인력/NNG
확보	확보/NNG
올인"	올인/NNG+"/SS
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
기술력과	기술력/NNG+과/JC
차별화된	차별/NNG+화/XSN+되/XSV+ㄴ/ETM
틈새	틈새/NNG
품목	품목/NNG
무기로	무기/NNG+로/JKB
글로벌	글로벌/NNG
기업서	기업/NNG+서/JKB
받아	받/VV+아/EF


# id : NWRW1800000022.244.2.1
모바일 브라우저(휴대전화에서 인터넷에 접속하게 해주는 프로그램) 전문 회사 인프라웨어는 이달 말부터 로열티(지적재산권 사용료)를 받고 세계 최대 휴대전화 단말기 회사 노키아에 관련 기술을 제공한다.

모바일	모바일/NNG
브라우저(휴대전화에서	브라우저/NNG+(/SS+휴대/NNG+전화/NNG+에서/JKB
인터넷에	인터넷/NNG+에/JKB
접속하게	접속/NNG+하/XSV+게/EC
해주는	하/VX+아/EC+주/VX+는/ETM
프로그램)	프로그램/NNG+)/SS
전문	전문/NNG
회사	회사/NNG
인프라웨어는	인프라웨어/NNP+는/JX
이달	이달/NNG
말부터	말/NNB+부터/JX
로열티(지적재산권	로열티/NNG+(/SS+지/NNG+적/XSN+재산/NNG+권/XSN
사용료)를	사용료/NNG+)/SS+를/JKO
받고	받/VV+고/EC
세계	세계/NNG
최대	최대/NNG
휴대전화	휴대/NNG+전화/NNG
단말기	단말기/NNG
노키아에	노키아/NNP+에/JKB
관련	관련/NNG
기술을	기술/NNG+을/JKO
제공한다.	제공/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.244.2.2
이 회사의 지난해 매출(238억원) 가운데 20% 정도는 삼성전자·LG전자·모토로라 등으로부터 받은 로열티 수입이다.

이	이/MMD
회사의	회사/NNG+의/JKG
