# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.235
metadata : {}


# id : NWRW1800000041.235.1.1
[소치]눈여겨봅시다, 봅슬레이 크는 모습

[소치]눈여겨봅시다,	[/SS+소치/NNP+]/SS+눈여겨보/VV+ㅂ시다/EF+,/SP
봅슬레이	봅슬레이/NNG
크는	크/VV+는/ETM
모습	모습/NNG


# id : NWRW1800000041.235.2.1
남자 2인승 원윤종-서영우, 亞 홀로 4차 진출해 합계 18위 밴쿠버 4인승 19위 뛰어넘어… “평창까지 4년간 더 고속질주”

남자	남자/NNG
2인승	2인승/NNG
원윤종-서영우,	원윤종/NNP+-/SO+서영우/NNP+,/SP
亞	亞/SH
홀로	홀로/MAG
4차	4/SN+차/NNB
진출해	진출/NNG+하/XSV+아/EC
합계	합계/NNG
18위	18/SN+위/NNB
밴쿠버	밴쿠버/NNP
4인승	4인승/NNG
19위	19/SN+위/NNB
뛰어넘어…	뛰어넘/VV+어/EF+…/SE
“평창까지	“/SS+평창/NNP+까지/JX
4년간	4/SN+년/NNB+간/XSN
더	더/MAG
고속질주”	고속/NNG+질주/NNG+”/SS


# id : NWRW1800000041.235.3.1
태극마크가 선명한 흰색 썰매가 결승선을 통과했다.

태극마크가	태극/NNG+마크/NNG+가/JKS
선명한	선명/NNG+하/XSA+ㄴ/ETM
흰색	흰색/NNG
썰매가	썰매/NNG+가/JKS
결승선을	결승선/NNG+을/JKO
통과했다.	통과/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.235.3.2
두 명의 사나이는 주먹을 불끈 쥐며 환호했다.

두	두/MMN
명의	명/NNB+의/JKG
사나이는	사나이/NNG+는/JX
주먹을	주먹/NNG+을/JKO
불끈	불끈/MAG
쥐며	쥐/VV+며/EC
환호했다.	환호/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.235.3.3
18일 러시아 소치 산키 슬라이딩 센터에서 열린 소치 겨울올림픽 봅슬레이 남자 2인승에 출전한 원윤종(29)과 서영우(23·이상 경기연맹)였다.

18일	18/SN+일/NNB
러시아	러시아/NNP
소치	소치/NNP
산키	산키/NNP
슬라이딩	슬라이딩/NNP
센터에서	센터/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
겨울올림픽	겨울/NNG+올림픽/NNG
봅슬레이	봅슬레이/NNG
남자	남자/NNG
2인승에	2인승/NNG+에/JKB
출전한	출전/NNG+하/XSV+ㄴ/ETM
원윤종(29)과	원윤종/NNP+(/SS+29/SN+)/SS+과/JC
서영우(23·이상	서영우/NNP+(/SS+23/SN+·/SP+이상/NNG
경기연맹)였다.	경기연맹/NNP+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.235.3.4
이들은 4차 레이스 합계 3분49초27을 기록해 18위에 올랐다.

이들은	이/NP+들/XSN+은/JX
4차	4/SN+차/NNB
레이스	레이스/NNG
합계	합계/NNG
3분49초27을	3/SN+분/NNB+49/SN+초/NNB+27/SN+을/JKO
기록해	기록/NNG+하/XSV+아/EC
18위에	18/SN+위/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.235.3.5
메달과는 거리가 멀었다.

메달과는	메달/NNG+과/JKB+는/JX
거리가	거리/NNG+가/JKS
멀었다.	멀/VA+었/EP+다/EF+./SF


# id : NWRW1800000041.235.3.6
그러나 그것은 중요하지 않았다.

그러나	그러나/MAJ
그것은	그것/NP+은/JX
중요하지	중요/NNG+하/XSA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.235.3.7
이 종목에 올림픽 사상 처음 출전해 3차 레이스까지 30개 팀 가운데 19위를 차지하며 20위 이내에 주어진 4차 레이스 진출 티켓을 따냈던 것 자체가 한국에는 새로운 역사였다.

이	이/MMD
종목에	종목/NNG+에/JKB
올림픽	올림픽/NNG
사상	사상/NNG
처음	처음/NNG
출전해	출전/NNG+하/XSV+아/EC
3차	3/SN+차/NNB
레이스까지	레이스/NNG+까지/JX
30개	30/SN+개/NNB
팀	팀/NNG
가운데	가운데/NNG
19위를	19/SN+위/NNB+를/JKO
