# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.151
metadata : {}


# id : NWRW1800000037.151.1.1
정조가 경모궁을 세운 뜻은…

정조가	정조/NNP+가/JKS
경모궁을	경모궁/NNP+을/JKO
세운	세우/VV+ㄴ/ETM
뜻은…	뜻/NNG+은/JX+…/SE


# id : NWRW1800000037.151.2.1
아버지 사도세자 복권 통해 왕통 강화… 사당을 궁으로 격상하고 의궤 발간

아버지	아버지/NNG
사도세자	사도/NNP+세자/NNG
복권	복권/NNG
통해	통하/VV+아/EC
왕통	왕통/NNG
강화…	강화/NNG+…/SE
사당을	사당/NNG+을/JKO
궁으로	궁/NNG+으로/JKB
격상하고	격상/NNG+하/XSV+고/EC
의궤	의궤/NNG
발간	발간/NNG


# id : NWRW1800000037.151.3.1
“이제 선친께 시호를 ‘장헌(莊獻)’으로 올리고 궁은 ‘경모(景慕)’, 원(園)은 ‘영우(永祐)’로 하여 종백신(예조판서)으로 하여금 모든 의식을 그에 맞게 정하도록 하였다.

“이제	“/SS+이제/MAG
선친께	선친/NNG+께/JKB
시호를	시호/NNG+를/JKO
‘장헌(莊獻)’으로	‘/SS+장헌/NNP+(/SS+莊獻/SH+)/SS+’/SS+으로/JKB
올리고	올리/VV+고/EC
궁은	궁/NNG+은/JX
‘경모(景慕)’,	‘/SS+경모/NNP+(/SS+景慕/SH+)/SS+’/SS+,/SP
원(園)은	원/NNG+(/SS+園/SH+)/SS+은/JX
‘영우(永祐)’로	‘/SS+영우/NNP+(/SS+永祐/SH+)/SS+’/SS+로/JKB
하여	하/VV+아/EC
종백신(예조판서)으로	종백신/NNP+(/SS+예조/NNG+판서/NNG+)/SS+으로/JKB
하여금	하여금/MAG
모든	모든/MMN
의식을	의식/NNG+을/JKO
그에	그/NP+에/JKB
맞게	맞/VV+게/EC
정하도록	정하/VV+도록/EC
하였다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.151.3.2
… 이렇게 하는 소자의 마음을 아버님의 영령께서 알아주시기를 바랄 뿐이다.

…	…/SE
이렇게	이렇/VA+게/EC
하는	하/VV+는/ETM
소자의	소자/NNG+의/JKG
마음을	마음/NNG+을/JKO
아버님의	아버님/NNG+의/JKG
영령께서	영령/NNG+께서/JKS
알아주시기를	알아주/VV+시/EP+기/ETN+를/JKO
바랄	바라/VV+ㄹ/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.151.3.3
숭정 이후 세 번째 병신년(1776년) 피눈물로 삼가 인(引)을 쓴다.”(‘경모궁의궤’ 중에서)

숭정	숭정/NNG
이후	이후/NNG
세	세/MMN
번째	번/NNB+째/XSN
병신년(1776년)	병신년/NNG+(/SS+1776/SN+년/NNB+)/SS
피눈물로	피눈물/NNG+로/JKB
삼가	삼가/VV+아/EC
인(引)을	인/NNG+(/SS+引/SH+)/SS+을/JKO
쓴다.”(‘경모궁의궤’	쓰/VV+ㄴ다/EF+./SF+”/SS+(/SS+‘/SS+경모궁의궤/NNP+’/SS
중에서)	중/NNB+에서/JKB+)/SS


# id : NWRW1800000037.151.4.1
1776년 왕위에 오른 정조는 “과인은 사도세자의 아들이다”라고 선포하며 아버지에 대한 추숭 사업을 본격화했다.

1776년	1776/SN+년/NNB
왕위에	왕위/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
정조는	정조/NNP+는/JX
“과인은	“/SS+과인/NP+은/JX
사도세자의	사도/NNP+세자/NNG+의/JKG
아들이다”라고	아들/NNG+이/VCP+다/EF+”/SS+라고/JKQ
선포하며	선포/NNG+하/XSV+며/EC
아버지에	아버지/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
추숭	추숭/NNG
사업을	사업/NNG+을/JKO
본격화했다.	본격/NNG+화/XSN+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.151.4.2
즉위 열흘 뒤인 3월 20일 사도세자에게 장헌이라는 시호를 올리고 사도세자의 사당이던 수은묘가 너무 궁색하다며 고쳐 세울 것을 명하면서 이름을 경모궁으로 바꿨다.

즉위	즉위/NNG
열흘	열흘/NNG
뒤인	뒤/NNG+이/VCP+ㄴ/ETM
3월	3/SN+월/NNB
20일	20/SN+일/NNB
사도세자에게	사도/NNP+세자/NNG+에게/JKB
장헌이라는	장헌/NNP+이/VCP+라는/ETM
시호를	시호/NNG+를/JKO
올리고	올리/VV+고/EC
사도세자의	사도/NNP+세자/NNG+의/JKG
사당이던	사당/NNG+이/VCP+던/ETM
수은묘가	수은묘/NNP+가/JKS
너무	너무/MAG
궁색하다며	궁색/NNG+하/XSA+다며/EC
고쳐	고치/VV+어/EC
세울	세우/VV+ㄹ/ETM
것을	것/NNB+을/JKO
명하면서	명/NNG+하/XSV+면서/EC
이름을	이름/NNG+을/JKO
경모궁으로	경모궁/NNP+으로/JKB
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.151.4.3
조선시대에는 즉위하기 전에 죽은 왕세자의 신주는 종묘에 배향하지 않고 별도의 사당을 마련해 제사를 지냈다.

조선시대에는	조선시대/NNG+에/JKB+는/JX
즉위하기	즉위/NNG+하/XSV+기/ETN
전에	전/NNG+에/JKB
죽은	죽/VV+은/ETM
왕세자의	왕세자/NNG+의/JKG
신주는	신주/NNG+는/JX
종묘에	종묘/NNP+에/JKB
배향하지	배향/NNG+하/XSV+지/EC
않고	않/VX+고/EC
별도의	별도/NNG+의/JKG
사당을	사당/NNG+을/JKO
마련해	마련/NNG+하/XSV+아/EC
제사를	제사/NNG+를/JKO
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.151.4.4
1784년에는 경모궁에 관한 기록과 의식을 정리한 ‘경모궁의궤’가 발간됐다.

1784년에는	1784/SN+년/NNB+에/JKB+는/JX
경모궁에	경모궁/NNP+에/JKB
관한	관하/VV+ㄴ/ETM
기록과	기록/NNG+과/JC
