# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.221
metadata : {}


# id : NWRW1800000022.221.1.1
박용택 '도전! 타격달인' 페타지니·김현수 제치고 타율 선두… 홍성흔도 추격

박용택	박용택/NNP
'도전!	'/SS+도전/NNG+!/SF
타격달인'	타격/NNG+달인/NNG+'/SS
페타지니·김현수	페타지니/NNP+·/SP+김현수/NNP
제치고	제치/VV+고/EC
타율	타율/NNG
선두…	선두/NNG+…/SE
홍성흔도	홍성흔/NNP+도/JX
추격	추격/NNG


# id : NWRW1800000022.221.2.1
프로야구 개인 타이틀 경쟁이 다크호스의 등장으로 더욱 더 치열해지고 있다.

프로야구	프로/NNG+야구/NNG
개인	개인/NNG
타이틀	타이틀/NNG
경쟁이	경쟁/NNG+이/JKS
다크호스의	다크호스/NNG+의/JKG
등장으로	등장/NNG+으로/JKB
더욱	더욱/MAG
더	더/MAG
치열해지고	치열/NNG+하/XSA+아/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.221.3.1
22일 현재 타율 부문 1위는 LG 박용택.

22일	22/SN+일/NNB
현재	현재/MAG
타율	타율/NNG
부문	부문/NNG
1위는	1/SN+위/NNB+는/JX
LG	LG/SL
박용택.	박용택/NNP+./SF


# id : NWRW1800000022.221.3.2
50경기에 출장한 그는 213타수 81안타, 타율 0.380으로 선두에 이름을 올렸다.

50경기에	50/SN+경기/NNG+에/JKB
출장한	출장/NNG+하/XSV+ㄴ/ETM
그는	그/NP+는/JX
213타수	213/SN+타수/NNG
81안타,	81/SN+안타/NNG+,/SP
타율	타율/NNG
0.380으로	0/SN+./SP+380/SN+으로/JKB
선두에	선두/NNG+에/JKB
이름을	이름/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.221.3.3
한때 4할 타율 경쟁으로 시선을 모았던 페타지니(LG·0.376)와 김현수(두산·0.372)는 2·3위로 밀려났다.

한때	한때/MAG
4할	4/SN+할/NNB
타율	타율/NNG
경쟁으로	경쟁/NNG+으로/JKB
시선을	시선/NNG+을/JKO
모았던	모으/VV+았/EP+던/ETM
페타지니(LG·0.376)와	페타지니/NNP+(/SS+LG/SL+·/SP+0/SN+./SP+376/SN+)/SS+와/JC
김현수(두산·0.372)는	김현수/NNP+(/SS+두산/NNP+·/SP+0/SN+./SP+372/SN+)/SS+는/JX
2·3위로	2/SN+·/SP+3/SN+위/NNB+로/JKB
밀려났다.	밀려나/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.221.4.1
박용택의 타율 1위 등극 비결은 '꾸준함'에 있다.

박용택의	박용택/NNP+의/JKG
타율	타율/NNG
1위	1/SN+위/NNB
등극	등극/NNG
비결은	비결/NNG+은/JX
'꾸준함'에	'/SS+꾸준하/VA+ㅁ/ETN+'/SS+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.221.4.2
4월 5경기에서 0.435를 기록했던 그는 5월 27경기에서 0.365, 6월 18경기에서 0.387의 타율을 기록했다.

4월	4/SN+월/NNB
5경기에서	5/SN+경기/NNG+에서/JKB
0.435를	0/SN+./SP+435/SN+를/JKO
기록했던	기록/NNG+하/XSV+았/EP+던/ETM
그는	그/NP+는/JX
5월	5/SN+월/NNB
27경기에서	27/SN+경기/NNG+에서/JKB
0.365,	0/SN+./SP+365/SN+,/SP
6월	6/SN+월/NNB
18경기에서	18/SN+경기/NNG+에서/JKB
0.387의	0/SN+./SP+387/SN+의/JKG
타율을	타율/NNG+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.221.4.3
6월 들어 페타지니가 0.288, 김현수가 0.303으로 4·5월에 비해 페이스가 처진 것과는 정반대다.

6월	6/SN+월/NNB
들어	들/VV+어/EC
페타지니가	페타지니/NNP+가/JKS
0.288,	0/SN+./SP+288/SN+,/SP
김현수가	김현수/NNP+가/JKS
0.303으로	0/SN+./SP+303/SN+으로/JKB
4·5월에	4/SN+·/SP+5/SN+월/NNB+에/JKB
비해	비/NNG+하/XSV+아/EC
페이스가	페이스/NNG+가/JKS
처진	처지/VV+ㄴ/ETM
것과는	것/NNB+과/JKB+는/JX
정반대다.	정반대/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.221.4.4
박용택은 득점권 타율(주자가 2루 이상 나가 있을 때 기록한 타율)도 0.467로 1위를 기록해 '영양가' 면에서도 페타지니와 김현수를 앞지르고 있다.

박용택은	박용택/NNP+은/JX
득점권	득점/NNG+권/XSN
타율(주자가	타율/NNG+(/SS+주자/NNG+가/JKS
2루	2루/NNG
이상	이상/NNG
나가	나가/VV+아/EC
있을	있/VX+을/ETM
때	때/NNG
기록한	기록/NNG+하/XSV+ㄴ/ETM
타율)도	타율/NNG+)/SS+도/JX
0.467로	0/SN+./SP+467/SN+로/JKB
1위를	1/SN+위/NNB+를/JKO
기록해	기록/NNG+하/XSV+아/EC
'영양가'	'/SS+영양/NNG+가/XSN+'/SS
면에서도	면/NNG+에서/JKB+도/JX
페타지니와	페타지니/NNP+와/JC
김현수를	김현수/NNP+를/JKO
앞지르고	앞지르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.221.5.1
타격왕 경쟁에서 또 한 명의 복병은 홍성흔(롯데)이다.

타격왕	타격왕/NNG
경쟁에서	경쟁/NNG+에서/JKB
또	또/MAG
한	한/MMN
명의	명/NNB+의/JKG
복병은	복병/NNG+은/JX
홍성흔(롯데)이다.	홍성흔/NNP+(/SS+롯데/NNP+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000022.221.5.2
시즌 초반 부상과 타격 부진으로 이름값을 못했던 그는 5월 16경기에서 0.467의 고감도 방망이를 자랑했고, 6월에도 18경기에서 0.362의 타율을 기록하는 등 규정타석을 채우자 곧바로 타격 5위(0.351)로 올라섰다.

시즌	시즌/NNG
초반	초반/NNG
부상과	부상/NNG+과/JC
타격	타격/NNG
부진으로	부진/NNG+으로/JKB
이름값을	이름값/NNG+을/JKO
못했던	못/MAG+하/VV+았/EP+던/ETM
그는	그/NP+는/JX
5월	5/SN+월/NNB
16경기에서	16/SN+경기/NNG+에서/JKB
0.467의	0/SN+./SP+467/SN+의/JKG
고감도	고/XPN+감도/NNG
방망이를	방망이/NNG+를/JKO
자랑했고,	자랑/NNG+하/XSV+았/EP+고/EC+,/SP
6월에도	6/SN+월/NNB+에/JKB+도/JX
18경기에서	18/SN+경기/NNG+에서/JKB
0.362의	0/SN+./SP+362/SN+의/JKG
타율을	타율/NNG+을/JKO
기록하는	기록/NNG+하/XSV+는/ETM
등	등/NNB
규정타석을	규정/NNG+타석/NNG+을/JKO
채우자	채우/VV+자/EC
곧바로	곧바로/MAG
5위(0.351)로	5/SN+위/NNB+(/SS+0/SN+./SP+351/SN+)/SS+로/JKB
올라섰다.	올라서/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.221.5.3
두산의 김동주도 0.364의 타율로 4위에 자리 잡으면서 호시탐탐 선두를 엿보고 있다.

두산의	두산/NNP+의/JKG
김동주도	김동주/NNP+도/JX
0.364의	0/SN+./SP+364/SN+의/JKG
타율로	타율/NNG+로/JKB
4위에	4/SN+위/NNB+에/JKB
자리	자리/NNG
잡으면서	잡/VV+으면서/EC
호시탐탐	호시탐탐/NNG
선두를	선두/NNG+를/JKO
엿보고	엿보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.221.6.1
김광현(SK)과 류현진(한화)의 대결로 예상됐던 다승 경쟁에선 임태훈(두산) 이현승(히어로즈·이상 9승) 송은범(SK·8승)이 뛰어들었다.

김광현(SK)과	김광현/NNP+(/SS+SK/SL+)/SS+과/JC
류현진(한화)의	류현진/NNP+(/SS+한화/NNP+)/SS+의/JKG
대결로	대결/NNG+로/JKB
예상됐던	예상/NNG+되/XSV+었/EP+던/ETM
다승	다승/NNG
경쟁에선	경쟁/NNG+에서/JKB+ㄴ/JX
임태훈(두산)	임태훈/NNP+(/SS+두산/NNP+)/SS
이현승(히어로즈·이상	이현승/NNP+(/SS+히어로즈/NNP+·/SP+이상/NNG
9승)	9/SN+승/NNB+)/SS
송은범(SK·8승)이	송은범/NNP+(/SS+SK/SL+·/SP+8/SN+승/NNB+)/SS+이/JKS
뛰어들었다.	뛰어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.221.6.2
