# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.415
metadata : {}


# id : NWRW1800000038.415.1.1
'中·日 변수'에 꼬여가는 韓美동맹

'中·日	'/SS+中/SH+·/SP+日/SH
변수'에	변수/NNG+'/SS+에/JKB
꼬여가는	꼬이/VV+어/EC+가/VX+는/ETM
韓美동맹	韓美/SH+동맹/NNG


# id : NWRW1800000038.415.2.1
美가 한국 참여 바라는 미사일방어체제, 中서 강력 반대

美가	美/SH+가/JKS
한국	한국/NNP
참여	참여/NNG
바라는	바라/VV+는/ETM
미사일방어체제,	미사일/NNG+방어/NNG+체제/NNG+,/SP
中서	中/SH+서/JKB
강력	강력/NNG
반대	반대/NNG


# id : NWRW1800000038.415.3.1
1일로 60년이 된 한·미동맹이 중국·일본 문제에 대한 이해관계 상충으로 고비를 맞고 있다.

1일로	1/SN+일/NNB+로/JKB
60년이	60/SN+년/NNB+이/JKC
된	되/VV+ㄴ/ETM
한·미동맹이	한·미/NNP+동맹/NNG+이/JKS
중국·일본	중국/NNP+·/SP+일본/NNP
문제에	문제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이해관계	이해관계/NNG
상충으로	상충/NNG+으로/JKB
고비를	고비/NNG+를/JKO
맞고	맞/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.415.3.2
'환갑(還甲) 동맹'에 맞춰 방한한 척 헤이글 미 국방장관은 전시작전통제권 전환 재연기를 한국이 미국의 '미사일 방어 체제(MD)'에 참여하는 문제와 연계할 수 있다는 입장을 밝혔다.

'환갑(還甲)	'/SS+환갑/NNG+(/SS+還甲/SH+)/SS
동맹'에	동맹/NNG+'/SS+에/JKB
맞춰	맞추/VV+어/EC
방한한	방한/NNG+하/XSV+ㄴ/ETM
척	척/NNP
헤이글	헤이글/NNP
미	미/NNP
국방장관은	국방/NNG+장관/NNG+은/JX
전시작전통제권	전시/NNG+작전/NNG+통제/NNG+권/XSN
전환	전환/NNG
재연기를	재/XPN+연기/NNG+를/JKO
한국이	한국/NNP+이/JKS
미국의	미국/NNP+의/JKG
'미사일	'/SS+미사일/NNG
방어	방어/NNG
체제(MD)'에	체제/NNG+(/SS+MD/SL+)/SS+'/SS+에/JKB
참여하는	참여/NNG+하/XSV+는/ETM
문제와	문제/NNG+와/JKB
연계할	연계/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
입장을	입장/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.415.3.3
또 일본의 아베 신조(安倍晋三) 내각이 추진 중인 '집단적 자위권'을 사실상 용인하겠다는 입장도 표명하고 있다.

또	또/MAG
일본의	일본/NNP+의/JKG
아베	아베/NNP
신조(安倍晋三)	신조/NNP+(/SS+安倍晋三/SH+)/SS
내각이	내각/NNG+이/JKS
추진	추진/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
'집단적	'/SS+집단/NNG+적/XSN
자위권'을	자위/NNG+권/XSN+'/SS+을/JKO
사실상	사실/NNG+상/XSN
용인하겠다는	용인/NNG+하/XSV+겠/EP+다는/ETM
입장도	입장/NNG+도/JX
표명하고	표명/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.415.4.1
MD는 미국이 동아시아에서 북한 등이 미사일을 발사할 경우 이를 요격하기 위해 구축 중이다.

MD는	MD/SL+는/JX
미국이	미국/NNP+이/JKS
동아시아에서	동아시아/NNP+에서/JKB
북한	북한/NNP
등이	등/NNB+이/JKS
미사일을	미사일/NNG+을/JKO
발사할	발사/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
이를	이/NP+를/JKO
요격하기	요격/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
구축	구축/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.415.4.2
그러나 중국이 자국을 견제하기 위한 것이라며 강력하게 반대하고 있다.

그러나	그러나/MAJ
중국이	중국/NNP+이/JKS
자국을	자국/NNG+을/JKO
견제하기	견제/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
것이라며	것/NNB+이/VCP+라며/EC
강력하게	강력/NNG+하/XSA+게/EC
반대하고	반대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.415.4.3
우리 정부 입장은 고(高)고도의 MD보다는 저(低)고도의 KAMD(한국형 미사일 방어 체제)를 선호한다.

우리	우리/NP
정부	정부/NNG
입장은	입장/NNG+은/JX
고(高)고도의	고/XPN+(/SS+高/SH+)/SS+고도/NNG+의/JKG
MD보다는	MD/SL+보다/JKB+는/JX
저(低)고도의	저/XPN+(/SS+低/SH+)/SS+고도/NNG+의/JKG
KAMD(한국형	KAMD/SL+(/SS+한국/NNP+형/XSN
미사일	미사일/NNG
방어	방어/NNG
체제)를	체제/NNG+)/SS+를/JKO
선호한다.	선호/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.415.4.4
양국 간 이해관계가 미묘하게 엇갈리는 셈이다.

양국	양국/NNG
간	간/NNB
이해관계가	이해관계/NNG+가/JKS
미묘하게	미묘하/VA+게/EC
엇갈리는	엇갈리/VV+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.415.5.1
미국은 또 군사비 부담을 줄이기 위해 일본에 집단적 자위권을 허용할 수밖에 없다는 입장이다.

미국은	미국/NNP+은/JX
또	또/MAG
군사비	군사비/NNG
부담을	부담/NNG+을/JKO
줄이기	줄이/VV+기/ETN
위해	위하/VV+아/EC
일본에	일본/NNP+에/JKB
집단적	집단/NNG+적/XSN
자위권을	자위/NNG+권/XSN+을/JKO
허용할	허용/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다는	없/VA+다는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.415.5.2
집단적 자위권은 자국이 공격받지 않아도 이해관계를 공유하는 국가가 공격받을 경우 타국에 반격할 수 있는 권리를 말한다.

집단적	집단/NNG+적/XSN
자위권은	자위/NNG+권/XSN+은/JX
자국이	자국/NNG+이/JKS
