# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.380
metadata : {}


# id : NWRW1800000049.380.1.1
정부 對北 독자제재에 김여정 또 빠질듯

정부	정부/NNG
對北	對北/SH
독자제재에	독자/NNG+제재/NNG+에/JKB
김여정	김여정/NNP
또	또/MAG
빠질듯	빠지/VV+ㄹ/ETM+듯/NNB


# id : NWRW1800000049.380.2.1
2일 발표… 개인 30명-기관 30곳 추가… 日, 방북시 재입국 금지 대상 확대

2일	2/SN+일/NNB
발표…	발표/NNG+…/SE
개인	개인/NNG
30명-기관	30/SN+명/NNB+-/SO+기관/NNG
30곳	30/SN+곳/NNG
추가…	추가/NNG+…/SE
日,	日/SH+,/SP
방북시	방북/NNG+시/NNB
재입국	재/XPN+입국/NNG
금지	금지/NNG
대상	대상/NNG
확대	확대/NNG


# id : NWRW1800000049.380.3.1
정부가 2일 미국, 일본, 유럽연합(EU)과 함께 대북 독자 제재를 발표한다.

정부가	정부/NNG+가/JKS
2일	2/SN+일/NNB
미국,	미국/NNP+,/SP
일본,	일본/NNP+,/SP
유럽연합(EU)과	유럽연합/NNP+(/SS+EU/SL+)/SS+과/JKB
함께	함께/MAG
대북	대북/NNG
독자	독자/NNG
제재를	제재/NNG+를/JKO
발표한다.	발표/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.380.4.1
이석준 국무조정실장이 정부서울청사에서 발표할 한국의 독자 제재안에는 △제재 대상 개인 및 단체 추가 △해운 제재 강화 △수출입 통제 강화 등의 내용이 담길 예정이다.

이석준	이석준/NNP
국무조정실장이	국무/NNG+조정실장/NNG+이/JKS
정부서울청사에서	정부서울청사/NNP+에서/JKB
발표할	발표/NNG+하/XSV+ㄹ/ETM
한국의	한국/NNP+의/JKG
독자	독자/NNG
제재안에는	제재안/NNG+에/JKB+는/JX
△제재	△/SW+제재/NNG
대상	대상/NNG
개인	개인/NNG
및	및/MAG
단체	단체/NNG
추가	추가/NNG
