# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.40
metadata : {}


# id : NWRW1800000053.40.1.1
특종 대신 아이 생명 구한 사진기자

특종	특종/NNG
대신	대신/NNG
아이	아이/NNG
생명	생명/NNG
구한	구하/VV+ㄴ/ETM
사진기자	사진/NNG+기자/NNG


# id : NWRW1800000053.40.2.1
시리아기자, 알레포 테러 현장서 사진촬영 뒤로하고 인명 구조

시리아기자,	시리아/NNP+기자/NNG+,/SP
알레포	알레포/NNP
테러	테러/NNG
현장서	현장/NNG+서/JKB
사진촬영	사진/NNG+촬영/NNG
뒤로하고	뒤로하/VV+고/EC
인명	인명/NNG
구조	구조/NNG


# id : NWRW1800000053.40.3.1
희대의 특종을 남길 수 있는 처참한 테러 현장에서 취재 대신 인명 구조에 앞장선 한 시리아 사진기자의 사연이 화제다.

희대의	희대/NNG+의/JKG
특종을	특종/NNG+을/JKO
남길	남기/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
처참한	처참하/VA+ㄴ/ETM
테러	테러/NNG
현장에서	현장/NNG+에서/JKB
취재	취재/NNG
대신	대신/NNG
인명	인명/NNG
구조에	구조/NNG+에/JKB
앞장선	앞장서/VV+ㄴ/ETM
한	한/MMN
시리아	시리아/NNP
사진기자의	사진/NNG+기자/NNG+의/JKG
사연이	사연/NNG+이/JKS
화제다.	화제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.40.3.2
주인공은 시리아에서 사진기자이자 인권활동가로 일하는 아브드 알카데르 하바크 씨.

주인공은	주인공/NNG+은/JX
시리아에서	시리아/NNP+에서/JKB
사진기자이자	사진/NNG+기자/NNG+이/VCP+자/EC
인권활동가로	인권/NNG+활동가/NNG+로/JKB
일하는	일/NNG+하/XSV+는/ETM
아브드	아브드/NNP
알카데르	알카데르/NNP
하바크	하바크/NNP
씨.	씨/NNB+./SF


# id : NWRW1800000053.40.4.1
18일 CNN에 따르면 하바크 씨는 15일 126명이 숨진 시리아 북부 알레포의 피란민 버스 폭탄 테러 현장에 있었다.

18일	18/SN+일/NNB
CNN에	CNN/SL+에/JKB
따르면	따르/VV+면/EC
하바크	하바크/NNP
씨는	씨/NNB+는/JX
15일	15/SN+일/NNB
126명이	126/SN+명/NNB+이/JKS
숨진	숨지/VV+ㄴ/ETM
시리아	시리아/NNP
북부	북부/NNG
알레포의	알레포/NNP+의/JKG
피란민	피란민/NNG
버스	버스/NNG
폭탄	폭탄/NNG
테러	테러/NNG
현장에	현장/NNG+에/JKB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000053.40.4.2
사망자 중엔 어린이가 80명이나 포함됐다.

사망자	사망자/NNG
중엔	중/NNB+에/JKB+ㄴ/JX
어린이가	어린이/NNG+가/JKS
