# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.88
metadata : {}


# id : NWRW1800000028.88.1.1
낯선 여행지로…연어의 비상이 시작됐다

낯선	낯설/VA+ㄴ/ETM
여행지로…연어의	여행지/NNG+로/JKB+…/SE+연어/NNG+의/JKG
비상이	비상/NNG+이/JKS
시작됐다	시작/NNG+되/XSV+었/EP+다/EF


# id : NWRW1800000028.88.2.1
어린 연어들이 낙하하는 물줄기를 거슬러 올라가려는 듯 힘차게 튀어오르고 있다.

어린	어리/VA+ㄴ/ETM
연어들이	연어/NNG+들/XSN+이/JKS
낙하하는	낙하/NNG+하/XSV+는/ETM
물줄기를	물줄기/NNG+를/JKO
거슬러	거스르/VV+어/EC
올라가려는	올라가/VV+려는/ETM
듯	듯/NNB
힘차게	힘차/VA+게/EC
튀어오르고	튀/VV+어/EC+오르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.88.2.2
강원도 삼척시 내수면개발사업소가 지난해 10~11월 오십천을 비롯한 동해안 하천 일곱 군데에서 잡은 어미 연어 4521마리의 알을 인공부화시켜 태어난 치어들이다.

강원도	강원도/NNP
삼척시	삼척시/NNP
내수면개발사업소가	내수면/NNG+개발/NNG+사업소/NNG+가/JKS
지난해	지난해/NNG
10~11월	10/SN+~/SO+11/SN+월/NNB
오십천을	오십천/NNP+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
동해안	동해안/NNP
하천	하천/NNG
일곱	일곱/NR
군데에서	군데/NNB+에서/JKB
잡은	잡/VV+은/ETM
어미	어미/NNG
연어	연어/NNG
4521마리의	4521/SN+마리/NNB+의/JKG
알을	알/NNG+을/JKO
인공부화시켜	인공/NNG+부화/NNG+시키/XSV+어/EC
태어난	태어나/VV+ㄴ/ETM
치어들이다.	치어/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000028.88.2.3
이 치어들이 15일 오후 삼척시 죽서루 앞 오십천에서 자연의 품으로 돌아갔다.

이	이/MMD
치어들이	치어/NNG+들/XSN+이/JKS
15일	15/SN+일/NNB
오후	오후/NNG
삼척시	삼척시/NNP
죽서루	죽서루/NNP
앞	앞/NNG
오십천에서	오십천/NNP+에서/JKB
자연의	자연/NNG+의/JKG
품으로	품/NNG+으로/JKB
돌아갔다.	돌아가/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.88.2.4
258만마리의 어린 연어들은 우선 가곡천과 마읍천, 오십천 등에서 한달가량 머물며 고향의 물길을 몸에 익힌다.

258만마리의	258/SN+만/NR+마리/NNB+의/JKG
어린	어리/VA+ㄴ/ETM
연어들은	연어/NNG+들/XSN+은/JX
우선	우선/MAG
가곡천과	가곡천/NNP+과/JC
마읍천,	마읍천/NNP+,/SP
오십천	오십천/NNP
등에서	등/NNB+에서/JKB
한달가량	한/MMN+달/NNB+가량/XSN
머물며	머물/VV+며/EC
고향의	고향/NNG+의/JKG
물길을	물길/NNG+을/JKO
몸에	몸/NNG+에/JKB
익힌다.	익히/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.88.2.5
그 뒤 동해 바다를 통해 베링해와 캄차카 등 북태평양으로 나가 2년 정도 머물다, 70~100㎝의 성어가 되면 고향 하천으로 돌아올 것으로 기대된다.

그	그/MMD
뒤	뒤/NNG
동해	동해/NNP
바다를	바다/NNG+를/JKO
통해	통하/VV+아/EC
베링해와	베링해/NNP+와/JC
캄차카	캄차카/NNP
등	등/NNB
북태평양으로	북태평양/NNP+으로/JKB
나가	나가/VV+아/EC
2년	2/SN+년/NNB
정도	정도/NNG
머물다,	머물/VV+다/EC+,/SP
70~100㎝의	70/SN+~/SO+100/SN+㎝/SW+의/JKG
성어가	성어/NNG+가/JKC
되면	되/VV+면/EC
고향	고향/NNG
하천으로	하천/NNG+으로/JKB
돌아올	돌아오/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대된다.	기대/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.88.2.6
이역만리 타향살이를 탈없이 견뎌내고 귀향에 성공할 연어는 얼마나 될지….

이역만리	이역만리/NNG
타향살이를	타향살이/NNG+를/JKO
탈없이	탈/NNG+없이/MAG
견뎌내고	견디/VV+어/EC+내/VX+고/EC
귀향에	귀향/NNG+에/JKB
성공할	성공/NNG+하/XSV+ㄹ/ETM
연어는	연어/NNG+는/JX
얼마나	얼마나/MAG
될지….	되/VV+ㄹ지/EF+…/SE+./SF


