# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.12
metadata : {}


# id : NWRW1800000036.12.1.1
‘CJ 그룹 회장 미행사건’ 삼성물산 직원 소환통보

‘CJ	‘/SS+CJ/SL
그룹	그룹/NNG
회장	회장/NNG
미행사건’	미행/NNG+사건/NNG+’/SS
삼성물산	삼성물산/NNP
직원	직원/NNG
소환통보	소환/NNG+통보/NNG


# id : NWRW1800000036.12.2.1
[한겨레] 이재현 씨제이(CJ)그룹 회장을 미행했다는 의혹을 받고 있는 삼성물산 직원을 경찰이 피고소인 신분으로 소환하기로 했다.

[한겨레]	[/SS+한겨레/NNP+]/SS
이재현	이재현/NNP
씨제이(CJ)그룹	씨제이/NNP+(/SS+CJ/SL+)/SS+그룹/NNG
회장을	회장/NNG+을/JKO
미행했다는	미행/NNG+하/XSV+았/EP+다는/ETM
의혹을	의혹/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
삼성물산	삼성물산/NNP
직원을	직원/NNG+을/JKO
경찰이	경찰/NNG+이/JKS
피고소인	피/XPN+고소인/NNG
신분으로	신분/NNG+으로/JKB
소환하기로	소환/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.12.3.1
서울 중부경찰서는 5일 “삼성물산 김아무개(42) 차장에게 6일 오후 1시까지 경찰서에 나오라는 출석 요구서를 보냈다”고 밝혔다.

서울	서울/NNP
중부경찰서는	중부/NNG+경찰서/NNG+는/JX
5일	5/SN+일/NNB
“삼성물산	“/SS+삼성물산/NNP
김아무개(42)	김/NNP+아무개/NP+(/SS+42/SN+)/SS
차장에게	차장/NNG+에게/JKB
6일	6/SN+일/NNB
오후	오후/NNG
1시까지	1/SN+시/NNB+까지/JX
경찰서에	경찰서/NNG+에/JKB
나오라는	나오/VV+라는/ETM
출석	출석/NNG
요구서를	요구서/NNG+를/JKO
보냈다”고	보내/VV+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.12.3.2
김 차장은 개인 사정으로 이번주 출석이 어렵다며 출석을 연기해 달라고 요청했다고 경찰은 전했다.

김	김/NNP
차장은	차장/NNG+은/JX
개인	개인/NNG
사정으로	사정/NNG+으로/JKB
이번주	이번/NNG+주/NNG
출석이	출석/NNG+이/JKS
어렵다며	어렵/VA+다며/EC
출석을	출석/NNG+을/JKO
연기해	연기/NNG+하/XSV+아/EC
달라고	달/VX+라고/EC
요청했다고	요청/NNG+하/XSV+았/EP+다고/EC
경찰은	경찰/NNG+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.12.4.1
경찰은 김 차장이 출석하면 이 회장에 대한 업무방해가 있었는지를 집중적으로 조사할 것으로 보인다.

경찰은	경찰/NNG+은/JX
김	김/NNP
차장이	차장/NNG+이/JKS
출석하면	출석/NNG+하/XSV+면/EC
이	이/NNP
회장에	회장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
업무방해가	업무/NNG+방해/NNG+가/JKS
있었는지를	있/VA+었/EP+는지/EF+를/JKO
집중적으로	집중/NNG+적/XSN+으로/JKB
조사할	조사/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.12.4.2
업무방해 혐의가 인정되지 않으면 미행 사건은 경범죄처벌법에 따라 단순하게 처리된다.

업무방해	업무/NNG+방해/NNG
혐의가	혐의/NNG+가/JKS
인정되지	인정/NNG+되/XSV+지/EC
않으면	않/VX+으면/EC
미행	미행/NNG
사건은	사건/NNG+은/JX
경범죄처벌법에	경범죄/NNG+처벌법/NNG+에/JKB
따라	따르/VV+아/EC
단순하게	단순/NNG+하/XSA+게/EC
처리된다.	처리/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.12.4.3
경찰 관계자는 “이번 사건은 비슷한 전례가 없는데다 참고할 판례조차 없어 혐의 내용을 확정하기가 힘들다”며 “(삼성물산의) 미행 자체로 인해 (이재현 씨제이그룹 회장이) 업무에 방해를 받았는지 여부는 앞으로 수사를 더 진행해봐야 알 수 있을 것 같다”고 말했다.

경찰	경찰/NNG
관계자는	관계자/NNG+는/JX
“이번	“/SS+이번/NNG
사건은	사건/NNG+은/JX
비슷한	비슷하/VA+ㄴ/ETM
전례가	전례/NNG+가/JKS
없는데다	없/VA+는/ETM+데/NNB+다/JX
참고할	참고/NNG+하/XSV+ㄹ/ETM
판례조차	판례/NNG+조차/JX
없어	없/VA+어/EC
혐의	혐의/NNG
내용을	내용/NNG+을/JKO
확정하기가	확정/NNG+하/XSV+기/ETN+가/JKS
힘들다”며	힘들/VA+다/EF+”/SS+며/EC
“(삼성물산의)	“/SS+(/SS+삼성물산/NNP+의/JKG+)/SS
미행	미행/NNG
자체로	자체/NNG+로/JKB
인해	인/NNG+하/XSV+아/EC
(이재현	(/SS+이재현/NNP
씨제이그룹	씨제이그룹/NNP
회장이)	회장/NNG+이/JKS+)/SS
업무에	업무/NNG+에/JKB
방해를	방해/NNG+를/JKO
받았는지	받/VV+았/EP+는지/EF
여부는	여부/NNG+는/JX
앞으로	앞/NNG+으로/JKB
수사를	수사/NNG+를/JKO
더	더/MAG
진행해봐야	진행/NNG+하/XSV+아/EC+보/VX+아야/EC
알	알/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.12.4.4
경찰은 김 차장을 조사하며 차량 두 대가 미행에 가담했다는 의혹에 대해서도 확인해 삼성 쪽 직원 1~2명을 추가 소환하는 방안도 검토할 계획이다.

경찰은	경찰/NNG+은/JX
김	김/NNP
차장을	차장/NNG+을/JKO
조사하며	조사/NNG+하/XSV+며/EC
차량	차량/NNG
두	두/MMN
대가	대/NNB+가/JKS
미행에	미행/NNG+에/JKB
가담했다는	가담/NNG+하/XSV+았/EP+다는/ETM
의혹에	의혹/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
확인해	확인/NNG+하/XSV+아/EC
삼성	삼성/NNP
쪽	쪽/NNB
직원	직원/NNG
1~2명을	1/SN+~/SO+2/SN+명/NNB+을/JKO
추가	추가/NNG
소환하는	소환/NNG+하/XSV+는/ETM
방안도	방안/NNG+도/JX
검토할	검토/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.12.5.1
앞서 지난달 23일 씨제이그룹은 불법 미행으로 인한 업무방해 혐의로 삼성 관계자에 대해 고소장을 제출했으며, 이후 씨제이그룹 관계자만 고소인 자격으로 두 차례 경찰 조사를 받은 바 있다.

앞서	앞서/MAG
지난달	지난달/NNG
23일	23/SN+일/NNB
씨제이그룹은	씨제이그룹/NNP+은/JX
불법	불법/NNG
미행으로	미행/NNG+으로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
업무방해	업무/NNG+방해/NNG
혐의로	혐의/NNG+로/JKB
삼성	삼성/NNP
관계자에	관계자/NNG+에/JKB
대해	대하/VV+아/EC
고소장을	고소장/NNG+을/JKO
제출했으며,	제출/NNG+하/XSV+았/EP+으며/EC+,/SP
이후	이후/NNG
씨제이그룹	씨제이그룹/NNP
관계자만	관계자/NNG+만/JX
고소인	고소인/NNG
자격으로	자격/NNG+으로/JKB
두	두/MMN
차례	차례/NNG
경찰	경찰/NNG
조사를	조사/NNG+를/JKO
받은	받/VV+은/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.12.6.1
삼성물산 쪽은 씨제이 쪽의 미행 주장에 대해 “직원이 장충동 신라호텔 인근 부지 활용 방안을 찾으러 다녔던 것”이라며 의혹을 부인하고 있다.

삼성물산	삼성물산/NNP
쪽은	쪽/NNB+은/JX
씨제이	씨제이/NNP
쪽의	쪽/NNB+의/JKG
미행	미행/NNG
주장에	주장/NNG+에/JKB
대해	대하/VV+아/EC
“직원이	“/SS+직원/NNG+이/JKS
장충동	장충동/NNP
신라호텔	신라호텔/NNP
인근	인근/NNG
부지	부지/NNG
활용	활용/NNG
방안을	방안/NNG+을/JKO
찾으러	찾/VV+으러/EC
다녔던	다니/VV+었/EP+던/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
의혹을	의혹/NNG+을/JKO
부인하고	부인/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


