# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.361
metadata : {}


# id : NWRW1800000044.361.1.1
야당에 손내미는 새누리 시도지사 당선자들

야당에	야당/NNG+에/JKB
손내미는	손/NNG+내밀/VV+는/ETM
새누리	새누리/NNP
시도지사	시도지사/NNG
당선자들	당선자/NNG+들/XSN


# id : NWRW1800000044.361.2.1
[한겨레] 경기 남경필·제주 원희룡

[한겨레]	[/SS+한겨레/NNP+]/SS
경기	경기/NNP
남경필·제주	남경필/NNP+·/SP+제주/NNP
원희룡	원희룡/NNP


# id : NWRW1800000044.361.3.1
새정치에 부지사·인수위원장 제안

새정치에	새정치/NNP+에/JKB
부지사·인수위원장	부지사/NNG+·/SP+인수/NNG+위원장/NNG
제안	제안/NNG


# id : NWRW1800000044.361.4.1
‘협치’ 평가에 ‘이미지정치’ 의심도

‘협치’	‘/SS+협치/NNG+’/SS
평가에	평가/NNG+에/JKB
‘이미지정치’	‘/SS+이미지/NNG+정치/NNG+’/SS
의심도	의심/NNG+도/JX


# id : NWRW1800000044.361.5.1
6·4 지방선거에서 당선된 새누리당 소속 광역단체장 당선자들이, 경쟁했던 야당 후보들에게 손을 내밀고 있다.

6·4	6/SN+·/SP+4/SN
지방선거에서	지방/NNG+선거/NNG+에서/JKB
당선된	당선/NNG+되/XSV+ㄴ/ETM
새누리당	새누리당/NNP
소속	소속/NNG
광역단체장	광역/NNG+단체장/NNG
당선자들이,	당선자/NNG+들/XSN+이/JKS+,/SP
경쟁했던	경쟁/NNG+하/XSV+았/EP+던/ETM
야당	야당/NNG
후보들에게	후보/NNG+들/XSN+에게/JKB
손을	손/NNG+을/JKO
내밀고	내밀/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.361.5.2
경쟁 후보와의 회동 제안부터 ‘연정’ 실험 제안까지 나온다.

경쟁	경쟁/NNG
후보와의	후보/NNG+와/JKB+의/JKG
회동	회동/NNG
제안부터	제안/NNG+부터/JX
‘연정’	‘/SS+연정/NNG+’/SS
실험	실험/NNG
제안까지	제안/NNG+까지/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.361.5.3
선거에 이긴 쪽이 모든 권한을 틀어쥐는 ‘승자 독식’ 정치구조를 탈피하는 ‘협치’의 실험이라는 평가도 나오지만, 야권 일부에선 진정성에 의심의 눈초리를 보내기도 한다.

선거에	선거/NNG+에/JKB
이긴	이기/VV+ㄴ/ETM
쪽이	쪽/NNB+이/JKS
모든	모든/MMN
권한을	권한/NNG+을/JKO
틀어쥐는	틀어쥐/VV+는/ETM
‘승자	‘/SS+승자/NNG
독식’	독식/NNG+’/SS
정치구조를	정치/NNG+구조/NNG+를/JKO
탈피하는	탈피/NNG+하/XSV+는/ETM
‘협치’의	‘/SS+협치/NNG+’/SS+의/JKG
실험이라는	실험/NNG+이/VCP+라는/ETM
평가도	평가/NNG+도/JX
나오지만,	나오/VV+지만/EC+,/SP
야권	야권/NNG
일부에선	일부/NNG+에서/JKB+ㄴ/JX
