# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.12
metadata : {}


# id : NWRW1800000038.12.1.1
中·日 전투기·군함, 물고 물린 추격전 벌였다

中·日	中/SH+·/SP+日/SH
전투기·군함,	전투기/NNG+·/SP+군함/NNG+,/SP
물고	물/VV+고/EC
물린	물리/VV+ㄴ/ETM
추격전	추격전/NNG
벌였다	벌이/VV+었/EP+다/EF


# id : NWRW1800000038.12.2.1
미군 AWACS 뜨자, 중국 J-10 전투기 두대 추격비행… 日 F-15도 긴급 발진

미군	미군/NNG
AWACS	AWACS/SL
뜨자,	뜨/VV+자/EC+,/SP
중국	중국/NNP
J-10	J/SL+-/SO+10/SN
전투기	전투기/NNG
두대	두/MMN+대/NNB
추격비행…	추격/NNG+비행/NNG+…/SE
日	日/SH
F-15도	F/SL+-/SO+15/SN+도/JX
긴급	긴급/NNG
발진	발진/NNG


# id : NWRW1800000038.12.3.1
지난달 19일 중국과 일본이 영유권 분쟁을 벌이고 있는 센카쿠(尖閣·중국명 댜오위다오) 주변 동중국해 상공에 미군 소속 공중조기경보통제기(AWACS)가 나타났다.

지난달	지난달/NNG
19일	19/SN+일/NNB
중국과	중국/NNP+과/JC
일본이	일본/NNP+이/JKS
영유권	영유/NNG+권/XSN
분쟁을	분쟁/NNG+을/JKO
벌이고	벌이/VV+고/EC
있는	있/VX+는/ETM
센카쿠(尖閣·중국명	센카쿠/NNP+(/SS+尖閣/SH+·/SP+중국/NNP+명/NNG
댜오위다오)	댜오위다오/NNP+)/SS
주변	주변/NNG
동중국해	동중국해/NNP
상공에	상공/NNG+에/JKB
미군	미군/NNG
소속	소속/NNG
공중조기경보통제기(AWACS)가	공중/NNG+조기/NNG+경보/NNG+통제기/NNG+(/SS+AWACS/SL+)/SS+가/JKS
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.12.3.2
상하이 인근 공군비행장에 대기 중이던 중국의 젠(殲)-10(J-10) 전투기 2대가 긴급 발진했다.

상하이	상하이/NNP
인근	인근/NNG
공군비행장에	공군/NNG+비행장/NNG+에/JKB
대기	대기/NNG
중이던	중/NNB+이/VCP+던/ETM
중국의	중국/NNP+의/JKG
젠(殲)-10(J-10)	젠/NNG+(/SS+殲/SH+)/SS+-/SO+10/SN+(/SS+J/SL+-/SO+10/SN+)/SS
전투기	전투기/NNG
2대가	2/SN+대/NNB+가/JKS
긴급	긴급/NNG
발진했다.	발진/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.12.3.3
J-10 전투기가 AWACS에 바짝 다가가자 이번에는 오키나와 나하 비행장에서 일본 항공자위대 F-15전투기가 출격했다.

J-10	J/SL+-/SO+10/SN
전투기가	전투기/NNG+가/JKS
AWACS에	AWACS/SL+에/JKB
바짝	바짝/MAG
다가가자	다가가/VV+자/EC
이번에는	이번/NNG+에/JKB+는/JX
오키나와	오키나와/NNP
나하	나하/NNP
비행장에서	비행장/NNG+에서/JKB
일본	일본/NNP
항공자위대	항공/NNG+자위대/NNG
F-15전투기가	F/SL+-/SO+15/SN+전투기/NNG+가/JKS
출격했다.	출격/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.12.3.4
미군은 지난 1월 10일부터 AWACS를 동중국해에 투입했다.

미군은	미군/NNG+은/JX
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
10일부터	10/SN+일/NNB+부터/JX
AWACS를	AWACS/SL+를/JKO
동중국해에	동중국해/NNP+에/JKB
투입했다.	투입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.12.3.5
자위대가 작년 12월 중국 비행기의 센카쿠 영공 진입 사실을 탐지하지 못하자 일본이 미군 측에 요청한 데 따른 조치였다.

자위대가	자위대/NNG+가/JKS
작년	작년/NNG
12월	12/SN+월/NNB
중국	중국/NNP
비행기의	비행기/NNG+의/JKG
센카쿠	센카쿠/NNP
영공	영공/NNG
진입	진입/NNG
사실을	사실/NNG+을/JKO
탐지하지	탐지/NNG+하/XSV+지/EC
못하자	못하/VX+자/EC
일본이	일본/NNP+이/JKS
미군	미군/NNG
측에	측/NNB+에/JKB
요청한	요청/NNG+하/XSV+ㄴ/ETM
데	데/NNB
따른	따르/VV+ㄴ/ETM
조치였다.	조치/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.12.4.1
당시 동중국해에선 자위대 헬리콥터가 수㎞를 사이에 두고 중국 해군 프리깃함을 감시하고 있었다.

당시	당시/NNG
동중국해에선	동중국해/NNP+에서/JKB+ㄴ/JX
자위대	자위대/NNG
헬리콥터가	헬리콥터/NNG+가/JKS
수㎞를	수/MMN+㎞/SW+를/JKO
사이에	사이/NNG+에/JKB
두고	두/VV+고/EC
중국	중국/NNP
해군	해군/NNG
프리깃함을	프리깃함/NNG+을/JKO
감시하고	감시/NNG+하/XSV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.12.4.2
헬기 조종사는 중국군의 사격통제용 레이더가 헬기를 조준하고 있음을 알리는 비상벨이 울리자 기수를 급하게 틀었다.

헬기	헬기/NNG
조종사는	조종사/NNG+는/JX
중국군의	중국군/NNG+의/JKG
사격통제용	사격/NNG+통제/NNG+용/XSN
레이더가	레이더/NNG+가/JKS
헬기를	헬기/NNG+를/JKO
조준하고	조준/NNG+하/XSV+고/EC
있음을	있/VX+음/ETN+을/JKO
알리는	알리/VV+는/ETM
비상벨이	비상벨/NNG+이/JKS
울리자	울리/VV+자/EC
기수를	기수/NNG+를/JKO
급하게	급하/VA+게/EC
틀었다.	틀/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.12.4.3
목표물의 거리와 각도를 측정하는 사격통제용 레이더가 조준됐다는 것은 곧 미사일이나 함포 공격이 있을 수 있다는 의미이다.

목표물의	목표물/NNG+의/JKG
거리와	거리/NNG+와/JC
각도를	각도/NNG+를/JKO
측정하는	측정/NNG+하/XSV+는/ETM
사격통제용	사격/NNG+통제/NNG+용/XSN
레이더가	레이더/NNG+가/JKS
조준됐다는	조준/NNG+되/XSV+었/EP+다는/ETM
것은	것/NNB+은/JX
곧	곧/MAG
미사일이나	미사일/NNG+이나/JC
함포	함포/NNG
공격이	공격/NNG+이/JKS
있을	있/VA+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
의미이다.	의미/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.12.4.4
이 같은 대응은 미군기가 중국 근해에서 정찰 활동에 들어가자 중국이 민감하게 반응한 것이라는 분석도 나온다.

이	이/NP
같은	같/VA+은/ETM
대응은	대응/NNG+은/JX
미군기가	미군기/NNG+가/JKS
중국	중국/NNP
근해에서	근해/NNG+에서/JKB
정찰	정찰/NNG
활동에	활동/NNG+에/JKB
들어가자	들어가/VV+자/EC
중국이	중국/NNP+이/JKS
민감하게	민감/NNG+하/XSA+게/EC
반응한	반응/NNG+하/XSV+ㄴ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
분석도	분석/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.12.5.1
아사히(朝日)신문은 6일 "미군 AWACS기가 중국 연안부의 미사일 기지 정보를 수집할 것을 우려해 중국 측이 전투기를 출격한 것"이라고 전했다.

아사히(朝日)신문은	아사히/NNP+(/SS+朝日/SH+)/SS+신문/NNG+은/JX
6일	6/SN+일/NNB
"미군	"/SS+미군/NNG
AWACS기가	AWACS기/NNG+가/JKS
중국	중국/NNP
연안부의	연안부/NNG+의/JKG
미사일	미사일/NNG
기지	기지/NNG
정보를	정보/NNG+를/JKO
수집할	수집/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
우려해	우려/NNG+하/XSV+아/EC
측이	측/NNB+이/JKS
전투기를	전투기/NNG+를/JKO
출격한	출격/NNG+하/XSV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.12.5.2
AWACS는 300~400㎞ 거리에서도 정찰할 수 있다.

AWACS는	AWACS/SL+는/JX
300~400㎞	300/SN+~/SO+400/SN+㎞/SW
거리에서도	거리/NNG+에서/JKB+도/JX
정찰할	정찰/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.12.5.3
중국군 전투기들은 지난달 10일 미군 P3C 초계기가 동중국해를 비행했을 때도 추격 비행을 했다.

중국군	중국군/NNG
전투기들은	전투기/NNG+들/XSN+은/JX
지난달	지난달/NNG
10일	10/SN+일/NNB
미군	미군/NNG
P3C	P/SL+3/SN+C/SL
초계기가	초계기/NNG+가/JKS
동중국해를	동중국해/NNP+를/JKO
비행했을	비행/NNG+하/XSV+았/EP+을/ETM
때도	때/NNG+도/JX
추격	추격/NNG
비행을	비행/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.12.6.1
동중국해에서는 요즘 중국·일본 함정과 항공기들이 서로 치열한 추격전을 펼치고 있다.

동중국해에서는	동중국해/NNP+에서/JKB+는/JX
요즘	요즘/NNG
중국·일본	중국/NNP+·/SP+일본/NNP
함정과	함정/NNG+과/JC
항공기들이	항공기/NNG+들/XSN+이/JKS
서로	서로/MAG
치열한	치열/NNG+하/XSA+ㄴ/ETM
추격전을	추격전/NNG+을/JKO
펼치고	펼치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.12.6.2
지난달 30일 오전 10시 센카쿠에서 북쪽으로 100㎞ 떨어진 해상.

지난달	지난달/NNG
30일	30/SN+일/NNB
오전	오전/NNG
10시	10/SN+시/NNB
센카쿠에서	센카쿠/NNP+에서/JKB
북쪽으로	북쪽/NNG+으로/JKB
100㎞	100/SN+㎞/SW
떨어진	떨어지/VV+ㄴ/ETM
해상.	해상/NNG+./SF


# id : NWRW1800000038.12.6.3
중국 해군의 프리깃함을 3㎞ 정도 떨어진 거리에서 추적하던 일본 해상자위대 호위함에 비상이 걸렸다.

중국	중국/NNP
해군의	해군/NNG+의/JKG
프리깃함을	프리깃함/NNG+을/JKO
3㎞	3/SN+㎞/SW
정도	정도/NNG
떨어진	떨어지/VV+ㄴ/ETM
거리에서	거리/NNG+에서/JKB
추적하던	추적/NNG+하/XSV+던/ETM
일본	일본/NNP
해상자위대	해상/NNG+자위대/NNG
호위함에	호위함/NNG+에/JKB
비상이	비상/NNG+이/JKS
걸렸다.	걸리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.12.6.4
호위함 센서에 중국 측 사격통제용 레이더가 호위함을 조준하고 있다는 사실이 감지된 것이다.

호위함	호위함/NNG
센서에	센서/NNG+에/JKB
중국	중국/NNP
측	측/NNB
사격통제용	사격/NNG+통제/NNG+용/XSN
레이더가	레이더/NNG+가/JKS
호위함을	호위함/NNG+을/JKO
조준하고	조준/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
사실이	사실/NNG+이/JKS
감지된	감지/NNG+되/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.12.6.5
일본 방위성은 "당시 자위대 함정이 급히 진로를 변경하는 등 긴급 대처했다"고 밝혔다.

일본	일본/NNP
방위성은	방위성/NNG+은/JX
"당시	"/SS+당시/NNG
자위대	자위대/NNG
함정이	함정/NNG+이/JKS
급히	급히/MAG
진로를	진로/NNG+를/JKO
변경하는	변경/NNG+하/XSV+는/ETM
등	등/NNB
긴급	긴급/NNG
대처했다"고	대처/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.12.7.1
과거에도 사격통제용 레이더의 조준이 있었지만 이번에는 조준이 수분간 계속됐다고 방위성은 밝혔다.

과거에도	과거/NNG+에/JKB+도/JX
사격통제용	사격/NNG+통제/NNG+용/XSN
레이더의	레이더/NNG+의/JKG
조준이	조준/NNG+이/JKS
있었지만	있/VA+었/EP+지만/EC
이번에는	이번/NNG+에/JKB+는/JX
수분간	수분/NNG+간/XSN
계속됐다고	계속/NNG+되/XSV+었/EP+다고/EC
방위성은	방위성/NNG+은/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.12.7.2
니혼게이자이(日本經濟)신문은 "사격 통제용 레이더의 조준을 받을 경우 함정이 반격한다고 해도 국제법상 문제가 없다"고 주장했다.

니혼게이자이(日本經濟)신문은	니혼게이자이/NNP+(/SS+日本經濟/SH+)/SS+신문/NNG+은/JX
"사격	"/SS+사격/NNG
통제용	통제/NNG+용/XSN
레이더의	레이더/NNG+의/JKG
조준을	조준/NNG+을/JKO
받을	받/VV+을/ETM
경우	경우/NNG
함정이	함정/NNG+이/JKS
반격한다고	반격/NNG+하/XSV+ㄴ다고/EC
해도	하/VV+아도/EC
국제법상	국제법/NNG+상/XSN
문제가	문제/NNG+가/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.12.7.3
요미우리(讀賣)신문은 레이더를 조준한 중국 프리깃함 2척은 센카쿠에 진입하는 중국 감시선 보호 명목으로 센카쿠에서 100여㎞ 떨어진 해역에 사실상 상시적으로 배치돼 있으며, 일본도 호위함을 보내 상시 감시활동을 펴고 있다고 전했다.

요미우리(讀賣)신문은	요미우리/NNP+(/SS+讀賣/SH+)/SS+신문/NNG+은/JX
레이더를	레이더/NNG+를/JKO
조준한	조준/NNG+하/XSV+ㄴ/ETM
중국	중국/NNP
프리깃함	프리깃함/NNG
2척은	2/SN+척/NNB+은/JX
센카쿠에	센카쿠/NNP+에/JKB
진입하는	진입/NNG+하/XSV+는/ETM
감시선	감시선/NNG
보호	보호/NNG
명목으로	명목/NNG+으로/JKB
센카쿠에서	센카쿠/NNP+에서/JKB
100여㎞	100/SN+여/XSN+㎞/SW
떨어진	떨어지/VV+ㄴ/ETM
해역에	해역/NNG+에/JKB
사실상	사실/NNG+상/XSN
상시적으로	상시/NNG+적/XSN+으로/JKB
배치돼	배치/NNG+되/XSV+어/EC
있으며,	있/VX+으며/EC+,/SP
일본도	일본/NNP+도/JX
호위함을	호위함/NNG+을/JKO
보내	보내/VV+어/EC
상시	상시/NNG
감시활동을	감시/NNG+활동/NNG+을/JKO
펴고	펴/VV+고/EC
있다고	있/VX+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.12.7.4
파이낸셜타임스는 5일 "센카쿠 주변에서 벌어지고 있는 일본과 중국의 긴장 관계는 100년 전 제1차 세계대전 발발 당시와 비교된다"고 우려를 표했다.

파이낸셜타임스는	파이낸셜타임스/NNP+는/JX
5일	5/SN+일/NNB
"센카쿠	"/SS+센카쿠/NNP
주변에서	주변/NNG+에서/JKB
벌어지고	벌어지/VV+고/EC
있는	있/VX+는/ETM
일본과	일본/NNP+과/JC
중국의	중국/NNP+의/JKG
긴장	긴장/NNG
관계는	관계/NNG+는/JX
100년	100/SN+년/NNB
전	전/NNG
제1차	제/XPN+1/SN+차/NNB
세계대전	세계/NNG+대전/NNG
발발	발발/NNG
