# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.377
metadata : {}


# id : NWRW1800000037.377.1.1
‘국정원 셀프개혁 vs 국회 주도’ 접점 찾을까

‘국정원	‘/SS+국정원/NNG
셀프개혁	셀프/NNG+개혁/NNG
vs	vs/SL
국회	국회/NNG
주도’	주도/NNG+’/SS
접점	접점/NNG
찾을까	찾/VV+을까/EF


# id : NWRW1800000037.377.2.1
■ 16일 국회 3자회담 전망

■	■/SW
16일	16/SN+일/NNB
국회	국회/NNG
3자회담	3/SN+자/NNB+회담/NNG
전망	전망/NNG


# id : NWRW1800000037.377.3.1
우여곡절 끝에 박근혜 대통령의 손 내밀기와 민주당의 수용으로 성사된 16일 3자회담은 국회에서 열린다는 점에서 의미가 있다.

우여곡절	우여곡절/NNG
끝에	끝/NNG+에/JKB
박근혜	박근혜/NNP
대통령의	대통령/NNG+의/JKG
손	손/NNG
내밀기와	내밀/VV+기/ETN+와/JC
민주당의	민주당/NNP+의/JKG
수용으로	수용/NNG+으로/JKB
성사된	성사/NNG+되/XSV+ㄴ/ETM
16일	16/SN+일/NNB
3자회담은	3/SN+자/NNB+회담/NNG+은/JX
국회에서	국회/NNG+에서/JKB
열린다는	열리/VV+ㄴ다는/ETM
점에서	점/NNG+에서/JKB
의미가	의미/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.377.3.2
대통령이 여야 대표 회담을 위해 국회를 방문하는 것은 처음이다.

대통령이	대통령/NNG+이/JKS
여야	여야/NNG
대표	대표/NNG
회담을	회담/NNG+을/JKO
위해	위하/VV+아/EC
국회를	국회/NNG+를/JKO
방문하는	방문/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.377.3.3
하지만 박 대통령과 김한길 민주당 대표 사이에 의미 있는 합의가 나올지는 지켜봐야 한다.

하지만	하지만/MAJ
박	박/NNP
대통령과	대통령/NNG+과/JC
김한길	김한길/NNP
민주당	민주당/NNP
대표	대표/NNG
사이에	사이/NNG+에/JKB
의미	의미/NNG
있는	있/VA+는/ETM
합의가	합의/NNG+가/JKS
나올지는	나오/VV+ㄹ지/EF+는/JX
지켜봐야	지켜보/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000037.377.4.1
○ 8인 모임 뒤 3자회담

○	○/SW
8인	8/SN+인/NNG
모임	모임/NNG
뒤	뒤/NNG
3자회담	3/SN+자/NNB+회담/NNG


# id : NWRW1800000037.377.5.1
3자회담에 앞서 박 대통령은 주요 20개국(G20) 정상회의 참석과 베트남 국빈방문 성과를 소개하는 ‘순방 설명회’를 갖는다.

3자회담에	3/SN+자/NNB+회담/NNG+에/JKB
앞서	앞서/VV+어/EC
박	박/NNP
대통령은	대통령/NNG+은/JX
주요	주요/NNG
20개국(G20)	20/SN+개국/NNB+(/SS+G/SL+20/SN+)/SS
정상회의	정상/NNG+회의/NNG
참석과	참석/NNG+과/JC
베트남	베트남/NNP
국빈방문	국빈/NNG+방문/NNG
성과를	성과/NNG+를/JKO
소개하는	소개/NNG+하/XSV+는/ETM
‘순방	‘/SS+순방/NNG
설명회’를	설명회/NNG+’/SS+를/JKO
갖는다.	갖/VV+는다/EF+./SF


# id : NWRW1800000037.377.5.2
설명회에는 박 대통령과 강창희 국회의장, 이병석 박병석 국회부의장, 새누리당 황우여 대표, 최경환 원내대표, 민주당 김한길 대표, 전병헌 원내대표 등 8인이 참석한다.

설명회에는	설명회/NNG+에/JKB+는/JX
박	박/NNP
대통령과	대통령/NNG+과/JC
강창희	강창희/NNP
국회의장,	국회/NNG+의장/NNG+,/SP
이병석	이병석/NNP
박병석	박병석/NNP
국회부의장,	국회/NNG+부의장/NNG+,/SP
새누리당	새누리당/NNP
황우여	황우여/NNP
대표,	대표/NNG+,/SP
최경환	최경환/NNP
원내대표,	원내/NNG+대표/NNG+,/SP
민주당	민주당/NNP
김한길	김한길/NNP
전병헌	전병헌/NNP
원내대표	원내/NNG+대표/NNG
등	등/NNB
8인이	8/SN+인/NNG+이/JKS
참석한다.	참석/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.377.6.1
설명회가 끝난 뒤 국회의장, 부의장, 양당 원내대표가 자리를 뜨고 박 대통령과 황우여, 김한길 대표의 3자회담이 본격적으로 시작된다.

설명회가	설명회/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
국회의장,	국회/NNG+의장/NNG+,/SP
부의장,	부의장/NNG+,/SP
양당	양당/NNG
원내대표가	원내/NNG+대표/NNG+가/JKS
자리를	자리/NNG+를/JKO
뜨고	뜨/VV+고/EC
박	박/NNP
대통령과	대통령/NNG+과/JC
황우여,	황우여/NNP+,/SP
김한길	김한길/NNP
대표의	대표/NNG+의/JKG
3자회담이	3/SN+자/NNB+회담/NNG+이/JKS
본격적으로	본격/NNG+적/XSN+으로/JKB
시작된다.	시작/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.377.6.2
국회의장실에서 순방설명회를 가진 뒤 국회 귀빈식당에서 3자회담을 할 가능성이 높다.

