# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.188
metadata : {}


# id : NWRW1800000046.188.1.1
나라 전체 마비시키겠다더니… 조계사 숨은 민노총 위원장

나라	나라/NNG
전체	전체/NNG
마비시키겠다더니…	마비/NNG+시키/XSV+겠/EP+다더니/EC+…/SE
조계사	조계사/NNP
숨은	숨/VV+은/ETM
민노총	민노총/NNP
위원장	위원장/NNG


# id : NWRW1800000046.188.2.1
폭력시위 주도 한상균 은신… 조계사 "당장 나가라 못해"

폭력시위	폭력/NNG+시위/NNG
주도	주도/NNG
한상균	한상균/NNP
은신…	은신/NNG+…/SE
조계사	조계사/NNP
"당장	"/SS+당장/NNG
나가라	나가/VV+라/EF
못해"	못하/VX+아/EF+"/SS


# id : NWRW1800000046.188.3.1
지난 14일 서울 도심 폭력 시위를 주도했던 한상균(53) 민노총 위원장이 은신해 있는 서울 종로구 조계사(曹溪寺) 주변은 17일 긴장감이 흘렀다.

지난	지나/VV+ㄴ/ETM
14일	14/SN+일/NNB
서울	서울/NNP
도심	도심/NNG
폭력	폭력/NNG
시위를	시위/NNG+를/JKO
주도했던	주도/NNG+하/XSV+았/EP+던/ETM
한상균(53)	한상균/NNP+(/SS+53/SN+)/SS
민노총	민노총/NNP
위원장이	위원장/NNG+이/JKS
은신해	은신/NNG+하/XSV+아/EC
있는	있/VX+는/ETM
종로구	종로구/NNP
조계사(曹溪寺)	조계사/NNP+(/SS+曹溪寺/SH+)/SS
주변은	주변/NNG+은/JX
17일	17/SN+일/NNB
긴장감이	긴장감/NNG+이/JKS
흘렀다.	흐르/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.188.3.2
한 위원장은 16일 밤 조계사로 들어갔다.

한	한/NNP
위원장은	위원장/NNG+은/JX
16일	16/SN+일/NNB
밤	밤/NNG
조계사로	조계사/NNP+로/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.188.3.3
경찰은 조계사 주변에 형사 40여 명과 1개 기동중대(80명)를 배치했다.

경찰은	경찰/NNG+은/JX
조계사	조계사/NNP
주변에	주변/NNG+에/JKB
형사	형사/NNG
40여	40/SN+여/XSN
명과	명/NNB+과/JC
1개	1/SN+개/NNB
기동중대(80명)를	기동/NNG+중대/NNG+(/SS+80/SN+명/NNB+)/SS+를/JKO
배치했다.	배치/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.188.3.4
조계사를 드나드는 차량마다 일일이 검문·검색을 하고 있다.

조계사를	조계사/NNP+를/JKO
드나드는	드나들/VV+는/ETM
차량마다	차량/NNG+마다/JX
일일이	일일이/MAG
검문·검색을	검문/NNG+·/SP+검색/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.188.4.1
지난 4월부터 경찰의 수배를 받아온 한 위원장은 그동안 서울 정동 민노총 사무실에 숨어 있었던 것으로 알려졌다.

지난	지나/VV+ㄴ/ETM
4월부터	4/SN+월/NNB+부터/JX
경찰의	경찰/NNG+의/JKG
수배를	수배/NNG+를/JKO
