# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.308
metadata : {}


# id : NWRW1800000048.308.1.1
“어떻게 차벽 뚫고 청와대로 가고, 간들 뭐하겠냐”

“어떻게	“/SS+어떻/VA+게/EC
차벽	차/NNG+벽/NNG
뚫고	뚫/VV+고/EC
청와대로	청와대/NNP+로/JKB
가고,	가/VV+고/EC+,/SP
간들	가/VV+ㄴ들/EC
뭐하겠냐”	뭐/NP+하/XSA+겠/EP+냐/EF+”/SS


# id : NWRW1800000048.308.2.1
[인터뷰] 한상균 민주노총 위원장

[인터뷰]	[/SS+인터뷰/NNG+]/SS
한상균	한상균/NNP
민주노총	민주노총/NNP
위원장	위원장/NNG


# id : NWRW1800000048.308.3.1
“‘청와대로 가자’는 말은 국민 목소리 들으란 의미”

“‘청와대로	“/SS+‘/SS+청와대/NNP+로/JKB
가자’는	가/VV+자/EF+’/SS+는/ETM
말은	말/NNG+은/JX
국민	국민/NNG
목소리	목소리/NNG
들으란	듣/VV+으란/ETM
의미”	의미/NNG+”/SS


# id : NWRW1800000048.308.4.1
“국민들이 거리로 쏟아져 나온 것이 국민 일부의 문제인가.

“국민들이	“/SS+국민/NNG+들/XSN+이/JKS
거리로	거리/NNG+로/JKB
쏟아져	쏟아지/VV+어/EC
나온	나오/VV+ㄴ/ETM
것이	것/NNB+이/JKS
국민	국민/NNG
일부의	일부/NNG+의/JKG
문제인가.	문제/NNG+이/VCP+ㄴ가/EF+./SF


# id : NWRW1800000048.308.4.2
정부가 쓰고 있는 복면부터 벗어야 한다.”

정부가	정부/NNG+가/JKS
쓰고	쓰/VV+고/EC
있는	있/VX+는/ETM
복면부터	복면/NNG+부터/JX
벗어야	벗/VV+어야/EC
한다.”	하/VX+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000048.308.5.1
서울 종로구 조계사 경내에 ‘피신’중인 한상균 민주노동조합총연맹(민주노총) 위원장은 27일 <한겨레>와의 전화 인터뷰에서 새달 5일로 예고된 ‘2차 민중총궐기’ 대회의 평화적 개최를 약속하면서도, 노동개혁에 관해 대화를 거부한 채 강경 대응으로만 치닫는 정부 행태를 비판했다.

서울	서울/NNP
종로구	종로구/NNP
조계사	조계사/NNP
경내에	경내/NNG+에/JKB
‘피신’중인	‘/SS+피신/NNG+’/SS+중/NNB+이/VCP+ㄴ/ETM
한상균	한상균/NNP
민주노동조합총연맹(민주노총)	민주노동조합총연맹/NNP+(/SS+민주노총/NNP+)/SS
