# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.221
metadata : {}


# id : NWRW1800000037.221.1.1
술집 1곳 정해놓고… 공무원들에 性접대

술집	술집/NNG
1곳	1/SN+곳/NNG
정해놓고…	정하/VV+아/EC+놓/VX+고/EC+…/SE
공무원들에	공무원/NNG+들/XSN+에/JKB
性접대	性/SH+접대/NNG


# id : NWRW1800000037.221.2.1
IT 용역업체, 광주정부통합센터와 요지경 검은거래

IT	IT/SL
용역업체,	용역업체/NNG+,/SP
광주정부통합센터와	광주/NNP+정부/NNG+통합/NNG+센터/NNG+와/JKB
요지경	요지경/NNG
검은거래	검/VA+은/ETM+거래/NNG


# id : NWRW1800000037.221.3.1
‘광주 정부통합센터 용역은 D사가 쓸어 담는다.’

‘광주	‘/SS+광주/NNP
정부통합센터	정부/NNG+통합/NNG+센터/NNG
용역은	용역/NNG+은/JX
D사가	D사/NNG+가/JKS
쓸어	쓸/VV+어/EC
담는다.’	담/VV+는다/EF+./SF+’/SS


# id : NWRW1800000037.221.4.1
광주지역 정보기술(IT)업계에서 2, 3년 전부터 퍼지기 시작한 소문이었다.

광주지역	광주/NNP+지역/NNG
정보기술(IT)업계에서	정보/NNG+기술/NNG+(/SS+IT/SL+)/SS+업계/NNG+에서/JKB
2,	2/SN+,/SP
3년	3/SN+년/NNB
전부터	전/NNG+부터/JX
퍼지기	퍼지/VV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
소문이었다.	소문/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.221.4.2
안전행정부 산하에 있는 정부통합센터는 각 정부기관에 흩어져 있던 정보자원들을 모아 국가 차원의 보호체계 구축을 위해 설립된 기관이다.

안전행정부	안전/NNG+행정부/NNG
산하에	산하/NNG+에/JKB
있는	있/VA+는/ETM
정부통합센터는	정부/NNG+통합/NNG+센터/NNG+는/JX
각	각/MMD
정부기관에	정부/NNG+기관/NNG+에/JKB
흩어져	흩어지/VV+어/EC
있던	있/VX+던/ETM
정보자원들을	정보/NNG+자원/NNG+들/XSN+을/JKO
모아	모으/VV+아/EC
국가	국가/NNG
차원의	차원/NNG+의/JKG
보호체계	보호/NNG+체계/NNG
구축을	구축/NNG+을/JKO
위해	위하/VV+아/EC
설립된	설립/NNG+되/XSV+ㄴ/ETM
기관이다.	기관/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.221.4.3
2005년 11월 제1통합센터가 대전에 세워졌고 2007년 11월 제2통합센터가 광주에 문을 열었다.

2005년	2005/SN+년/NNB
11월	11/SN+월/NNB
제1통합센터가	제/XPN+1/SN+통합/NNG+센터/NNG+가/JKS
