# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.221
metadata : {}


# id : NWRW1800000033.221.1.1
마산구장 펜스 광고수익, NC는 못갖는다고?

마산구장	마산구장/NNP
펜스	펜스/NNG
광고수익,	광고/NNG+수익/NNG+,/SP
NC는	NC/SL+는/JX
못갖는다고?	못/MAG+갖/VV+는다고/EF+?/SF


# id : NWRW1800000033.221.2.1
신생구단 NC는 2014년 1월 8일까지는 홈구장인 마산구장에서 생기는 광고수익의 절반 정도를 받고 싶어도 받을 수 없는 상황이다.

신생구단	신생/NNG+구단/NNG
NC는	NC/SL+는/JX
2014년	2014/SN+년/NNB
1월	1/SN+월/NNB
8일까지는	8/SN+일/NNB+까지/JX+는/JX
홈구장인	홈구장/NNG+이/VCP+ㄴ/ETM
마산구장에서	마산구장/NNP+에서/JKB
생기는	생기/VV+는/ETM
광고수익의	광고/NNG+수익/NNG+의/JKG
절반	절반/NNG
정도를	정도/NNG+를/JKO
받고	받/VV+고/EC
싶어도	싶/VX+어도/EC
받을	받/VV+을/ETM
수	수/NNB
없는	없/VA+는/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.221.2.2
NC는 올해 퓨처스리그에서 홈구장인 마산구장의 입장료를 받지 않기로 해 사실상 광고수입이 거의 전부다.

NC는	NC/SL+는/JX
올해	올해/NNG
퓨처스리그에서	퓨처스리그/NNG+에서/JKB
홈구장인	홈구장/NNG+이/VCP+ㄴ/ETM
마산구장의	마산구장/NNP+의/JKG
입장료를	입장료/NNG+를/JKO
받지	받/VV+지/EC
않기로	않/VX+기/ETN+로/JKB
해	하/VV+아/EC
사실상	사실/NNG+상/XSN
광고수입이	광고/NNG+수입/NNG+이/JKS
거의	거의/MAG
전부다.	전부/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.221.3.1
현재 마산구장의 내·외야와 본부석 펜스 광고권은 H기획이라는 민간업체가 가지고 있다.

현재	현재/MAG
마산구장의	마산구장/NNP+의/JKG
내·외야와	내·외야/NNG+와/JC
본부석	본부석/NNG
펜스	펜스/NNG
광고권은	광고/NNG+권/XSN+은/JX
H기획이라는	H/SL+기획/NNG+이/VCP+라는/ETM
민간업체가	민간/NNG+업체/NNG+가/JKS
가지고	가지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.221.3.2
2010년 말 옛 마산시 체육시설관리사업소가 입찰을 통해 이 업체에 광고권을 판매했다.

2010년	2010/SN+년/NNB
말	말/NNB
옛	옛/MMA
마산시	마산시/NNP
체육시설관리사업소가	체육/NNG+시설/NNG+관리/NNG+사업소/NNG+가/JKS
입찰을	입찰/NNG+을/JKO
통해	통하/VV+아/EC
이	이/MMD
업체에	업체/NNG+에/JKB
광고권을	광고/NNG+권/XSN+을/JKO
판매했다.	판매/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.221.3.3
계약기간은 2011년 1월 9일부터 2014년 1월 8일까지다.

계약기간은	계약/NNG+기간/NNG+은/JX
2011년	2011/SN+년/NNB
1월	1/SN+월/NNB
9일부터	9/SN+일/NNB+부터/JX
2014년	2014/SN+년/NNB
8일까지다.	8/SN+일/NNB+까지/JX+이/VCP+다/EF+./SF


# id : NWRW1800000033.221.3.4
당시 마산구장은 롯데의 제2 안방으로 쓰여 1년에 5, 6경기밖에 열리지 않았다.

당시	당시/NNG
마산구장은	마산구장/NNP+은/JX
롯데의	롯데/NNP+의/JKG
제2	제/XPN+2/SN
안방으로	안방/NNG+으로/JKB
쓰여	쓰이/VV+어/EC
1년에	1/SN+년/NNB+에/JKB
5,	5/SN+,/SP
6경기밖에	6/SN+경기/NNG+밖에/JX
열리지	열리/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.221.3.5
광고권 금액은 6500만 원에 불과했다.

광고권	광고/NNG+권/XSN
금액은	금액/NNG+은/JX
6500만	6500/SN+만/NR
원에	원/NNB+에/JKB
불과했다.	불과/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000033.221.4.1
하지만 NC가 들어서면서 사정이 달라졌다.

하지만	하지만/MAJ
NC가	NC/SL+가/JKS
들어서면서	들어서/VV+면서/EC
사정이	사정/NNG+이/JKS
달라졌다.	달라지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.221.4.2
마산구장에서는 올해 54경기가 열리고 2013년 NC가 1군에 진입하면 더 많은 경기가 이곳에서 치러진다.

마산구장에서는	마산구장/NNP+에서/JKB+는/JX
올해	올해/NNG
54경기가	54/SN+경기/NNG+가/JKS
열리고	열리/VV+고/EC
2013년	2013/SN+년/NNB
NC가	NC/SL+가/JKS
1군에	1/SN+군/NNG+에/JKB
진입하면	진입/NNG+하/XSV+면/EC
더	더/MAG
많은	많/VA+은/ETM
경기가	경기/NNG+가/JKS
이곳에서	이곳/NP+에서/JKB
치러진다.	치르/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.221.4.3
NC 관계자는 “1군에 진입하면 내·외야 및 본부석 펜스광고에서 나오는 예상 수익만 20억 원”이라며 안타까워했다.

NC	NC/SL
관계자는	관계자/NNG+는/JX
“1군에	“/SS+1/SN+군/NNG+에/JKB
진입하면	진입/NNG+하/XSV+면/EC
내·외야	내·외야/NNG
및	및/MAG
본부석	본부석/NNG
펜스광고에서	펜스/NNG+광고/NNG+에서/JKB
나오는	나오/VV+는/ETM
예상	예상/NNG
수익만	수익/NNG+만/JX
20억	20/SN+억/NR
원”이라며	원/NNB+”/SS+이/VCP+라며/EC
안타까워했다.	안타까워하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.221.4.4
이는 구장 전체 광고 수익의 40∼50%로 추정된다.

이는	이/NP+는/JX
구장	구장/NNG
전체	전체/NNG
광고	광고/NNG
수익의	수익/NNG+의/JKG
40∼50%로	40/SN+∼/SO+50/SN+%/SW+로/JKB
추정된다.	추정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.221.4.5
지금은 마산시 체육시설관리사업소가 없어져 창원시 시설관리공단이 마산구장을 관리하고 있지만 당시 체결한 계약은 그대로 승계된다.

지금은	지금/NNG+은/JX
마산시	마산시/NNP
체육시설관리사업소가	체육/NNG+시설/NNG+관리/NNG+사업소/NNG+가/JKS
없어져	없어지/VV+어/EC
창원시	창원시/NNP
시설관리공단이	시설/NNG+관리/NNG+공단/NNG+이/JKS
마산구장을	마산구장/NNP+을/JKO
관리하고	관리/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
당시	당시/NNG
체결한	체결/NNG+하/XSV+ㄴ/ETM
계약은	계약/NNG+은/JX
그대로	그대로/MAG
승계된다.	승계/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.221.4.6
물론 이 계약 승계는 법적으로 타당해 아무 문제가 없다.

물론	물론/MAG
이	이/MMD
계약	계약/NNG
승계는	승계/NNG+는/JX
법적으로	법/NNG+적/XSN+으로/JKB
타당해	타당하/VA+아/EC
아무	아무/MMD
문제가	문제/NNG+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000033.221.4.7
2010년 말 계약 당시만 해도 이렇게 될 줄 몰랐던 H기획은 예상 밖의 수익을 챙기게 됐다.

2010년	2010/SN+년/NNB
말	말/NNB
계약	계약/NNG
당시만	당시/NNG+만/JX
해도	하/VV+아도/EC
이렇게	이렇/VA+게/EC
될	되/VV+ㄹ/ETM
줄	줄/NNB
몰랐던	모르/VV+았/EP+던/ETM
H기획은	H/SL+기획/NNG+은/JX
예상	예상/NNG
밖의	밖/NNG+의/JKG
수익을	수익/NNG+을/JKO
챙기게	챙기/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.221.5.1
NC는 광고권 인수 협상을 시도했지만 실패했다.

NC는	NC/SL+는/JX
광고권	광고/NNG+권/XSN
인수	인수/NNG
협상을	협상/NNG+을/JKO
시도했지만	시도/NNG+하/XSV+았/EP+지만/EC
실패했다.	실패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.221.5.2
인수금액에 대한 양측의 눈높이가 맞지 않았기 때문이다.

인수금액에	인수/NNG+금액/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
양측의	양측/NNG+의/JKG
눈높이가	눈높이/NNG+가/JKS
맞지	맞/VV+지/EC
않았기	않/VX+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.221.5.3
결국 NC는 2014년 1월까진 펜스 외의 공간에서 나오는 광고 수익과 매점 판매 수익 등에 기대야 한다.

결국	결국/MAG
NC는	NC/SL+는/JX
2014년	2014/SN+년/NNB
1월까진	1/SN+월/NNB+까지/JX+ㄴ/JX
펜스	펜스/NNG
외의	외/NNB+의/JKG
공간에서	공간/NNG+에서/JKB
나오는	나오/VV+는/ETM
광고	광고/NNG
수익과	수익/NNG+과/JC
매점	매점/NNG
판매	판매/NNG
수익	수익/NNG
등에	등/NNB+에/JKB
기대야	기대/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.221.5.4
물론 모기업인 NC소프트에서 지원금 형식의 광고가 내려오지만 이듬해까지 알토란같은 내·외야 및 본부석 펜스 광고 수익을 포기해야 하는 건 뼈아프다.

물론	물론/MAG
모기업인	모기업/NNG+이/VCP+ㄴ/ETM
NC소프트에서	NC/SL+소프트/NNG+에서/JKB
지원금	지원금/NNG
형식의	형식/NNG+의/JKG
광고가	광고/NNG+가/JKS
내려오지만	내려오/VV+지만/EC
이듬해까지	이듬해/NNG+까지/JX
알토란같은	알토란/NNG+같/VA+은/ETM
내·외야	내·외야/NNG
및	및/MAG
본부석	본부석/NNG
펜스	펜스/NNG
광고	광고/NNG
수익을	수익/NNG+을/JKO
포기해야	포기/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
건	거/NNB+ㄴ/JX
뼈아프다.	뼈아프/VA+다/EF+./SF


# id : NWRW1800000033.221.6.1
손성욱 NC 마케팅팀장은 “야구단을 새로 만들어 육성하는 데 안 보이는 돈이 정말 많이 들어간다.

손성욱	손성욱/NNP
NC	NC/SL
마케팅팀장은	마케팅/NNG+팀장/NNG+은/JX
“야구단을	“/SS+야구단/NNG+을/JKO
새로	새로/MAG
만들어	만들/VV+어/EC
육성하는	육성/NNG+하/XSV+는/ETM
데	데/NNB
안	안/MAG
보이는	보이/VV+는/ETM
돈이	돈/NNG+이/JKS
정말	정말/MAG
많이	많이/MAG
들어간다.	들어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.221.6.2
경호, 진행, 응원단, 이벤트 등 부대비용만 수억 원이 든다”고 말했다.

경호,	경호/NNG+,/SP
진행,	진행/NNG+,/SP
응원단,	응원단/NNG+,/SP
이벤트	이벤트/NNG
등	등/NNB
부대비용만	부대/NNG+비용/NNG+만/JX
수억	수억/NR
원이	원/NNB+이/JKS
든다”고	들/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.221.6.3
새로 창단한 구단은 가뜩이나 돈 들어갈 일이 많다.

새로	새로/MAG
창단한	창단/NNG+하/XSV+ㄴ/ETM
구단은	구단/NNG+은/JX
가뜩이나	가뜩이나/MAG
돈	돈/NNG
들어갈	들어가/VV+ㄹ/ETM
일이	일/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000033.221.6.4
그런데 돈 나올 곳이 줄어드니 신생 구단 NC로서는 아쉬운 상황이다.

그런데	그런데/MAJ
돈	돈/NNG
나올	나오/VV+ㄹ/ETM
곳이	곳/NNG+이/JKS
줄어드니	줄어들/VV+니/EC
신생	신생/NNG
구단	구단/NNG
NC로서는	NC/SL+로서/JKB+는/JX
아쉬운	아쉽/VA+ㄴ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


