# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.368
metadata : {}


# id : NWRW1800000026.368.1.1
[만물상] 미얀마의 슬픈 역사

[만물상]	[/SS+만물상/NNG+]/SS
미얀마의	미얀마/NNP+의/JKG
슬픈	슬프/VA+ㄴ/ETM
역사	역사/NNG


# id : NWRW1800000026.368.2.1
1988년 8월 8일 오전 8시 8분 버마 랭군, 지금의 미얀마 양곤에서 10만여 시민이 나선 반정부 시위가 벌어졌다.

1988년	1988/SN+년/NNB
8월	8/SN+월/NNB
8일	8/SN+일/NNB
오전	오전/NNG
8시	8/SN+시/NNB
8분	8/SN+분/NNB
버마	버마/NNP
랭군,	랭군/NNP+,/SP
지금의	지금/NNG+의/JKG
미얀마	미얀마/NNP
양곤에서	양곤/NNP+에서/JKB
10만여	10/SN+만/NR+여/XSN
시민이	시민/NNG+이/JKS
나선	나서/VV+ㄴ/ETM
반정부	반/XPN+정부/NNG
시위가	시위/NNG+가/JKS
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.368.2.2
62년 쿠데타로 집권한 뒤 독재를 휘둘러 온 군사정권에 맞서 대학생들이 민주화를 요구하며 거리로 나오자 승려·근로자·가정주부까지 거리의 흐름에 몸을 실었다.

62년	62/SN+년/NNB
쿠데타로	쿠데타/NNG+로/JKB
집권한	집권/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
독재를	독재/NNG+를/JKO
휘둘러	휘두르/VV+어/EC
온	오/VX+ㄴ/ETM
군사정권에	군사/NNG+정권/NNG+에/JKB
맞서	맞서/VV+어/EC
대학생들이	대학/NNG+생/XSN+들/XSN+이/JKS
민주화를	민주/NNG+화/XSN+를/JKO
요구하며	요구/NNG+하/XSV+며/EC
거리로	거리/NNG+로/JKB
나오자	나오/VV+자/EC
승려·근로자·가정주부까지	승려/NNG+·/SP+근로자/NNG+·/SP+가정주부/NNG+까지/JX
거리의	거리/NNG+의/JKG
흐름에	흐름/NNG+에/JKB
몸을	몸/NNG+을/JKO
실었다.	싣/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.368.2.3
정부군이 시위대에 총을 쏘아 3000여명이 숨졌다.

정부군이	정부군/NNG+이/JKS
시위대에	시위대/NNG+에/JKB
총을	총/NNG+을/JKO
쏘아	쏘/VV+아/EC
3000여명이	3000/SN+여/XSN+명/NNB+이/JKS
숨졌다.	숨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.368.2.4
이 유혈사태는 '8888항쟁'이라고 불린다.

이	이/MMD
유혈사태는	유혈/NNG+사태/NNG+는/JX
'8888항쟁'이라고	'/SS+8888/SN+항쟁/NNG+'/SS+이라고/JKQ
불린다.	불리/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.368.3.1
▶"조국의 심장 밑바닥에서/ 깊이 뿌리 내린/ 피어오르는 장작처럼/ 우리 심장의 혈관은/ 끓고 다시 끓어오른다/ 결코 그들을 용서할 수 없다/ 인생이 열 번 지나갈 때까지는!" 버마 시인 양 나잉툰은 시 '8888'에서 피를 토하는 듯한 목소리로 시민들의 떼죽음에 통곡했다.

▶"조국의	▶/SW+"/SS+조국/NNG+의/JKG
심장	심장/NNG
밑바닥에서/	밑바닥/NNG+에서/JKB+//SP
깊이	깊이/MAG
뿌리	뿌리/NNG
내린/	내리/VV+ㄴ/ETM+//SP
피어오르는	피어오르/VV+는/ETM
장작처럼/	장작/NNG+처럼/JKB+//SP
우리	우리/NP
심장의	심장/NNG+의/JKG
혈관은/	혈관/NNG+은/JX+//SP
끓고	끓/VV+고/EC
다시	다시/MAG
끓어오른다/	끓어오르/VV+ㄴ다/EF+//SP
결코	결코/MAG
그들을	그/NP+들/XSN+을/JKO
용서할	용서/NNG+하/XSV+ㄹ/ETM
