# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.229
metadata : {}


# id : NWRW1800000022.229.1.1
"내 딸아 얼짱 몸짱이 전부는 아니란다";외모에만 신경 쓰는 우리 아이 걱정된다면…

"내	"/SS+나/NP+의/JKG
딸아	딸/NNG+아/JKV
얼짱	얼짱/NNG
몸짱이	몸짱/NNG+이/JKS
전부는	전부/NNG+는/JX
아니란다";외모에만	아니/VCN+란다/EF+"/SS+;/SP+외모/NNG+에/JKB+만/JX
신경	신경/NNG
쓰는	쓰/VV+는/ETM
우리	우리/NP
아이	아이/NNG
걱정된다면…	걱정/NNG+되/XSV+ㄴ다면/EC+…/SE


# id : NWRW1800000022.229.2.1
사례 1_ 초등학교 5학년인 수진이(가명)는 올 초부터 엄마에게 귀를 뚫어달라고 조르기 시작했다.

사례	사례/NNG
1_	1/SN+_/SS
초등학교	초등학교/NNG
5학년인	5/SN+학년/NNG+이/VCP+ㄴ/ETM
수진이(가명)는	수진이/NNP+(/SS+가명/NNG+)/SS+는/JX
올	올/NNG
초부터	초/NNB+부터/JX
엄마에게	엄마/NNG+에게/JKB
귀를	귀/NNG+를/JKO
뚫어달라고	뚫/VV+어/EC+달/VX+라고/EC
조르기	조르/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.229.2.2
나중에 커서 귀를 뚫으면 된다고 달래기도 하고, 나무라기도 했지만, 소용이 없었다.

나중에	나중/NNG+에/JKB
커서	크/VA+어서/EC
귀를	귀/NNG+를/JKO
뚫으면	뚫/VV+으면/EC
된다고	되/VV+ㄴ다고/EC
달래기도	달래/VV+기/ETN+도/JX
하고,	하/VX+고/EC+,/SP
나무라기도	나무라/VV+기/ETN+도/JX
했지만,	하/VX+았/EP+지만/EC+,/SP
소용이	소용/NNG+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000022.229.2.3
"주변 친구들도 귀를 다 뚫었다"며 가출 협박(?)도 서슴지 않는다.

"주변	"/SS+주변/NNG
친구들도	친구/NNG+들/XSN+도/JX
귀를	귀/NNG+를/JKO
다	다/MAG
뚫었다"며	뚫/VV+었/EP+다/EF+"/SS+며/EC
가출	가출/NNG
협박(?)도	협박/NNG+(/SS+?/SF+)/SS+도/JX
서슴지	서슴/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000022.229.3.1
사례 2_ 여고생 민선이(가명)는 매일 틈만 나면 거울을 바라본다.

사례	사례/NNG
2_	2/SN+_/SS
여고생	여고/NNG+생/XSN
민선이(가명)는	민선이/NNP+(/SS+가명/NNG+)/SS+는/JX
매일	매일/MAG
틈만	틈/NNB+만/JX
나면	나/VV+면/EC
거울을	거울/NNG+을/JKO
바라본다.	바라보/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.229.3.2
눈과 코만 조금 고치면 예뻐질 것 같아 속이 탄다.

눈과	눈/NNG+과/JC
코만	코/NNG+만/JX
조금	조금/MAG
고치면	고치/VV+면/EC
예뻐질	예쁘/VA+어/EC+지/VX+ㄹ/ETM
것	것/NNB
같아	같/VA+아/EC
속이	속/NNG+이/JKS
탄다.	타/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.229.3.3
여름방학을 앞두고 부모에게 성형수술을 해달라고 조르기 시작했다.

여름방학을	여름/NNG+방학/NNG+을/JKO
앞두고	앞두/VV+고/EC
부모에게	부모/NNG+에게/JKB
성형수술을	성형/NNG+수술/NNG+을/JKO
해달라고	하/VV+아/EC+달/VX+라고/EC
조르기	조르/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.229.3.4
집에 경제적 여유가 없어 해 줄 수 없다고 해도 말을 듣지 않는다.

집에	집/NNG+에/JKB
경제적	경제/NNG+적/XSN
여유가	여유/NNG+가/JKS
없어	없/VA+어/EC
해	하/VX+아/EC
줄	주/VX+ㄹ/ETM
수	수/NNB
