# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.93
metadata : {}


# id : NWRW1800000025.93.1.1
뚝심의 두산 ‘나홀로 6승’

뚝심의	뚝심/NNG+의/JKG
두산	두산/NNP
‘나홀로	‘/SS+나/NNG+홀로/MAG
6승’	6/SN+승/NNB+’/SS


# id : NWRW1800000025.93.2.1
3년 연속 포스트시즌 진출에 만족해야 했던 두산이 올 시즌에는 초반부터 뚝심을 발휘하고 있다.

3년	3/SN+년/NNB
연속	연속/NNG
포스트시즌	포스트시즌/NNG
진출에	진출/NNG+에/JKB
만족해야	만족/NNG+하/XSA+아야/EC
했던	하/VX+았/EP+던/ETM
두산이	두산/NNP+이/JKS
올	올/NNG
시즌에는	시즌/NNG+에/JKB+는/JX
초반부터	초반/NNG+부터/JX
뚝심을	뚝심/NNG+을/JKO
발휘하고	발휘/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.93.2.2
두산이 한화를 꺾고 단독 선두를 질주했다.

두산이	두산/NNP+이/JKS
한화를	한화/NNP+를/JKO
꺾고	꺾/VV+고/EC
단독	단독/NNG
선두를	선두/NNG+를/JKO
질주했다.	질주/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.93.3.1
두산은 6일 잠실에서 열린 한화와의 첫 대결에서 선발 김선우가 6이닝을 5안타 1실점으로 처리하고 고창성-임태훈-이용찬으로 이어지는 불펜진이 한화 타선을 1실점으로 막은 데 힘입어 3-2로 이기고 6승(1패)째를 거뒀다.

두산은	두산/NNP+은/JX
6일	6/SN+일/NNB
잠실에서	잠실/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
한화와의	한화/NNP+와/JKB+의/JKG
첫	첫/MMN
대결에서	대결/NNG+에서/JKB
선발	선발/NNG
김선우가	김선우/NNP+가/JKS
6이닝을	6/SN+이닝/NNG+을/JKO
5안타	5/SN+안타/NNG
1실점으로	1/SN+실점/NNG+으로/JKB
처리하고	처리/NNG+하/XSV+고/EC
고창성-임태훈-이용찬으로	고창성/NNP+-/SO+임태훈/NNP+-/SO+이용찬/NNP+으로/JKB
이어지는	이어지/VV+는/ETM
불펜진이	불펜진/NNG+이/JKS
한화	한화/NNP
타선을	타선/NNG+을/JKO
막은	막/VV+은/ETM
데	데/NNB
힘입어	힘입/VV+어/EC
3-2로	3/SN+-/SO+2/SN+로/JKB
이기고	이기/VV+고/EC
6승(1패)째를	6/SN+승/NNB+(/SS+1/SN+패/NNB+)/SS+째/XSN+를/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.93.4.1
선취점을 얻은 쪽은 한화였다.

선취점을	선취점/NNG+을/JKO
얻은	얻/VV+은/ETM
쪽은	쪽/NNB+은/JX
한화였다.	한화/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.93.4.2
3회 선두 타자 이희근이 왼쪽 안타로 출루한 뒤 김선우의 폭투와 추승우의 왼쪽 2루타로 홈을 밟았다.

3회	3/SN+회/NNB
선두	선두/NNG
타자	타자/NNG
이희근이	이희근/NNP+이/JKS
왼쪽	왼쪽/NNG
안타로	안타/NNG+로/JKB
출루한	출루/NNG+하/XSV+ㄴ/ETM
