# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.230
metadata : {}


# id : NWRW1800000041.230.1.1
매섭게 달리는 한국 썰매

매섭게	매섭/VA+게/EC
달리는	달리/VV+는/ETM
한국	한국/NNP
썰매	썰매/NNG


# id : NWRW1800000041.230.2.1
루지 소치 전종목 출전 여자 싱글-남자 2인승 와일드카드… 팀 계주는 아시아 유일하게 참가 봅슬레이도 국제대회 쾌거 아메리카컵 남자 2인승 1, 2위… 여자 2인승 등 4팀 올림픽 갈 듯

루지	루지/NNG
소치	소치/NNP
전종목	전/MMN+종목/NNG
출전	출전/NNG
여자	여자/NNG
싱글-남자	싱글/NNG+-/SO+남자/NNG
2인승	2인승/NNG
와일드카드…	와일드카드/NNG+…/SE
팀	팀/NNG
계주는	계주/NNG+는/JX
아시아	아시아/NNP
유일하게	유일/NNG+하/XSA+게/EC
참가	참가/NNG
봅슬레이도	봅슬레이/NNG+도/JX
국제대회	국제/NNG+대회/NNG
쾌거	쾌거/NNG
아메리카컵	아메리카/NNP+컵/NNG
남자	남자/NNG
1,	1/SN+,/SP
2위…	2/SN+위/NNB+…/SE
등	등/NNB
4팀	4/SN+팀/NNG
올림픽	올림픽/NNG
갈	가/VV+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000041.230.3.1
소치 겨울올림픽은 한국 썰매의 전환점이 될 것으로 보인다.

소치	소치/NNP
겨울올림픽은	겨울/NNG+올림픽/NNG+은/JX
한국	한국/NNP
썰매의	썰매/NNG+의/JKG
전환점이	전환점/NNG+이/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.230.4.1
1998년 나가노 올림픽에 루지로 첫 올림픽 무대를 밟은 한국 썰매는 2010년 밴쿠버 올림픽에 봅슬레이, 스켈리턴, 루지 등 처음으로 모든 썰매 종목에 출전했다.

1998년	1998/SN+년/NNB
나가노	나가노/NNP
올림픽에	올림픽/NNG+에/JKB
루지로	루지/NNG+로/JKB
첫	첫/MMN
올림픽	올림픽/NNG
무대를	무대/NNG+를/JKO
밟은	밟/VV+은/ETM
한국	한국/NNP
썰매는	썰매/NNG+는/JX
2010년	2010/SN+년/NNB
밴쿠버	밴쿠버/NNP
봅슬레이,	봅슬레이/NNG+,/SP
스켈리턴,	스켈리턴/NNG+,/SP
루지	루지/NNG
등	등/NNB
처음으로	처음/NNG+으로/JKB
모든	모든/MMN
썰매	썰매/NNG
종목에	종목/NNG+에/JKB
출전했다.	출전/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.230.4.2
소치 올림픽에서는 전 종목에 걸쳐 역대 최다 인원이 올림픽 무대를 밟을 것으로 보인다.

소치	소치/NNP
올림픽에서는	올림픽/NNG+에서/JKB+는/JX
