# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.52
metadata : {}


# id : NWRW1800000036.52.1.1
금감원, 외환은행 하나고 250억 출연 제동

금감원,	금감원/NNG+,/SP
외환은행	외환은행/NNP
하나고	하나고/NNP
250억	250/SN+억/NR
출연	출연/NNG
제동	제동/NNG


# id : NWRW1800000036.52.2.1
[한겨레] “은행법 위반 소지 있다” 의견 전달

[한겨레]	[/SS+한겨레/NNP+]/SS
“은행법	“/SS+은행법/NNG
위반	위반/NNG
소지	소지/NNG
있다”	있/VA+다/EF+”/SS
의견	의견/NNG
전달	전달/NNG


# id : NWRW1800000036.52.3.1
외환은행이 하나금융그룹이 설립한 하나고등학교에 250억원을 출연하려던 계획에 제동이 걸렸다.

외환은행이	외환은행/NNP+이/JKS
하나금융그룹이	하나금융그룹/NNP+이/JKS
설립한	설립/NNG+하/XSV+ㄴ/ETM
하나고등학교에	하나고등학교/NNP+에/JKB
250억원을	250/SN+억/NR+원/NNB+을/JKO
출연하려던	출연/NNG+하/XSV+려던/ETM
계획에	계획/NNG+에/JKB
제동이	제동/NNG+이/JKS
걸렸다.	걸리/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.52.3.2
금융당국이 외환은행의 출연이 은행법 위반 소지가 있다며 ‘신중한 판단’을 요구하고 나선 것이다.

금융당국이	금융/NNG+당국/NNG+이/JKS
외환은행의	외환은행/NNP+의/JKG
출연이	출연/NNG+이/JKS
은행법	은행법/NNG
위반	위반/NNG
소지가	소지/NNG+가/JKS
있다며	있/VA+다며/EC
‘신중한	‘/SS+신중/NNG+하/XSA+ㄴ/ETM
판단’을	판단/NNG+’/SS+을/JKO
요구하고	요구/NNG+하/XSV+고/EC
나선	나서/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.52.3.3
(<한겨레> 10월16일치 17면)

(<한겨레>	(/SS+</SS+한겨레/NNP+>/SS
10월16일치	10/SN+월/NNB+16/SN+일/NNB+치/NNB
17면)	17/SN+면/NNG+)/SS


# id : NWRW1800000036.52.4.1
29일 금융당국과 외환은행의 말을 종합하면, 금융감독원은 지난주 외환은행 쪽에 ‘하나고 출연이 은행법 위반 소지가 있다’는 의견을 전달하며 사실상 반대 입장을 밝혔다.

29일	29/SN+일/NNB
금융당국과	금융/NNG+당국/NNG+과/JC
외환은행의	외환은행/NNP+의/JKG
말을	말/NNG+을/JKO
종합하면,	종합/NNG+하/XSV+면/EC+,/SP
금융감독원은	금융/NNG+감독원/NNG+은/JX
지난주	지난주/NNG
외환은행	외환은행/NNP
쪽에	쪽/NNB+에/JKB
‘하나고	‘/SS+하나고/NNP
출연이	출연/NNG+이/JKS
은행법	은행법/NNG
위반	위반/NNG
소지가	소지/NNG+가/JKS
있다’는	있/VA+다/EF+’/SS+는/ETM
의견을	의견/NNG+을/JKO
전달하며	전달/NNG+하/XSV+며/EC
사실상	사실/NNG+상/XSN
반대	반대/NNG
입장을	입장/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.52.4.2
외환은행은 지난 16일 이사회를 열어 자율형 사립고인 하나고에 250억원을 출연하고 7억5000만원의 운영비를 지원하는 방안을 의결한 바 있다.

외환은행은	외환은행/NNP+은/JX
지난	지나/VV+ㄴ/ETM
16일	16/SN+일/NNB
이사회를	이사회/NNG+를/JKO
